fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790091927905139969,1790091927905180413,192.168.60.90:57330,181
2,0,1790091959709076627,1790091959709124664,192.168.60.90:57330,499
3,1,1790091978704964527,1790091978705005508,192.168.60.90:57330,689
