fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790095756475804699,1790095756475855680,192.168.60.90:57330,192
2,0,1790095786778799490,1790095786778843990,192.168.60.90:57330,495
3,1,1790095786879345959,1790095786879388014,192.168.60.90:57330,496
4,0,1790095786959802645,1790095786959838534,192.168.60.90:57330,497
5,1,1790095799675371007,1790095799675414025,192.168.60.90:57330,624
