step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790094421113200128,0.1,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
2,1790094421213200128,0.2,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
3,1790094421313200128,0.3,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
4,1790094421413200128,0.4,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
5,1790094421513200128,0.5,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
6,1790094421613200128,0.6,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
7,1790094421713200128,0.7,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
8,1790094421813200128,0.8,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
9,1790094421913200128,0.9,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
10,1790094422013200128,1.0,3,1,212,92,32.688,64.595,64.595,31.907,2,,,,,0,2.3043,0,,,,,,,,,0,0,
11,1790094422113200128,1.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
12,1790094422213200128,1.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790094422313200128,1.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790094422413200128,1.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790094422513200128,1.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790094422613200128,1.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
