fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790096773058952053,1790096773059005923,192.168.60.90:57345,291
2,0,1790096803462592849,1790096803462637386,192.168.60.90:57345,595
3,1,1790096807558970957,1790096807559024846,192.168.60.90:57345,636
