fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790089816783664254,1790089816783706568,192.168.60.90:57321,338
2,0,1790089818783735715,1790089818783778474,192.168.60.90:57321,358
3,1,1790089818883813169,1790089818883853280,192.168.60.90:57321,359
4,0,1790089848965847589,1790089848965892107,192.168.60.90:57321,660
