line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,1,24550590125578,,24550590174899,24550593409936,31.894,0.0000,0.0000,0.0000,0,0.5959,595,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,85,0,0
2,scan,1,1,24550631760569,,24550631899034,24550633905977,32.394,0.0001,-0.0000,0.0000,0,0.5938,593,220,0,0,0,0,,,,,1,1,,,0,,,,1,220,0,1,0,0,85,0,0
3,scan,2,1,24550681433841,,24550681558535,24550683764707,32.444,0.0001,-0.0000,0.0000,0,0.6018,601,220,0,0,0,0,,,,,1,1,,,0,,,,2,220,0,1,0,0,85,0,0
4,scan,3,1,24550731740776,,24550731856117,24550733834159,32.494,0.0035,-0.0000,0.0000,0,0.5951,595,220,0,0,0,0,,,,,1,1,,,0,,,,3,220,0,1,0,0,85,0,0
5,scan,4,1,24550781451599,,24550781571182,24550783811430,32.544,0.0070,-0.0000,-0.0000,0,0.5732,573,220,0,0,0,0,,,,,1,1,,,0,,,,4,220,0,1,0,0,85,0,0
6,scan,5,1,24550832109424,,24550832242184,24550834198290,32.594,0.0116,-0.0000,-0.0000,0,0.5887,588,220,0,0,0,0,,,,,1,1,,,0,,,,5,220,0,1,0,0,85,0,0
7,scan,6,1,24550881807268,,24550881957237,24550884091311,32.644,0.0243,-0.0000,-0.0000,0,0.5776,577,220,0,220,1,1,1,24550631821296,24550839773487,207952,0,1,207952,207952,0,,,,6,220,0,1,0,0,85,0,0
8,scan,7,1,24550931976525,,24550932157989,24550933881737,32.694,0.0318,-0.0000,-0.0000,0,0.5664,566,220,0,220,1,1,2,24550681480224,24550888226371,206746,0,1,206746,207349,0,,,,7,220,0,1,0,0,85,0,0
9,scan,8,1,24550981677035,,24550981811575,24550983986499,32.744,0.0467,-0.0000,-0.0000,0,0.5535,553,220,0,220,1,1,3,24550731779240,24550939536120,207756,0,1,206746,207485,0,,,,8,220,0,1,0,0,85,0,0
10,scan,9,1,24551031787619,,24551031922958,24551033860350,32.794,0.0542,-0.0000,-0.0000,0,0.5432,543,220,0,220,1,1,4,24550781496182,24550987755765,206259,0,1,206259,207178,0,,,,9,220,0,1,0,0,85,0,0
11,scan,10,1,24551081905461,,24551082055821,24551084029996,32.844,0.0692,-0.0000,-0.0000,0,0.5445,544,220,0,220,1,1,5,24550832160558,24551039435677,207275,0,1,206259,207198,0,,,,10,220,0,1,0,0,85,0,0
12,scan,11,1,24551131900989,,24551132059861,24551133958102,32.894,0.0766,-0.0000,-0.0000,0,0.5271,527,220,0,220,1,1,6,24550881869075,24551089293591,207424,0,1,206259,207235,0,,,,11,220,0,1,0,0,85,0,0
13,scan,12,1,24551181705331,,24551181850443,24551183965627,32.944,0.0916,-0.0000,-0.0000,0,0.5129,512,220,0,220,1,1,7,24550932068816,24551139913548,207844,0,1,206259,207322,0,,,,12,220,0,1,0,0,85,0,0
14,scan,13,1,24551232117504,,24551232242154,24551233899121,32.994,0.0991,-0.0000,-0.0000,0,0.5130,512,220,0,220,1,1,8,24550981726496,24551185964675,204238,0,1,204238,206937,0,,,,13,220,0,1,0,0,85,0,0
15,scan,14,1,24551281742117,,24551281870192,24551283776908,33.044,0.1140,-0.0000,-0.0000,0,0.5115,511,220,0,220,1,1,9,24551031837423,24551239493065,207655,0,1,204238,207017,0,,,,14,220,0,1,0,0,85,0,0
16,scan,15,1,24551331818970,,24551331985681,24551333818890,33.094,0.1215,-0.0000,-0.0000,0,0.5020,502,220,0,220,1,1,10,24551081955085,24551286351951,204396,0,1,204238,206754,0,,,,15,220,0,1,0,0,85,0,0
17,scan,16,1,24551381568050,,24551381693984,24551383789510,33.144,0.1365,-0.0000,-0.0000,0,0.4916,491,220,0,220,1,1,11,24551131949564,24551339175187,207225,0,1,204238,206797,0,,,,16,220,0,1,0,0,85,0,0
18,scan,17,1,24551431947205,,24551432161187,24551433823360,33.194,0.1440,-0.0000,-0.0000,0,0.4803,480,220,0,220,1,1,12,24551181756247,24551388220162,206463,0,1,204238,206769,0,,,,17,220,0,1,0,0,85,0,0
19,scan,18,1,24551481874043,,24551482026254,24551484050574,33.244,0.1589,-0.0000,-0.0000,0,0.4686,468,220,0,220,1,1,13,24551232161531,24551439322228,207160,0,1,204238,206799,0,,,,18,220,0,1,0,0,85,0,0
20,scan,19,1,24551532164376,,24551532301952,24551533847474,33.294,0.1664,-0.0000,-0.0000,0,0.4659,465,220,0,220,1,1,14,24551281786043,24551489423589,207637,0,1,204238,206859,0,,,,19,220,0,1,0,0,85,0,0
21,scan,20,1,24551582607157,,24551582732060,24551584960916,33.344,0.1814,-0.0000,-0.0000,0,0.4531,453,220,0,220,1,1,15,24551331876929,24551539157746,207280,0,1,204238,206887,0,,,,20,220,0,1,0,0,85,0,0
22,scan,21,1,24551632387540,,24551632544344,24551634760420,33.394,0.1889,-0.0000,-0.0000,0,0.4430,442,220,0,220,1,1,16,24551381611543,24551588745876,207134,0,1,204238,206903,0,,,,21,220,0,1,0,0,85,0,0
23,scan,22,1,24551682507615,,24551682641925,24551684832005,33.444,0.1963,-0.0000,-0.0000,0,0.4302,430,220,0,220,1,1,17,24551431995442,24551635521999,203526,0,1,203526,206704,0,,,,22,220,0,1,0,0,85,0,0
24,scan,23,1,24551733494402,,24551733633673,24551735809629,33.494,0.2113,-0.0000,-0.0000,0,0.4219,421,220,0,220,1,1,18,24551481922642,24551688119668,206197,0,1,203526,206676,0,,,,23,220,0,1,0,0,85,0,0
25,scan,24,1,24551783254152,,24551783399170,24551785687812,33.544,0.2188,-0.0000,-0.0000,0,0.4216,421,220,0,220,1,1,19,24551532212772,24551739558192,207345,0,1,203526,206711,0,,,,24,220,0,1,0,0,85,0,0
26,scan,25,1,24551833061770,,24551833195462,24551834968193,33.594,0.2338,-0.0000,-0.0000,0,0.4286,428,220,0,220,1,1,20,24551582648579,24551789297753,206649,0,1,203526,206708,0,,,,25,220,0,1,0,0,85,0,0
27,scan,26,1,24551883271244,,24551883400954,24551884930824,33.644,0.2412,-0.0000,-0.0000,0,0.4120,412,220,0,220,1,1,21,24551632435289,24551837521773,205086,0,1,203526,206631,0,,,,26,220,0,1,0,0,85,0,0
28,scan,27,1,24551932864538,,24551932999171,24551934974364,33.694,0.2562,-0.0000,-0.0000,0,0.4041,404,220,0,220,1,1,22,24551682554738,24551889250036,206695,0,1,203526,206634,0,,,,27,220,0,1,0,0,85,0,0
29,scan,28,1,24551982765129,,24551982898969,24551984765340,33.744,0.2637,-0.0000,-0.0000,0,0.4080,407,220,0,220,1,1,23,24551733542099,24551940123561,206581,0,1,203526,206631,0,,,,28,220,0,1,0,0,85,0,0
30,scan,29,1,24552032419095,,24552032549157,24552034688044,33.794,0.2786,-0.0000,-0.0000,0,0.3859,385,220,0,220,1,1,24,24551783298825,24551993465830,210167,0,1,203526,206779,0,,,,29,203,0,1,1,0,85,0,0
31,scan,30,1,24552082997138,,24552083124434,24552084828545,33.844,0.2861,-0.0000,-0.0000,0,0.3823,382,220,0,220,1,1,25,24551833108649,24552040236172,207127,0,1,203526,206793,0,,,,30,200,0,1,1,0,85,0,0
32,scan,31,1,24552132591662,,24552132718687,24552134729116,33.894,0.2998,-0.0000,-0.0000,0,0.3760,376,220,0,220,1,1,26,24551883317854,24552087396535,204078,0,1,203526,206688,0,,,,31,193,0,1,1,0,85,0,0
33,scan,32,1,24552182809867,,24552182945606,24552184916961,33.944,0.3066,-0.0000,-0.0000,0,0.3550,355,220,0,220,1,1,27,24551932912608,24552140157238,207244,0,1,203526,206709,0,,,,32,170,0,1,1,0,85,0,0
34,scan,33,1,24552232665352,,24552232788286,24552234807346,33.994,0.3193,-0.0000,-0.0000,0,0.3815,381,220,0,220,1,1,28,24551982813216,24552187273903,204460,0,1,203526,206629,0,,,,33,199,0,1,1,0,85,0,0
35,scan,34,1,24552282757293,,24552282889458,24552284830063,34.044,0.3251,-0.0000,-0.0000,0,0.3757,375,220,0,220,1,1,29,24552032458660,24552239654823,207196,0,1,203526,206648,0,,,,34,192,0,1,1,0,85,0,0
36,scan,35,1,24552332886099,,24552333008740,24552335689825,34.094,0.3384,-0.0000,-0.0000,0,0.3775,377,220,0,220,1,1,30,24552083042188,24552287723392,204681,0,1,203526,206583,0,,,,35,194,0,1,1,0,85,0,0
37,scan,36,1,24552382947805,,24552383080874,24552384826501,34.144,0.3449,-0.0000,-0.0000,0,0.3576,357,220,0,220,1,1,31,24552132634880,24552340182745,207547,0,1,203526,206614,0,,,,36,172,0,1,1,0,85,0,0
38,scan,37,1,24552433001434,,24552433123872,24552434830654,34.194,0.3575,-0.0000,-0.0000,0,0.3604,360,220,0,220,1,1,32,24552182857175,24552386753881,203896,0,1,203526,206529,0,,,,37,176,0,1,1,0,85,0,0
39,scan,38,1,24552483049037,,24552483181218,24552484768240,34.244,0.3634,-0.0000,-0.0000,0,0.3741,374,220,0,220,1,1,33,24552232706958,24552437115968,204409,0,1,203526,206464,0,,,,38,191,0,1,1,0,85,0,0
40,scan,39,1,24552533338479,,24552533495132,24552535731876,34.294,0.3693,-0.0000,-0.0000,0,0.3613,361,220,0,220,1,1,34,24552282802333,24552486679696,203877,0,1,203526,206388,0,,,,39,177,0,1,1,0,85,0,0
41,scan,40,1,24552583483006,,24552583609741,24552585724861,34.344,0.3824,-0.0000,-0.0000,0,0.3532,353,220,0,220,1,1,35,24552332928292,24552539997430,207069,0,1,203526,206408,0,,,,40,168,0,1,1,0,85,0,0
42,scan,41,1,24552633651693,,24552633792652,24552635945380,34.394,0.3884,-0.0000,-0.0000,0,0.3715,371,220,0,220,1,1,36,24552382993675,24552587047477,204053,0,1,203526,206342,0,,,,41,188,0,1,1,0,85,0,0
43,scan,42,1,24552683573243,,24552683717560,24552685779574,34.444,0.4005,-0.0000,-0.0000,0,0.3597,359,220,0,220,1,1,37,24552433041203,24552637404832,204363,0,1,203526,206289,0,,,,42,174,0,1,1,0,85,0,0
44,scan,43,1,24552733553736,,24552733675909,24552735835643,34.494,0.4069,-0.0000,-0.0000,0,0.3811,381,220,0,220,1,1,38,24552483094539,24552687011515,203916,0,1,203526,206226,0,,,,43,199,0,1,1,0,85,0,0
45,scan,44,1,24552783425367,,24552783581062,24552785731796,34.544,0.4196,-0.0000,-0.0000,0,0.3752,375,220,0,220,1,1,39,24552533399536,24552736643160,203243,0,1,203243,206150,0,,,,44,192,0,1,1,0,85,0,0
46,scan,45,1,24552833695803,,24552833898123,24552835940809,34.594,0.4264,-0.0000,-0.0000,0,0.3727,372,220,0,220,1,1,40,24552583531240,24552788845498,205314,0,1,203243,206129,0,,,,45,189,0,1,1,0,85,0,0
47,scan,46,1,24552883501603,,24552883629623,24552885694150,34.644,0.4393,-0.0000,-0.0000,0,0.3974,397,220,0,220,1,1,41,24552633702039,24552838682318,204980,0,1,203243,206055,0,,,,46,216,0,1,1,0,85,0,0
48,scan,47,1,24552933441926,,24552933567233,24552935721619,34.694,0.4457,-0.0000,-0.0000,0,0.6323,632,220,0,220,1,1,42,24552683623463,24552887838959,204215,0,1,203243,205992,0,,,,47,220,0,1,0,0,85,0,0
49,scan,48,1,24552983048950,,24552983177498,24552984812681,34.744,0.4609,-0.0000,-0.0000,0,1.5099,1509,220,0,220,1,1,43,24552733597605,24552938102052,204504,0,1,203243,205910,0,,,,48,220,0,1,0,0,85,0,0
50,scan,49,1,24553033140772,,24553033263845,24553034823684,34.794,0.4684,-0.0000,-0.0000,0,1.4973,1497,220,0,220,1,1,44,24552783479206,24552987534281,204055,0,1,203243,205855,0,,,,49,220,0,1,0,0,85,0,0
51,scan,50,1,24553083270385,,24553083396414,24553085748376,34.844,0.4833,-0.0000,-0.0000,0,1.4823,1482,220,0,220,1,1,45,24552833766527,24553041486432,207719,0,1,203243,205866,0,,,,50,220,0,1,0,0,85,0,0
52,scan,51,1,24553133489232,,24553133623871,24553135753095,34.894,0.4908,-0.0000,-0.0000,0,1.4720,1471,220,0,220,1,1,46,24552883547130,24553089931023,206383,0,1,203243,205840,0,,,,51,220,0,1,0,0,85,0,0
53,scan,52,1,24553183817026,,24553183959112,24553185793023,34.944,0.5058,-0.0000,-0.0000,0,1.4556,1455,220,0,220,1,1,47,24552933484050,24553140149853,206665,0,1,203243,205811,0,,,,52,220,0,1,0,0,85,0,0
54,scan,53,1,24553233825357,,24553233956058,24553235768783,34.994,0.5133,-0.0000,-0.0000,0,1.4523,1452,220,0,220,1,1,48,24552983092164,24553191267307,208175,0,1,203243,205909,0,,,,53,220,0,1,0,0,85,0,0
55,scan,54,1,24553283967543,,24553284128035,24553285821333,35.044,0.5282,-0.0000,-0.0000,0,1.4333,1433,220,0,220,1,1,49,24553033183858,24553240283666,207099,0,1,203243,205895,0,,,,54,220,0,1,0,0,85,0,0
56,scan,55,1,24553333959377,,24553334087592,24553335794674,35.094,0.5357,-0.0000,-0.0000,0,1.4262,1426,220,0,220,1,1,50,24553083312816,24553290089176,206776,0,1,203243,205955,0,,,,55,220,0,1,0,0,85,0,0
57,scan,56,1,24553384079066,,24553384209779,24553385824992,35.144,0.5432,-0.0000,-0.0000,0,1.4202,1420,220,0,220,1,1,51,24553133534621,24553340397771,206863,0,1,203243,205946,0,,,,56,220,0,1,0,0,85,0,0
58,scan,57,1,24553433756789,,24553433878741,24553435879716,35.194,0.5581,-0.0000,-0.0000,0,1.3990,1398,220,0,220,1,1,52,24553183866207,24553391016126,207149,0,1,203243,205963,0,,,,57,220,0,1,0,0,85,0,0
59,scan,58,1,24553484065473,,24553484200105,24553485871170,35.244,0.5656,-0.0000,-0.0000,0,1.3923,1392,220,0,220,1,1,53,24553233871936,24553440247874,206375,0,1,203243,205943,0,,,,58,220,0,1,0,0,85,0,0
60,scan,59,1,24553533678797,,24553533805903,24553535851189,35.294,0.5806,-0.0000,-0.0000,0,1.3779,1377,220,0,220,1,1,54,24553284041754,24553491374523,207332,0,1,203243,205936,0,,,,59,220,0,1,0,0,85,0,0
61,scan,60,1,24553583823553,,24553583959380,24553585896619,35.344,0.5881,-0.0000,-0.0000,0,1.3596,1359,220,0,220,2,1,55,24553334004986,24553538650647,204645,0,1,203243,205870,0,,,,60,220,0,1,0,0,85,0,0
