step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790089783035612928,0.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
2,1790089783135612928,0.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
3,1790089783235612928,0.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
4,1790089783335612928,0.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
5,1790089783435612928,0.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
6,1790089783535612928,0.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
7,1790089783635612928,0.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
8,1790089783735612928,0.8,2,0,224,0,750.385,750.385,750.385,0.0,1,,,,,0,,0,,,,,,,,,0,0,
9,1790089783835612928,0.9,2,0,224,0,750.385,750.385,750.385,0.0,1,,,,,0,,0,,,,,,,,,0,0,
10,1790089783935612928,1.0,2,0,224,0,750.385,750.385,750.385,0.0,1,,,,,0,,0,,,,,,,,,0,0,
11,1790089784035612928,1.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
12,1790089784135612928,1.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790089784235612928,1.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790089784335612928,1.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790089784435612928,1.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790089784535612928,1.6,2,0,224,0,752.034,752.034,752.034,0.0,1,,,,,0,,0,,,,,,,,,0,0,
17,1790089784635612928,1.7,2,0,224,0,752.034,752.034,752.034,0.0,1,,,,,0,,0,,,,,,,,,0,0,
18,1790089784735612928,1.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790089784835612928,1.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790089784935612928,2.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790089785035612928,2.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790089785135612928,2.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790089785235612928,2.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790089785335612928,2.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790089785435612928,2.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790089785535612928,2.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790089785635612928,2.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790089785735612928,2.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790089785835612928,2.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790089785935612928,3.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790089786035612928,3.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790089786135612928,3.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790089786235612928,3.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790089786335612928,3.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
35,1790089786435612928,3.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
36,1790089786535612928,3.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790089786635612928,3.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790089786735612928,3.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790089786835612928,3.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790089786935612928,4.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
