step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790097807623418880,0.1,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
2,1790097807723418880,0.2,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
3,1790097807823418880,0.3,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
4,1790097807923418880,0.4,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
5,1790097808023418880,0.5,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
6,1790097808123418880,0.6,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
7,1790097808223418880,0.7,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
8,1790097808323418880,0.8,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
9,1790097808423418880,0.9,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
10,1790097808523418880,1.0,3,1,212,92,53.164,105.186,105.186,52.023,2,,,,,0,2.3043,0,,,,,,,,,0,0,
11,1790097808623418880,1.1,1,1,32,92,,,,,0,,,,,0,0.3478,0,,,,,,,,,0,0,
12,1790097808723418880,1.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790097808823418880,1.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790097808923418880,1.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790097809023418880,1.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790097809123418880,1.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
17,1790097809223418880,1.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
18,1790097809323418880,1.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790097809423418880,1.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790097809523418880,2.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790097809623418880,2.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790097809723418880,2.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790097809823418880,2.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790097809923418880,2.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790097810023418880,2.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790097810123418880,2.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790097810223418880,2.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790097810323418880,2.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790097810423418880,2.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790097810523418880,3.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790097810623418880,3.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790097810723418880,3.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790097810823418880,3.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790097810923418880,3.4,2,0,224,0,750.985,750.985,750.985,0.0,1,,,,,0,,0,,,,,,,,,0,0,
35,1790097811023418880,3.5,2,0,224,0,750.985,750.985,750.985,0.0,1,,,,,0,,0,,,,,,,,,0,0,
36,1790097811123418880,3.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790097811223418880,3.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790097811323418880,3.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790097811423418880,3.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790097811523418880,4.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790097811623418880,4.1,2,0,224,0,754.035,754.035,754.035,0.0,1,,,,,0,,0,,,,,,,,,0,0,
42,1790097811723418880,4.2,2,0,224,0,754.035,754.035,754.035,0.0,1,,,,,0,,0,,,,,,,,,0,0,
43,1790097811823418880,4.3,2,0,224,0,754.035,754.035,754.035,0.0,1,,,,,0,,0,,,,,,,,,0,0,
44,1790097811923418880,4.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790097812023418880,4.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
46,1790097812123418880,4.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
47,1790097812223418880,4.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
48,1790097812323418880,4.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
49,1790097812423418880,4.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
50,1790097812523418880,5.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
51,1790097812623418880,5.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
52,1790097812723418880,5.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
53,1790097812823418880,5.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
54,1790097812923418880,5.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
55,1790097813023418880,5.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
56,1790097813123418880,5.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
57,1790097813223418880,5.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
58,1790097813323418880,5.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
59,1790097813423418880,5.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
60,1790097813523418880,6.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
61,1790097813623418880,6.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
62,1790097813723418880,6.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
63,1790097813823418880,6.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
64,1790097813923418880,6.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
65,1790097814023418880,6.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
66,1790097814123418880,6.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
67,1790097814223418880,6.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
68,1790097814323418880,6.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
69,1790097814423418880,6.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
70,1790097814523418880,7.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
71,1790097814623418880,7.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
72,1790097814723418880,7.2,4,2,384,192,50.282,53.115,53.115,1.018,1,49.896,49.896,49.896,0.0,1,2.0,2,103.192,102.999,103.385,,,,,,0,0,
73,1790097814823418880,7.3,6,3,576,288,50.061,53.115,53.115,0.656,1,51.389,52.883,52.883,1.494,1,2.0,3,102.999,102.767,103.385,,,,,,0,0,
74,1790097814923418880,7.4,8,5,768,480,50.065,50.282,53.115,0.472,1,49.969,52.883,52.883,0.84,1,1.6,5,102.767,102.362,103.385,,,,,,0,0,
75,1790097815023418880,7.5,10,7,960,672,50.061,50.282,53.115,0.662,1,50.165,50.484,52.883,0.674,1,1.4286,7,102.767,102.362,103.385,,,,,,0,0,
76,1790097815123418880,7.6,12,9,1152,864,50.061,52.387,53.115,0.754,1,50.04,50.484,52.883,0.508,1,1.3333,9,102.93,102.362,103.385,,,,,,0,0,
77,1790097815223418880,7.7,14,12,1344,1152,50.06,52.387,53.115,0.845,1,50.037,51.664,52.883,0.753,1,1.1667,12,102.937,102.221,103.385,,,,,,0,0,
78,1790097815323418880,7.8,16,13,1552,1248,50.06,52.387,53.115,0.937,1,50.033,51.664,52.883,0.854,1,1.2436,13,102.93,102.221,103.385,,,,,,0,0,
79,1790097815423418880,7.9,18,16,1776,1536,50.06,52.387,53.286,1.027,1,50.03,51.664,52.883,0.796,1,1.1562,16,102.814,101.783,103.385,,,,,,0,0,
80,1790097815523418880,8.0,20,17,2000,1632,50.06,52.387,53.286,0.922,1,50.033,52.883,53.445,0.959,1,1.2255,17,102.842,101.783,103.385,,,,,,0,0,
