fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790099532581501058,1790099532581544261,192.168.60.90:57286,334
2,0,1790099533781618160,1790099533781660401,192.168.60.90:57286,346
3,1,1790099534381541796,1790099534381583110,192.168.60.90:57286,352
4,0,1790099564284107975,1790099564284154863,192.168.60.90:57286,651
5,1,1790099566781488321,1790099566781536265,192.168.60.90:57286,676
