fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790096644805118571,1790096644805162181,192.168.60.90:57269,531
2,0,1790096674806807933,1790096674806860581,192.168.60.90:57269,831
3,1,1790096674907357235,1790096674907398143,192.168.60.90:57269,832
4,0,1790096675007949575,1790096675007989500,192.168.60.90:57269,833
