fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790093560909501453,1790093560909544786,192.168.60.90:57334,181
2,0,1790093590913376689,1790093590913428781,192.168.60.90:57334,481
3,1,1790093609309403805,1790093609309441601,192.168.60.90:57334,665
