line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,20489135898451,,20489135969080,20489138906592,25.112,0.0000,0.0000,0.0000,0,0.6067,606,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,52,0,0
2,scan,1,0,20489182967214,,20489183118888,20489184482837,25.612,0.0001,-0.0000,0.0000,0,0.5964,596,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,52,0,0
3,scan,2,0,20489232887479,,20489233021391,20489234548322,25.662,0.0001,-0.0000,0.0000,0,0.5962,596,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,52,0,0
4,scan,3,0,20489282836283,,20489282994726,20489284657352,25.712,0.0001,-0.0000,0.0000,0,0.6040,604,220,0,220,1,1,1,20489183029136,20489248034339,65005,0,1,65005,65005,0,,,,3,220,1,0,0,0,52,0,0
5,scan,4,0,20489332737368,,20489332868894,20489334517834,25.762,0.0012,-0.0000,0.0000,0,0.5898,589,220,0,220,1,1,2,20489232934326,20489300646611,67712,0,1,65005,66358,0,,,,4,220,1,0,0,0,52,0,0
6,scan,5,0,20489382924537,,20489383061590,20489385386664,25.812,0.0035,-0.0000,0.0000,0,0.6032,603,220,0,220,1,1,3,20489282902174,20489350512247,67610,0,1,65005,66776,0,,,,5,220,1,0,0,0,52,0,0
7,scan,6,0,20489433723466,,20489433961483,20489435496184,25.862,0.0116,-0.0000,-0.0000,0,0.5813,581,220,0,220,1,1,4,20489332777760,20489400851278,68073,0,1,65005,67100,0,,,,6,220,1,0,0,0,52,0,0
8,scan,7,0,20489483506701,,20489483639632,20489485717169,25.912,0.0174,-0.0000,-0.0000,0,0.5821,582,220,0,220,1,1,5,20489382975468,20489450469818,67494,0,1,65005,67179,0,,,,7,220,1,0,0,0,52,0,0
9,scan,8,0,20489533508979,,20489533643951,20489536309212,25.962,0.0243,-0.0000,-0.0000,0,0.5779,577,220,0,220,1,1,6,20489433850476,20489501442765,67592,0,1,65005,67248,0,,,,8,220,1,0,0,0,52,0,0
10,scan,9,0,20489583300593,,20489583445067,20489585827272,26.012,0.0393,-0.0000,0.0000,0,0.5662,566,220,0,220,1,1,7,20489483555389,20489549481025,65925,0,1,65005,67059,0,,,,9,220,1,0,0,0,52,0,0
11,scan,10,0,20489634017297,,20489634158164,20489636548086,26.062,0.0467,-0.0000,0.0001,0,0.5430,543,220,0,220,1,1,8,20489533554127,20489597808016,64253,0,1,64253,66708,0,,,,10,220,1,0,0,0,52,0,0
12,scan,11,0,20489684089820,,20489684266019,20489686577495,26.112,0.0617,-0.0000,0.0002,0,0.5382,538,220,0,220,1,1,9,20489583351958,20489648262260,64910,0,1,64253,66508,0,,,,11,220,1,0,0,0,52,0,0
13,scan,12,0,20489734066500,,20489734215849,20489736472649,26.162,0.0692,-0.0000,0.0002,0,0.5334,533,220,0,220,1,1,10,20489634067342,20489698628650,64561,0,1,64253,66314,0,,,,12,220,1,0,0,0,52,0,0
14,scan,13,0,20489783577566,,20489783709093,20489785545650,26.212,0.0841,0.0000,0.0003,0,0.5277,527,220,-1,220,1,1,11,20489684153518,20489748288904,64135,0,1,64135,66115,0,,,,13,220,1,0,0,0,52,0,0
15,scan,14,0,20489833534198,,20489833694087,20489835732460,26.262,0.0916,0.0000,0.0003,0,0.5218,521,220,-1,220,1,1,12,20489734119432,20489798438396,64318,0,1,64135,65966,0,,,,14,220,1,0,0,0,52,0,0
16,scan,15,0,20489884063957,,20489884195645,20489886459659,26.312,0.1066,0.0000,0.0004,0,0.4951,495,220,-1,220,1,1,13,20489783626742,20489848148681,64521,0,1,64135,65855,0,,,,15,220,1,0,0,0,52,0,0
17,scan,16,0,20489933810115,,20489933991535,20489935566025,26.362,0.1140,0.0000,0.0004,0,0.4977,497,220,-1,220,1,1,14,20489833602734,20489901359223,67756,0,1,64135,65990,0,,,,16,220,1,0,0,0,52,0,0
18,scan,17,0,20489983572227,,20489983702957,20489985653541,26.412,0.1290,0.0000,0.0005,0,0.4922,492,220,-1,220,1,1,15,20489884107862,20489951278455,67170,0,1,64135,66069,0,,,,17,220,1,0,0,0,52,0,0
19,scan,18,0,20490033769174,,20490033900954,20490035562108,26.462,0.1365,0.0000,0.0005,0,0.4816,481,220,-1,220,1,1,16,20489933890053,20490000236733,66346,0,1,64135,66086,0,,,,18,220,1,0,0,0,52,0,0
20,scan,19,0,20490083889882,,20490084061900,20490085565943,26.512,0.1514,0.0000,0.0006,0,0.4799,479,220,-1,220,1,1,17,20489983617053,20490050511108,66894,0,1,64135,66134,0,,,,19,220,1,0,0,0,52,0,0
21,scan,20,0,20490133813365,,20490133954985,20490135646735,26.562,0.1589,0.0000,0.0006,0,0.4595,459,220,-1,220,1,1,18,20490033818027,20490101022334,67204,0,1,64135,66193,0,,,,20,220,1,0,0,0,52,0,0
22,scan,21,0,20490183746065,,20490183883609,20490185477417,26.612,0.1739,0.0000,0.0007,0,0.4691,469,220,-1,220,-1,1,19,20490083939118,20490151293731,67354,0,1,64135,66254,0,,,,21,220,-1,0,0,0,52,0,0
23,scan,22,0,20490233769430,,20490233931320,20490235490953,26.662,0.1814,0.0000,0.0007,0,0.4452,445,220,-1,220,-1,1,20,20490133862808,20490201495325,67632,0,1,64135,66323,0,,,,22,220,-1,0,0,0,52,0,0
24,scan,23,0,20490283703471,,20490283836232,20490285645086,26.712,0.1963,0.0001,0.0007,0,0.4416,441,220,-1,220,-1,1,21,20490183800650,20490251412058,67611,0,1,64135,66385,0,,,,23,220,-1,0,0,0,52,0,0
25,scan,24,0,20490333631204,,20490333754715,20490335475709,26.762,0.2038,0.0001,0.0006,0,0.4285,428,220,-1,220,-1,1,22,20490233823084,20490301047538,67224,0,1,64135,66423,0,,,,24,220,-1,0,0,0,52,0,0
26,scan,25,0,20490384043642,,20490384173879,20490386396599,26.812,0.2113,0.0001,0.0005,0,0.4225,422,220,-1,220,-1,1,23,20490283741890,20490350544801,66802,0,1,64135,66439,0,,,,25,220,-1,0,0,0,52,0,0
27,scan,26,0,20490433960771,,20490434084026,20490435521058,26.862,0.2263,0.0001,0.0005,0,0.4128,412,220,-1,220,-1,1,24,20490333675770,20490401373819,67698,0,1,64135,66492,0,,,,26,220,-1,0,0,0,52,0,0
28,scan,27,0,20490483737726,,20490483864117,20490485566008,26.912,0.2338,0.0001,0.0005,0,0.4150,414,220,-1,220,-1,1,25,20490384091279,20490452600190,68508,0,1,64135,66572,0,,,,27,220,-1,0,0,0,52,0,0
29,scan,28,0,20490533842394,,20490533961360,20490535479426,26.962,0.2487,0.0001,0.0004,0,0.4106,410,220,-1,220,1,1,26,20490434004132,20490501457694,67453,0,1,64135,66606,0,,,,28,220,1,0,0,0,52,0,0
30,scan,29,0,20490584046284,,20490584173188,20490586400363,27.012,0.2562,0.0001,0.0004,0,0.4058,405,220,-1,220,1,1,27,20490483784352,20490550439018,66654,0,1,64135,66608,0,,,,29,220,1,0,0,0,52,0,0
