fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790089997647782700,1790089997647825866,192.168.60.90:57323,292
2,0,1790090028448703334,1790090028448746796,192.168.60.90:57323,600
3,1,1790090028547788702,1790090028547825943,192.168.60.90:57323,601
