line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,24683556881010,,24683556969488,24683560110348,28.655,0.0000,0.0000,0.0000,0,0.6021,602,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,26,86,0,0
2,scan,1,0,24683589465376,,24683589610639,24683591760941,29.155,0.0001,-0.0000,0.0000,0,0.6016,601,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,86,0,0
3,scan,2,0,24683639572088,,24683639707390,24683641765483,29.205,0.0001,-0.0000,0.0000,0,0.5853,585,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,86,0,0
4,scan,3,0,24683689824768,,24683689963598,24683691902983,29.255,0.0001,-0.0000,0.0000,0,0.5957,595,220,0,0,0,0,,,,,1,1,,,0,,,,3,0,0,0,0,0,86,0,0
5,scan,4,0,24683739716087,,24683739853022,24683741998135,29.305,0.0001,-0.0000,0.0000,0,0.5946,594,220,0,0,0,0,,,,,1,1,,,0,,,,4,0,0,0,0,0,86,0,0
6,scan,5,0,24683789489345,,24683789612040,24683791824527,29.355,0.0001,-0.0000,0.0000,0,0.6007,600,220,0,0,0,0,,,,,1,1,,,0,,,,5,0,0,0,0,0,86,0,0
7,scan,6,0,24683839423886,,24683839553539,24683841777768,29.405,0.0001,-0.0000,0.0000,0,0.5929,592,220,0,220,1,1,1,24683589530094,24683797738972,208208,0,1,208208,208208,0,,,,6,220,1,0,0,0,86,0,0
8,scan,7,0,24683889502432,,24683889629869,24683891722085,29.455,0.0001,-0.0000,0.0000,0,0.5923,592,220,0,220,1,1,2,24683639628866,24683846160407,206531,0,1,206531,207370,0,,,,7,220,1,0,0,0,86,0,0
9,scan,8,0,24683939728650,,24683939853229,24683941929383,29.505,0.0035,-0.0000,0.0000,0,0.5966,596,220,0,220,1,1,3,24683689868156,24683894037728,204169,0,1,204169,206303,0,,,,8,220,1,0,0,0,86,0,0
10,scan,9,0,24683990171991,,24683990300329,24683991846869,29.555,0.0070,-0.0000,-0.0000,0,0.5802,580,220,0,220,1,1,4,24683739764220,24683947060226,207296,0,1,204169,206551,0,,,,9,220,1,0,0,0,86,0,0
11,scan,10,0,24684040903163,,24684041037149,24684042817971,29.605,0.0174,-0.0000,-0.0000,0,0.5711,571,220,0,220,1,1,5,24683789536277,24683998759389,209223,0,1,204169,207085,0,,,,10,220,1,0,0,0,86,0,0
12,scan,11,0,24684090845415,,24684090989894,24684092891832,29.655,0.0243,-0.0000,-0.0000,0,0.5655,565,220,0,220,1,1,6,24683839477672,24684046665213,207187,0,1,204169,207102,0,,,,11,220,1,0,0,0,86,0,0
13,scan,12,0,24684140583687,,24684140711444,24684142843096,29.705,0.0393,-0.0000,0.0000,0,0.5574,557,220,0,220,1,1,7,24683889550521,24684096490999,206940,0,1,204169,207079,0,,,,12,220,1,0,0,0,86,0,0
14,scan,13,0,24684190137944,,24684190263357,24684191905556,29.755,0.0467,-0.0000,0.0001,0,0.5594,559,220,0,220,1,1,8,24683939773608,24684145383367,205609,0,1,204169,206895,0,,,,13,220,1,0,0,0,86,0,0
15,scan,14,0,24684239792927,,24684239915680,24684241926086,29.805,0.0617,-0.0000,0.0002,0,0.5416,541,220,0,220,1,1,9,24683990219334,24684196855460,206636,0,1,204169,206867,0,,,,14,220,1,0,0,0,86,0,0
16,scan,15,0,24684289856510,,24684289997666,24684291897346,29.855,0.0692,-0.0000,0.0002,0,0.5378,537,220,0,220,1,1,10,24684040952268,24684248199780,207247,0,1,204169,206905,0,,,,15,220,1,0,0,0,86,0,0
17,scan,16,0,24684339709929,,24684339839196,24684341889286,29.905,0.0841,0.0000,0.0003,0,0.5202,520,220,-1,220,1,1,11,24684090897581,24684298404121,207506,0,1,204169,206959,0,,,,16,220,1,0,0,0,86,0,0
18,scan,17,0,24684389802590,,24684389934736,24684391940795,29.955,0.0916,0.0000,0.0003,0,0.5160,516,220,-1,220,1,1,12,24684140628206,24684348273598,207645,0,1,204169,207016,0,,,,17,220,1,0,0,0,86,0,0
19,scan,18,0,24684439969822,,24684440143826,24684441928620,30.005,0.1066,0.0000,0.0004,0,0.5152,515,220,-1,220,1,1,13,24684190186304,24684396685136,206498,0,1,204169,206977,0,,,,18,220,1,0,0,0,86,0,0
20,scan,19,0,24684490585530,,24684490729460,24684492934208,30.055,0.1140,0.0000,0.0004,0,0.4925,492,220,-1,220,1,1,14,24684239838110,24684447495378,207657,0,1,204169,207025,0,,,,19,220,1,0,0,0,86,0,0
21,scan,20,0,24684540477261,,24684540590908,24684542706093,30.105,0.1290,0.0000,0.0005,0,0.4952,495,220,-1,220,1,1,15,24684289907614,24684496780437,206872,0,1,204169,207015,0,,,,20,220,1,0,0,0,86,0,0
22,scan,21,0,24684590803975,,24684590930139,24684592834521,30.155,0.1365,0.0000,0.0005,0,0.4748,474,220,-1,220,1,1,16,24684339753443,24684544345180,204591,0,1,204169,206863,0,,,,21,220,1,0,0,0,86,0,0
23,scan,22,0,24684641068581,,24684641197333,24684642942376,30.205,0.1440,0.0000,0.0005,0,0.4755,475,220,-1,220,1,1,17,24684389850467,24684597039730,207189,0,1,204169,206883,0,,,,22,220,1,0,0,0,86,0,0
24,scan,23,0,24684691006991,,24684691158328,24684692841131,30.255,0.1589,0.0000,0.0006,0,0.4750,475,220,-1,220,1,1,18,24684440056491,24684645667730,205611,0,1,204169,206812,0,,,,23,220,1,0,0,0,86,0,0
25,scan,24,0,24684741147998,,24684741283438,24684742793084,30.305,0.1664,0.0000,0.0006,0,0.4649,464,220,-1,220,1,1,19,24684490645077,24684698231433,207586,0,1,204169,206853,0,,,,24,220,1,0,0,0,86,0,0
26,scan,25,0,24684791051866,,24684791206146,24684792968764,30.355,0.1814,0.0000,0.0007,0,0.4464,446,220,-1,220,1,1,20,24684540514235,24684747406141,206891,0,1,204169,206855,0,,,,25,220,1,0,0,0,86,0,0
27,scan,26,0,24684840817757,,24684841001189,24684842910695,30.405,0.1889,0.0001,0.0007,0,0.4401,440,220,-2,220,1,1,21,24684590849694,24684798306200,207456,0,1,204169,206883,0,,,,26,220,1,0,0,0,86,0,0
28,scan,27,0,24684890781578,,24684890910532,24684893798686,30.455,0.2038,0.0001,0.0008,0,0.4354,435,220,-2,220,-1,1,22,24684641114789,24684848491229,207376,0,1,204169,206906,0,,,,27,220,-1,0,0,0,86,0,0
29,scan,28,0,24684941085823,,24684941234498,24684942877405,30.505,0.2113,0.0001,0.0008,0,0.4330,432,220,-2,220,-1,1,23,24684691052168,24684898288515,207236,0,1,204169,206920,0,,,,28,220,-1,0,0,0,86,0,0
30,scan,29,0,24684991461054,,24684991603040,24684993770417,30.555,0.2263,0.0001,0.0008,0,0.4258,425,220,-2,220,-1,1,24,24684741192634,24684948480194,207287,0,1,204169,206935,0,,,,29,220,-1,0,0,0,86,0,0
31,scan,30,0,24685041548378,,24685041691584,24685043874049,30.605,0.2338,0.0001,0.0008,0,0.4115,411,220,-2,220,-1,1,25,24684791105563,24684997840972,206735,0,1,204169,206927,0,,,,30,220,-1,0,0,0,86,0,0
32,scan,31,0,24685091303219,,24685091428366,24685093738069,30.655,0.2487,0.0001,0.0006,0,0.4147,414,220,-1,220,-1,1,26,24684840884085,24685048233416,207349,0,1,204169,206944,0,,,,31,220,-1,0,0,0,86,0,0
33,scan,32,0,24685141324483,,24685141459528,24685143750563,30.705,0.2562,0.0001,0.0006,0,0.4017,401,220,-1,220,-1,1,27,24684890826878,24685097363130,206536,0,1,204169,206928,0,,,,32,220,-1,0,0,0,86,0,0
