fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790092680096231577,1790092680096271854,192.168.60.90:57294,195
2,0,1790092708799747961,1790092708799802590,192.168.60.90:57294,482
3,1,1790092731296075138,1790092731296113786,192.168.60.90:57294,707
