line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,1,22563683841365,,22563683895905,22563686873401,29.061,0.0000,0.0000,0.0000,0,0.6023,602,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,69,0,0
2,scan,1,1,22563710841409,,22563711008663,22563712711467,29.561,0.0001,-0.0000,0.0000,0,0.5911,591,220,0,0,0,0,,,,,1,1,,,0,,,,1,220,0,1,0,0,69,0,0
3,scan,2,1,22563760865414,,22563760987940,22563762645412,29.611,0.0012,-0.0000,0.0000,0,0.6007,600,220,0,0,0,0,,,,,1,1,,,0,,,,2,220,0,1,0,0,69,0,0
4,scan,3,1,22563811276358,,22563811426489,22563813539393,29.661,0.0035,-0.0000,0.0000,0,0.5886,588,220,0,0,0,0,,,,,1,1,,,0,,,,3,220,0,1,0,0,69,0,0
5,scan,4,1,22563860986691,,22563861116249,22563862691247,29.711,0.0116,-0.0000,-0.0000,0,0.5972,597,220,0,220,1,1,1,22563710919199,22563816409267,105490,0,1,105490,105490,0,,,,4,220,0,1,0,0,69,0,0
6,scan,5,1,22563910706469,,22563910833181,22563912642389,29.761,0.0174,-0.0000,-0.0000,0,0.5775,577,220,0,220,1,1,2,22563760911568,22563865543697,104632,0,1,104632,105061,0,,,,5,220,0,1,0,0,69,0,0
7,scan,6,1,22563961887904,,22563962026690,22563963685911,29.811,0.0318,-0.0000,-0.0000,0,0.5731,573,220,0,220,1,1,3,22563811327272,22563919154654,107827,0,1,104632,105983,0,,,,6,220,0,1,0,0,69,0,0
8,scan,7,1,22564011822685,,22564011953962,22564013651972,29.861,0.0393,-0.0000,-0.0000,0,0.5513,551,220,0,220,1,1,4,22563861039554,22563968148268,107108,0,1,104632,106264,0,,,,7,220,0,1,0,0,69,0,0
9,scan,8,1,22564061760731,,22564061889293,22564063766270,29.911,0.0542,-0.0000,-0.0000,0,0.5519,551,220,0,220,1,1,5,22563910753435,22564017441016,106687,0,1,104632,106349,0,,,,8,220,0,1,0,0,69,0,0
10,scan,9,1,22564111651873,,22564111787522,22564113869475,29.961,0.0617,-0.0000,-0.0000,0,0.5427,542,220,0,220,1,1,6,22563961938190,22564069516663,107578,0,1,104632,106554,0,,,,9,220,0,1,0,0,69,0,0
11,scan,10,1,22564161359001,,22564161480944,22564163544958,30.011,0.0766,-0.0000,-0.0000,0,0.5347,534,220,0,220,1,1,7,22564011870233,22564119560972,107690,0,1,104632,106716,0,,,,10,220,0,1,0,0,69,0,0
12,scan,11,1,22564211718647,,22564211839795,22564213641774,30.061,0.0841,-0.0000,-0.0000,0,0.5280,527,220,0,220,1,1,8,22564061806876,22564169437873,107630,0,1,104632,106830,0,,,,11,220,0,1,0,0,69,0,0
13,scan,12,1,22564262100203,,22564262226517,22564263701672,30.111,0.0991,-0.0000,-0.0000,0,0.5100,510,220,0,220,1,1,9,22564111699146,22564218773071,107073,0,1,104632,106857,0,,,,12,220,0,1,0,0,69,0,0
14,scan,13,1,22564311680323,,22564311809919,22564313716081,30.161,0.1066,-0.0000,-0.0000,0,0.5081,508,220,0,220,1,1,10,22564161402321,22564267913956,106511,0,1,104632,106823,0,,,,13,220,0,1,0,0,69,0,0
15,scan,14,1,22564361552844,,22564361693330,22564363721296,30.211,0.1140,-0.0000,-0.0000,0,0.4793,479,220,0,220,1,1,11,22564211761656,22564317881725,106120,0,1,104632,106759,0,,,,14,220,0,1,0,0,69,0,0
16,scan,15,1,22564411960410,,22564412142543,22564413707293,30.261,0.1290,-0.0000,-0.0000,0,0.4955,495,220,0,220,1,1,12,22564262138599,22564368237151,106098,0,1,104632,106704,0,,,,15,220,0,1,0,0,69,0,0
17,scan,16,1,22564461900192,,22564462044614,22564463754338,30.311,0.1365,-0.0000,-0.0000,0,0.4798,479,220,0,220,1,1,13,22564311726853,22564418847010,107120,0,1,104632,106736,0,,,,16,220,0,1,0,0,69,0,0
18,scan,17,1,22564511730457,,22564511861256,22564513691169,30.361,0.1514,-0.0000,-0.0000,0,0.4686,468,220,0,220,1,1,14,22564361602579,22564469096231,107493,0,1,104632,106790,0,,,,17,220,0,1,0,0,69,0,0
19,scan,18,1,22564561929392,,22564562124285,22564563626650,30.411,0.1589,-0.0000,-0.0000,0,0.4595,459,220,0,220,1,1,15,22564412052456,22564519254876,107202,0,1,104632,106817,0,,,,18,220,0,1,0,0,69,0,0
20,scan,19,1,22564611840169,,22564611977348,22564613756961,30.461,0.1739,-0.0000,-0.0000,0,0.4563,456,220,0,220,1,1,16,22564461949196,22564566367500,104418,0,1,104418,106667,0,,,,19,220,0,1,0,0,69,0,0
21,scan,20,1,22564662078108,,22564662236381,22564663839289,30.511,0.1814,-0.0000,-0.0000,0,0.4562,456,220,0,220,1,1,17,22564511777150,22564616348499,104571,0,1,104418,106544,0,,,,20,220,0,1,0,0,69,0,0
22,scan,21,1,22564711719456,,22564711865911,22564714000624,30.561,0.1963,-0.0000,-0.0000,0,0.4461,446,220,0,220,1,1,18,22564561976267,22564666384085,104407,0,1,104407,106425,0,,,,21,220,0,1,0,0,69,0,0
23,scan,22,1,22564761822425,,22564761976746,22564763681027,30.611,0.2038,-0.0000,-0.0000,0,0.4253,425,220,0,220,1,1,19,22564611886864,22564716314677,104427,0,1,104407,106320,0,,,,22,220,0,1,0,0,69,0,0
24,scan,23,1,22564811828905,,22564811980533,22564813797612,30.661,0.2188,-0.0000,-0.0000,0,0.4319,431,220,0,220,1,1,20,22564662135923,22564767573293,105437,0,1,104407,106276,0,,,,23,220,0,1,0,0,69,0,0
