fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790100037407539191,1790100037407584116,192.168.60.90:57285,350
2,0,1790100039607488358,1790100039607530284,192.168.60.90:57285,372
3,1,1790100068507423955,1790100068507462807,192.168.60.90:57285,661
