fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790096338024089134,1790096338024130504,192.168.60.90:57266,356
2,0,1790096339321217304,1790096339321264841,192.168.60.90:57266,369
3,1,1790096339521300620,1790096339521341527,192.168.60.90:57266,371
4,0,1790096368822571136,1790096368822623228,192.168.60.90:57266,664
5,1,1790096369321212585,1790096369321258158,192.168.60.90:57266,669
