fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790090635339848436,1790090635339892972,192.168.60.90:57334,271
2,0,1790090636139839072,1790090636139882368,192.168.60.90:57334,279
3,1,1790090637439805519,1790090637439850760,192.168.60.90:57334,292
4,0,1790090665743183012,1790090665743234808,192.168.60.90:57334,575
