fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790099386044443563,1790099386044485007,192.168.60.90:57246,349
2,0,1790099400144450492,1790099400144493455,192.168.60.90:57246,490
3,1,1790099400244490020,1790099400244532002,192.168.60.90:57246,491
