fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790092998318220417,1790092998318264158,192.168.60.90:57299,189
2,0,1790093030207981057,1790093030208029353,192.168.60.90:57299,508
3,1,1790093039718257169,1790093039718308261,192.168.60.90:57299,603
