fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790092531997152724,1790092531997203743,192.168.60.90:57288,236
2,0,1790092539697126690,1790092539697177820,192.168.60.90:57288,313
3,1,1790092542597131762,1790092542597172669,192.168.60.90:57288,342
4,0,1790092554605718232,1790092554605761398,192.168.60.90:57288,462
5,1,1790092555297215790,1790092555297256011,192.168.60.90:57288,469
6,0,1790092556092033111,1790092556092082778,192.168.60.90:57288,477
