line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,20068432259767,,20068432309906,20068433559890,29.954,0.0000,0.0000,0.0000,0,0.6068,606,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,48,0,0
2,scan,1,0,20068433787289,,20068433885664,20068435992207,30.004,0.0001,-0.0000,0.0000,0,0.5916,591,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,48,0,0
3,scan,2,0,20068434797924,,20068434861691,20068437317080,30.054,0.0001,-0.0000,0.0000,0,0.5985,598,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,48,0,0
4,scan,3,0,20068435833623,,20068435907326,20068439412523,30.104,0.0001,-0.0000,0.0000,0,0.5939,593,220,0,0,0,0,,,,,1,1,,,0,,,,3,0,0,0,0,0,48,0,0
5,scan,4,0,20068437095066,,20068437528022,20068440884565,30.154,0.0001,-0.0000,0.0000,0,0.5972,597,220,0,0,0,0,,,,,1,1,,,0,,,,4,0,0,0,0,0,48,0,0
6,scan,5,0,20068438954502,,20068439602840,20068442347180,30.204,0.0001,-0.0000,0.0000,0,0.5774,577,220,0,0,0,0,,,,,1,1,,,0,,,,5,0,0,0,0,0,48,0,0
7,scan,6,0,20068440571847,,20068440838243,20068443497948,30.254,0.0001,-0.0000,0.0000,0,0.5954,595,220,0,0,0,0,,,,,1,1,,,0,,,,6,0,0,0,0,0,48,0,0
8,scan,7,0,20068442076910,,20068442445809,20068444456287,30.304,0.0001,-0.0000,0.0000,0,0.5974,597,220,0,0,0,0,,,,,1,1,,,0,,,,7,0,0,0,0,0,48,0,0
9,scan,8,0,20068443806875,,20068443895214,20068445670860,30.354,0.0001,-0.0000,0.0000,0,0.6005,600,220,0,0,0,0,,,,,1,1,,,0,,,,8,0,0,0,0,0,48,0,0
10,scan,9,0,20068445290704,,20068445596581,20068447647739,30.404,0.0001,-0.0000,0.0000,0,0.5929,592,220,0,0,0,0,,,,,1,1,,,0,,,,9,0,0,0,0,0,48,0,0
11,scan,10,0,20068451742728,,20068451899934,20068453473091,30.454,0.0001,-0.0000,0.0000,0,0.6042,604,220,0,0,0,0,,,,,1,1,,,0,,,,10,0,0,0,0,0,48,0,0
12,scan,11,0,20068501449457,,20068501733829,20068503585741,30.504,0.0001,-0.0000,0.0000,0,0.6003,600,220,0,220,1,1,4,20068437460330,20068501609914,64149,0,1,64149,64149,0,,,,11,220,1,0,0,0,48,0,0
13,scan,12,0,20068551346659,,20068551471441,20068553527179,30.554,0.0012,-0.0000,0.0000,0,0.6046,604,220,0,220,1,1,10,20068451800863,20068516042265,64241,0,1,64149,64195,0,,,,12,220,1,0,0,0,48,0,0
14,scan,13,0,20068601825567,,20068601965158,20068603586567,30.604,0.0035,-0.0000,0.0000,0,0.5898,589,220,0,220,1,1,11,20068501498936,20068565692260,64193,0,1,64149,64194,0,,,,13,220,1,0,0,0,48,0,0
15,scan,14,0,20068651694103,,20068651811452,20068653522216,30.654,0.0116,-0.0000,-0.0000,0,0.5740,574,220,0,220,1,1,12,20068551394208,20068619319405,67925,0,1,64149,65127,0,,,,14,220,1,0,0,0,48,0,0
16,scan,15,0,20068701508790,,20068701629406,20068703437512,30.704,0.0174,-0.0000,-0.0000,0,0.5773,577,220,0,220,1,1,13,20068601877658,20068669741543,67863,0,1,64149,65674,0,,,,15,220,1,0,0,0,48,0,0
17,scan,16,0,20068751676735,,20068751804970,20068753471447,30.754,0.0318,-0.0000,0.0000,0,0.5752,575,220,0,220,1,1,14,20068651739568,20068719518437,67778,0,1,64149,66025,0,,,,16,220,1,0,0,0,48,0,0
18,scan,17,0,20068801371351,,20068801492142,20068803467499,30.804,0.0393,-0.0000,0.0000,0,0.5580,558,220,0,220,1,1,15,20068701552825,20068768222086,66669,0,1,64149,66117,0,,,,17,220,1,0,0,0,48,0,0
19,scan,18,0,20068851279607,,20068851395386,20068853475884,30.854,0.0542,-0.0000,0.0001,0,0.5573,557,220,0,220,1,1,16,20068751720735,20068819591921,67871,0,1,64149,66336,0,,,,18,220,1,0,0,0,48,0,0
20,scan,19,0,20068901660495,,20068901778882,20068903492047,30.904,0.0617,-0.0000,0.0002,0,0.5464,546,220,0,220,1,1,17,20068801414369,20068869407761,67993,0,1,64149,66520,0,,,,19,220,1,0,0,0,48,0,0
21,scan,20,0,20068951663499,,20068951780388,20068953746653,30.954,0.0766,0.0000,0.0002,0,0.5338,533,220,0,220,1,1,18,20068851319545,20068918514693,67195,0,1,64149,66588,0,,,,20,220,1,0,0,0,48,0,0
22,scan,21,0,20069001875256,,20069002019131,20069003686551,31.004,0.0841,0.0000,0.0003,0,0.5232,523,220,-1,220,1,1,19,20068901702240,20068969037288,67335,0,1,64149,66656,0,,,,21,220,1,0,0,0,48,0,0
23,scan,22,0,20069051858672,,20069052106723,20069053656236,31.054,0.0916,0.0000,0.0003,0,0.5224,522,220,-1,220,1,1,20,20068951703185,20069019198333,67495,0,1,64149,66726,0,,,,22,220,1,0,0,0,48,0,0
24,scan,23,0,20069101928770,,20069102058310,20069103585582,31.104,0.1066,0.0000,0.0004,0,0.5035,503,220,-1,220,1,1,21,20069001921193,20069069170834,67249,0,1,64149,66766,0,,,,23,220,1,0,0,0,48,0,0
25,scan,24,0,20069151863647,,20069152019622,20069153534075,31.154,0.1140,0.0000,0.0004,0,0.4964,496,220,-1,220,1,1,22,20069051972445,20069119337392,67364,0,1,64149,66809,0,,,,24,220,1,0,0,0,48,0,0
26,scan,25,0,20069202005442,,20069202157071,20069204381300,31.204,0.1290,0.0000,0.0005,0,0.4985,498,220,-1,220,1,1,23,20069101976117,20069168935062,66958,0,1,64149,66819,0,,,,25,220,1,0,0,0,48,0,0
27,scan,26,0,20069251814860,,20069251960658,20069253521458,31.254,0.1365,0.0000,0.0005,0,0.4801,480,220,-1,220,1,1,24,20069151912248,20069218732497,66820,0,1,64149,66819,0,,,,26,220,1,0,0,0,48,0,0
28,scan,27,0,20069301709374,,20069301844667,20069303475524,31.304,0.1514,0.0000,0.0006,0,0.4706,470,220,-1,220,1,1,25,20069202054123,20069269107632,67053,0,1,64149,66832,0,,,,27,220,1,0,0,0,48,0,0
29,scan,28,0,20069352499967,,20069352660706,20069355375293,31.354,0.1589,0.0000,0.0006,0,0.4661,466,220,-1,220,1,1,26,20069251866587,20069315994133,64127,0,1,64127,66682,0,,,,28,220,1,0,0,0,48,0,0
30,scan,29,0,20069402233261,,20069402362234,20069404405100,31.404,0.1739,0.0000,0.0007,0,0.4460,446,220,-1,220,-1,1,27,20069301764975,20069369155009,67390,0,1,64127,66719,0,,,,29,220,-1,0,0,0,48,0,0
31,scan,30,0,20069452306164,,20069452433395,20069454442906,31.454,0.1814,0.0000,0.0007,0,0.4580,457,220,-1,220,-1,1,28,20069352558036,20069420087917,67529,0,1,64127,66760,0,,,,30,220,-1,0,0,0,48,0,0
32,scan,31,0,20069502168956,,20069502289283,20069504858891,31.504,0.1963,0.0001,0.0007,0,0.4417,441,220,-2,220,-1,1,29,20069402279101,20069469804624,67525,0,1,64127,66796,0,,,,31,220,-1,0,0,0,48,0,0
33,scan,32,0,20069552315144,,20069552452056,20069554582926,31.554,0.2038,0.0001,0.0006,0,0.4344,434,220,-1,220,-1,1,30,20069452352397,20069517250124,64897,0,1,64127,66710,0,,,,32,220,-1,0,0,0,48,0,0
34,scan,33,0,20069602738104,,20069602875511,20069604653701,31.604,0.2188,0.0001,0.0005,0,0.4202,420,220,-1,220,-1,1,31,20069502211450,20069569627146,67415,0,1,64127,66741,0,,,,33,220,-1,0,0,0,48,0,0
35,scan,34,0,20069652408439,,20069652538247,20069654543437,31.654,0.2263,0.0001,0.0005,0,0.4076,407,220,-1,220,-1,1,32,20069552362359,20069619786375,67424,0,1,64127,66769,0,,,,34,220,-1,0,0,0,48,0,0
36,scan,35,0,20069702240290,,20069702377224,20069704664008,31.704,0.2412,0.0001,0.0005,0,0.4176,417,220,-1,220,-1,1,33,20069602790717,20069667067130,64276,0,1,64127,66669,0,,,,35,220,-1,0,0,0,48,0,0
37,scan,36,0,20069752613029,,20069752750430,20069754480494,31.754,0.2487,0.0001,0.0004,0,0.4017,401,220,-1,220,1,1,34,20069652457389,20069716967005,64509,0,1,64127,66586,0,,,,36,220,1,0,0,0,48,0,0
38,scan,37,0,20069802574726,,20069802709986,20069804539523,31.804,0.2637,0.0001,0.0003,0,0.4000,399,220,-1,220,1,1,35,20069702288262,20069766630845,64342,0,1,64127,66503,0,,,,37,220,1,0,1,0,48,0,0
