fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790095615573341323,1790095615573382674,192.168.60.90:57246,273
2,0,1790095616060830074,1790095616060872629,192.168.60.90:57246,278
3,1,1790095617060795305,1790095617060836897,192.168.60.90:57246,288
4,0,1790095640760868170,1790095640760916966,192.168.60.90:57246,525
5,1,1790095640860801143,1790095640860835124,192.168.60.90:57246,526
