line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,25217489418248,,25217489464854,25217492589203,25.748,0.0000,0.0000,0.0000,0,0.6012,601,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,90,0,0
2,scan,1,0,25217541882002,,25217542038122,25217543998836,26.298,0.0001,-0.0000,0.0000,0,0.6087,608,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,90,0,0
3,scan,2,0,25217592133713,,25217592258305,25217594826233,26.348,0.0001,-0.0000,0.0000,0,0.5986,598,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,90,0,0
4,scan,3,0,25217642062635,,25217642185189,25217643837478,26.398,0.0001,-0.0000,0.0000,0,0.6019,601,220,0,220,1,1,1,25217541962126,25217607285004,65322,0,1,65322,65322,0,,,,3,220,1,0,0,0,90,0,0
5,scan,4,0,25217692315019,,25217692458463,25217694036962,26.448,0.0001,-0.0000,0.0000,0,0.5921,592,220,0,220,1,1,2,25217592182002,25217656286175,64104,0,1,64104,64713,0,,,,4,220,1,0,0,0,90,0,0
6,scan,5,0,25217742553100,,25217742845904,25217745035786,26.498,0.0035,-0.0000,0.0000,0,0.5971,597,220,0,220,1,1,3,25217642108261,25217706854704,64746,0,1,64104,64724,0,,,,5,220,1,0,0,0,90,0,0
7,scan,6,0,25217792918870,,25217793053136,25217794981846,26.548,0.0070,-0.0000,-0.0000,0,0.5823,582,220,0,220,1,1,4,25217692364173,25217756999830,64635,0,1,64104,64702,0,,,,6,220,1,0,0,0,90,0,0
8,scan,7,0,25217842738518,,25217842889068,25217845029882,26.598,0.0174,-0.0000,-0.0000,0,0.5834,583,220,0,220,1,1,5,25217742753407,25217807489649,64736,0,1,64104,64709,0,,,,7,220,1,0,0,0,90,0,0
9,scan,8,0,25217893044052,,25217893174832,25217894922322,26.648,0.0243,-0.0000,-0.0000,0,0.5456,545,220,0,220,1,1,6,25217792968479,25217857380292,64411,0,1,64104,64659,0,,,,8,220,1,0,0,0,90,0,0
10,scan,9,0,25217943510785,,25217943719694,25217946029618,26.698,0.0393,-0.0000,0.0000,0,0.5722,572,220,0,220,1,1,7,25217842781026,25217907184201,64403,0,1,64104,64622,0,,,,9,220,1,0,0,0,90,0,0
11,scan,10,0,25217993497426,,25217993767743,25217995922535,26.748,0.0467,-0.0000,0.0001,0,0.5540,553,220,0,220,1,1,8,25217893093045,25217957678485,64585,0,1,64104,64618,0,,,,10,220,1,0,0,0,90,0,0
12,scan,11,0,25218043012122,,25218043146172,25218045036814,26.798,0.0542,-0.0000,0.0001,0,0.5512,551,220,0,220,1,1,9,25217943549181,25218013459561,69910,0,1,64104,65206,0,,,,11,220,1,0,0,0,90,0,0
13,scan,12,0,25218092826828,,25218092970357,25218095105420,26.848,0.0692,-0.0000,0.0002,0,0.5251,525,220,0,220,1,1,10,25217993594095,25218061426755,67832,0,1,64104,65468,0,,,,12,220,1,0,0,0,90,0,0
14,scan,13,0,25218142843061,,25218142973697,25218145035515,26.898,0.0766,0.0000,0.0002,0,0.5324,532,220,0,220,1,1,11,25218043061953,25218107642409,64580,0,1,64104,65388,0,,,,13,220,1,0,0,0,90,0,0
15,scan,14,0,25218192909582,,25218193079837,25218194945518,26.948,0.0916,0.0000,0.0003,0,0.5206,520,220,-1,220,1,1,12,25218092887434,25218159321684,66434,0,1,64104,65475,0,,,,14,220,1,0,0,0,90,0,0
16,scan,15,0,25218242719690,,25218242842034,25218244821337,26.998,0.0991,0.0000,0.0003,0,0.5034,503,220,-1,220,1,1,13,25218142890936,25218209659888,66768,0,1,64104,65574,0,,,,15,220,1,0,0,0,90,0,0
17,scan,16,0,25218292899761,,25218293023863,25218295030413,27.048,0.1140,0.0000,0.0004,0,0.5005,500,220,-1,220,1,1,14,25218192982507,25218259839136,66856,0,1,64104,65666,0,,,,16,220,1,0,0,0,90,0,0
18,scan,17,0,25218343488380,,25218343728354,25218346058438,27.098,0.1215,0.0000,0.0004,0,0.4934,493,220,-1,220,1,1,15,25218242767362,25218310428511,67661,0,1,64104,65799,0,,,,17,220,1,0,0,0,90,0,0
19,scan,18,0,25218396703446,,25218396890444,25218398902463,27.148,0.1365,0.0000,0.0005,0,0.4951,495,220,-1,220,1,1,16,25218292945458,25218359560071,66614,0,1,64104,65850,0,,,,18,220,1,0,0,0,90,0,0
20,scan,19,0,25218445419318,,25218445769401,25218447940467,27.198,0.1440,0.0000,0.0005,0,0.4765,476,220,-1,220,1,1,17,25218343544503,25218411657037,68112,0,1,64104,65983,0,,,,19,220,1,0,0,0,90,0,0
21,scan,20,0,25218495329920,,25218495604516,25218497829475,27.248,0.1589,0.0000,0.0006,0,0.4612,461,220,-1,220,1,1,18,25218396769624,25218463861428,67091,0,1,64104,66044,0,,,,20,220,1,0,0,0,90,0,0
22,scan,21,0,25218544234242,,25218544419481,25218546005064,27.298,0.1664,0.0000,0.0006,0,0.4594,459,220,-1,220,-1,1,19,25218445471183,25218512920297,67449,0,1,64104,66118,0,,,,21,220,-1,0,0,0,90,0,0
23,scan,22,0,25218593869942,,25218594006448,25218595855158,27.348,0.1814,0.0000,0.0007,0,0.4528,452,220,-1,220,-1,1,20,25218495429589,25218560167648,64738,0,1,64104,66049,0,,,,22,220,-1,0,0,0,90,0,0
24,scan,23,0,25218643933695,,25218644096734,25218645905553,27.398,0.1889,0.0001,0.0007,0,0.4361,436,220,-1,220,-1,1,21,25218544298190,25218611791257,67493,0,1,64104,66118,0,,,,23,220,-1,0,0,0,90,0,0
25,scan,24,0,25218693557329,,25218693684645,25218695904566,27.448,0.2038,0.0001,0.0005,0,0.4420,441,220,-1,220,-1,1,22,25218593912848,25218662123901,68211,0,1,64104,66213,0,,,,24,220,-1,0,0,0,90,0,0
26,scan,25,0,25218744347015,,25218744630002,25218746963664,27.498,0.2113,0.0001,0.0005,0,0.4227,422,220,-1,220,-1,1,23,25218643981315,25218712143495,68162,0,1,64104,66298,0,,,,25,220,-1,0,0,0,90,0,0
27,scan,26,0,25218794020104,,25218794161179,25218796045460,27.548,0.2263,0.0001,0.0004,0,0.4162,416,220,-1,220,-1,1,24,25218693598207,25218758402290,64804,0,1,64104,66236,0,,,,26,220,-1,0,0,0,90,0,0
28,scan,27,0,25218843796874,,25218843931124,25218845885794,27.598,0.2338,0.0001,0.0004,0,0.4153,415,220,-1,220,1,1,25,25218744447280,25218811665257,67217,0,1,64104,66275,0,,,,27,220,1,0,0,0,90,0,0
29,scan,28,0,25218893938834,,25218894075029,25218895868856,27.648,0.2412,0.0001,0.0004,0,0.4121,412,220,-1,220,1,1,26,25218794075679,25218861928403,67852,0,1,64104,66336,0,,,,28,220,1,0,0,0,90,0,0
30,scan,29,0,25218943673452,,25218943815952,25218946047320,27.698,0.2562,0.0001,0.0004,0,0.3976,397,220,-1,220,1,1,27,25218843848204,25218911230848,67382,0,1,64104,66374,0,,,,29,220,1,0,1,0,90,0,0
31,scan,30,0,25218993748653,,25218993885396,25218995865133,27.748,0.2637,0.0001,0.0004,0,0.3940,394,220,-1,220,1,1,28,25218893988261,25218961342870,67354,0,1,64104,66409,0,,,,30,220,1,0,1,0,90,0,0
32,scan,31,0,25219043989633,,25219044182505,25219045947352,27.798,0.2786,0.0001,0.0006,0,0.3939,393,220,-1,220,1,1,29,25218943725819,25219011071171,67345,0,1,64104,66442,0,,,,31,220,1,0,1,0,90,0,0
33,scan,32,0,25219093797404,,25219093937974,25219095842956,27.848,0.2861,0.0001,0.0006,0,0.3955,395,220,-1,220,1,1,30,25218993798063,25219060942246,67144,0,1,64104,66465,0,,,,32,220,1,0,1,0,90,0,0
34,scan,33,0,25219143842454,,25219143979357,25219145972317,27.898,0.3010,0.0001,0.0006,0,0.3769,376,220,-1,220,-1,1,31,25219044096152,25219108747091,64650,0,1,64104,66406,0,,,,33,220,-1,0,1,0,90,0,0
35,scan,34,0,25219193967187,,25219194106604,25219196097609,27.948,0.3085,0.0001,0.0006,0,0.3737,373,220,-2,220,-1,1,32,25219093847054,25219161312784,67465,0,1,64104,66440,0,,,,34,220,-1,0,1,0,90,0,0
36,scan,35,0,25219243825882,,25219243971757,25219245926676,27.998,0.3235,0.0001,0.0007,0,0.3729,372,220,-2,220,-1,1,33,25219143892313,25219211942185,68049,0,1,64104,66488,0,,,,35,220,-1,0,1,0,90,0,0
37,scan,36,0,25219293978064,,25219294113916,25219295904562,28.048,0.3310,0.0001,0.0006,0,0.3688,368,220,-1,220,-1,1,34,25219194017449,25219261597997,67580,0,1,64104,66520,0,,,,36,220,-1,0,1,0,90,0,0
38,scan,37,0,25219343759492,,25219343900844,25219345952520,28.098,0.3459,0.0001,0.0005,0,0.3648,364,220,-1,220,-1,1,35,25219243875815,25219311856657,67980,0,1,64104,66562,0,,,,37,220,-1,0,1,0,90,0,0
39,scan,38,0,25219394307055,,25219394615830,25219396845630,28.148,0.3534,0.0001,0.0004,0,0.3576,357,220,-1,220,-1,1,36,25219294033761,25219361362248,67328,0,1,64104,66583,0,,,,38,220,-1,0,1,0,90,0,0
40,scan,39,0,25219444080715,,25219444217059,25219445837883,28.198,0.3684,0.0001,0.0004,0,0.3629,362,220,-1,220,1,1,37,25219343809227,25219411770574,67961,0,1,64104,66621,0,,,,39,220,1,0,1,0,90,0,0
41,scan,40,0,25219494453034,,25219494584751,25219496987662,28.248,0.3758,0.0001,0.0004,0,0.3651,365,220,-1,220,1,1,38,25219394358957,25219461809263,67450,0,1,64104,66642,0,,,,40,220,1,0,1,0,90,0,0
42,scan,41,0,25219544334457,,25219544468229,25219546860258,28.298,0.3908,0.0002,0.0004,0,0.3595,359,220,-1,220,1,1,39,25219444129031,25219511647749,67518,0,1,64104,66665,0,,,,41,220,1,0,1,0,90,0,0
43,scan,42,0,25219594645084,,25219594783249,25219596863004,28.348,0.3983,0.0002,0.0004,0,0.3774,377,220,-1,220,1,1,40,25219494503598,25219561719415,67215,0,1,64104,66679,0,,,,42,220,1,0,1,0,90,0,0
44,scan,43,0,25219644732327,,25219644872761,25219646840309,28.398,0.4132,0.0002,0.0006,0,0.3677,367,220,-2,220,1,1,41,25219544380122,25219611763599,67383,0,1,64104,66730,0,,,,43,220,1,0,1,0,90,0,0
45,scan,44,0,25219694835728,,25219694976996,25219696930336,28.448,0.4207,0.0002,0.0006,0,0.3863,386,220,-2,220,1,1,42,25219594695196,25219662198011,67502,0,1,64104,66815,0,,,,44,220,1,0,1,0,90,0,0
46,scan,45,0,25219745799254,,25219745941589,25219748041326,28.498,0.4282,0.0002,0.0006,0,0.3804,380,220,-2,220,-1,1,43,25219644775022,25219711760522,66985,0,1,64104,66871,0,,,,45,220,-1,0,1,0,90,0,0
47,scan,46,0,25219795420397,,25219795560042,25219796846990,28.548,0.4432,0.0002,0.0006,0,0.4269,426,220,-2,220,0,1,44,25219694884641,25219762418649,67534,0,1,64104,66944,0,,,,46,220,0,0,0,0,90,0,0
48,scan,47,0,25219845188019,,25219845326140,25219846830014,28.598,0.4507,0.0002,0.0007,0,0.6453,645,220,-2,220,0,1,45,25219745851621,25219813551982,67700,0,1,64104,67018,0,,,,47,220,0,0,0,0,90,0,0
49,scan,48,0,25219894925031,,25219895048050,25219896888179,28.648,0.4656,0.0002,0.0006,0,1.4983,1498,220,-2,220,0,1,46,25219795471873,25219859986074,64514,0,1,64104,67020,0,,,,48,220,0,0,0,0,90,0,0
50,scan,49,0,25219944875830,,25219945029882,25219946942462,28.698,0.4731,0.0002,0.0006,0,1.4814,1481,220,-2,220,0,1,47,25219845238410,25219912477852,67239,0,1,64104,67091,0,,,,49,220,0,0,0,0,90,0,0
51,scan,50,0,25219995330717,,25219995470600,25219996939802,28.748,0.4881,0.0002,0.0006,0,1.4822,1482,220,-2,220,0,1,48,25219894968201,25219961611073,66642,0,1,64104,67143,0,,,,50,220,0,0,0,0,90,0,0
52,scan,51,0,25220045123448,,25220045261720,25220046839199,28.798,0.4955,0.0002,0.0006,0,1.4651,1465,220,-2,220,0,1,49,25219944936629,25220011780700,66844,0,1,64104,67066,0,,,,51,220,0,0,0,0,90,0,0
53,scan,52,0,25220095446738,,25220095587150,25220097761593,28.848,0.5105,0.0002,0.0006,0,1.4558,1455,220,-2,220,0,1,50,25219995380004,25220063116587,67736,0,1,64104,67064,0,,,,52,220,0,0,0,0,90,0,0
54,scan,53,0,25220145512586,,25220145648518,25220147942909,28.898,0.5180,0.0002,0.0006,0,1.4445,1444,220,-2,220,0,1,51,25220045173737,25220111896588,66722,0,1,64104,67117,0,,,,53,220,0,0,0,0,90,0,0
55,scan,54,0,25220195487030,,25220195611137,25220197797151,28.948,0.5329,0.0002,0.0006,0,1.4340,1433,220,-2,220,0,1,52,25220095496066,25220162834162,67338,0,1,64104,67140,0,,,,54,220,0,0,0,0,90,0,0
56,scan,55,0,25220245728421,,25220245897030,25220247971016,28.998,0.5404,0.0002,0.0006,0,1.4199,1419,220,-2,220,0,1,53,25220145562121,25220212814452,67252,0,1,64104,67152,0,,,,55,220,0,0,0,0,90,0,0
57,scan,56,0,25220295686992,,25220295805222,25220297960047,29.048,0.5554,0.0002,0.0006,0,1.4092,1409,220,-2,220,0,1,54,25220195530457,25220262444488,66914,0,1,64104,67153,0,,,,56,220,0,0,0,0,90,0,0
58,scan,57,0,25220345468088,,25220345592176,25220347754487,29.098,0.5628,0.0003,0.0006,0,1.3790,1378,220,-2,220,0,1,55,25220245782402,25220309158457,63376,0,1,63376,67046,0,,,,57,220,0,0,0,0,90,0,0
59,scan,58,0,25220395203679,,25220395328230,25220396908590,29.148,0.5778,0.0003,0.0006,0,1.3776,1377,220,-2,220,0,1,56,25220295726045,25220362220223,66494,0,1,63376,67033,0,,,,58,220,0,0,0,0,90,0,0
60,scan,59,0,25220445395965,,25220445537490,25220447789926,29.198,0.5853,0.0003,0.0006,0,1.3627,1362,220,-2,220,0,1,57,25220345510898,25220412029915,66519,0,1,63376,67030,0,,,,59,220,0,0,0,0,90,0,0
61,scan,60,0,25220495441801,,25220495573463,25220497835873,29.248,0.6003,0.0003,0.0006,0,1.3623,1362,220,-2,220,0,1,58,25220395241241,25220461720605,66479,0,1,63376,66988,0,,,,60,220,0,0,0,0,90,0,0
62,scan,61,0,25220545227239,,25220545389137,25220546869545,29.298,0.6077,0.0003,0.0006,0,1.3539,1353,220,-2,220,0,1,59,25220445447671,25220512799078,67351,0,1,63376,66986,0,,,,61,220,0,0,0,0,90,0,0
