fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790100777864766778,1790100777864811149,192.168.60.90:57279,230
2,0,1790100780364656866,1790100780364694273,192.168.60.90:57279,255
3,1,1790100821064628344,1790100821064663880,192.168.60.90:57279,662
