line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,21353044194870,,21353044241790,21353046906830,23.715,0.0000,0.0000,0.0000,0,0.6022,602,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,58,0,0
2,scan,1,0,21353083576449,,21353083731100,21353085586971,24.215,0.0001,-0.0000,0.0000,0,0.5991,599,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,58,0,0
3,scan,2,0,21353133426920,,21353133555035,21353135530209,24.265,0.0001,-0.0000,0.0000,0,0.5964,596,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,58,0,0
4,scan,3,0,21353183016121,,21353183137641,21353184571593,24.315,0.0001,-0.0000,0.0000,0,0.5882,588,220,0,0,0,0,,,,,1,1,,,0,,,,3,0,0,0,0,0,58,0,0
5,scan,4,0,21353233132872,,21353233289712,21353235870809,24.365,0.0001,-0.0000,0.0000,0,0.5962,596,220,0,220,1,1,1,21353083649725,21353190385705,106735,0,1,106735,106735,0,,,,4,220,1,0,0,0,58,0,0
6,scan,5,0,21353283531151,,21353283719875,21353285677399,24.415,0.0012,-0.0000,0.0000,0,0.5857,585,220,0,220,1,1,2,21353133474778,21353240771188,107296,0,1,106735,107016,0,,,,5,220,1,0,0,0,58,0,0
7,scan,6,0,21353333785247,,21353333936187,21353335730125,24.465,0.0035,-0.0000,-0.0000,0,0.5837,583,220,0,220,1,1,3,21353183059785,21353290425206,107365,0,1,106735,107132,0,,,,6,220,1,0,0,0,58,0,0
8,scan,7,0,21353384160198,,21353384300809,21353386511505,24.515,0.0116,-0.0000,-0.0000,0,0.5799,579,220,0,220,1,1,4,21353233196739,21353340395319,107198,0,1,106735,107148,0,,,,7,220,1,0,0,0,58,0,0
9,scan,8,0,21353433972223,,21353434109785,21353435628527,24.565,0.0174,-0.0000,-0.0000,0,0.5807,580,220,0,220,1,1,5,21353283619444,21353390920273,107300,0,1,106735,107179,0,,,,8,220,1,0,0,0,58,0,0
10,scan,9,0,21353483837171,,21353483971501,21353485615416,24.615,0.0318,-0.0000,0.0000,0,0.5528,552,220,0,220,1,1,6,21353333840331,21353441658294,107817,0,1,106735,107285,0,,,,9,220,1,0,0,0,58,0,0
11,scan,10,0,21353533865840,,21353534008053,21353535547624,24.665,0.0393,-0.0000,0.0000,0,0.5647,564,220,0,220,1,1,7,21353384211840,21353491047002,106835,0,1,106735,107221,0,,,,10,220,1,0,0,0,58,0,0
12,scan,11,0,21353583811145,,21353583949583,21353585662753,24.715,0.0542,-0.0000,0.0001,0,0.5527,552,220,0,220,1,1,8,21353434022889,21353541343710,107320,0,1,106735,107233,0,,,,11,220,1,0,0,0,58,0,0
13,scan,12,0,21353634129187,,21353634299036,21353636457901,24.765,0.0617,-0.0000,0.0002,0,0.5446,544,220,0,220,1,1,9,21353483883091,21353591140133,107257,0,1,106735,107236,0,,,,12,220,1,0,0,0,58,0,0
14,scan,13,0,21353683670329,,21353683827575,21353685558947,24.815,0.0766,0.0000,0.0002,0,0.5252,525,220,0,220,1,1,10,21353533917321,21353641411794,107494,0,1,106735,107262,0,,,,13,220,1,0,0,0,58,0,0
15,scan,14,0,21353733880360,,21353734008185,21353735548883,24.865,0.0841,0.0000,0.0003,0,0.5121,512,220,-1,220,1,1,11,21353583858163,21353691435292,107577,0,1,106735,107290,0,,,,14,220,1,0,0,0,58,0,0
16,scan,15,0,21353783747614,,21353783866464,21353785658615,24.915,0.0991,0.0000,0.0003,0,0.5194,519,220,-1,220,1,1,12,21353634193610,21353741582764,107389,0,1,106735,107299,0,,,,15,220,1,0,0,0,58,0,0
17,scan,16,0,21353833825943,,21353833976010,21353835627887,24.965,0.1066,0.0000,0.0004,0,0.5056,505,220,-1,220,1,1,13,21353683713642,21353791178660,107465,0,1,106735,107311,0,,,,16,220,1,0,0,0,58,0,0
18,scan,17,0,21353883626479,,21353883753034,21353885567352,25.015,0.1215,0.0000,0.0004,0,0.4950,495,220,-1,220,1,1,14,21353733925818,21353840817319,106891,0,1,106735,107281,0,,,,17,220,1,0,0,0,58,0,0
19,scan,18,0,21353934102336,,21353934279822,21353936520055,25.065,0.1290,0.0000,0.0005,0,0.4776,477,220,-1,220,1,1,15,21353783787632,21353890816750,107029,0,1,106735,107265,0,,,,18,220,1,0,0,0,58,0,0
20,scan,19,0,21353983833584,,21353983978833,21353985727221,25.115,0.1365,0.0000,0.0005,0,0.4768,476,220,-1,220,1,1,16,21353833878929,21353942697681,108818,0,1,106735,107362,0,,,,19,220,1,0,0,0,58,0,0
21,scan,20,0,21354033782100,,21354033902458,21354035642434,25.165,0.1514,0.0000,0.0006,0,0.4812,481,220,-1,220,1,1,17,21353883666304,21353991092505,107426,0,1,106735,107365,0,,,,20,220,1,0,0,0,58,0,0
22,scan,21,0,21354084101571,,21354084254813,21354085636174,25.215,0.1589,0.0000,0.0006,0,0.4603,460,220,-1,220,1,1,18,21353934165022,21354045725360,111560,0,1,106735,107598,0,,,,21,220,1,0,0,0,58,0,0
23,scan,22,0,21354133874081,,21354134012871,21354135656362,25.265,0.1739,0.0000,0.0007,0,0.4480,447,220,-1,220,1,1,19,21353983885306,21354091042252,107156,0,1,106735,107575,0,,,,22,220,1,0,0,0,58,0,0
24,scan,23,0,21354184818749,,21354184995818,21354186508043,25.315,0.1814,0.0000,0.0007,0,0.4428,442,220,-1,220,-1,1,20,21354033823811,21354141115057,107291,0,1,106735,107561,0,,,,23,220,-1,0,0,0,58,0,0
25,scan,24,0,21354234481846,,21354234628811,21354236543162,25.365,0.1963,0.0001,0.0008,0,0.4416,441,220,-2,220,-1,1,21,21354084155350,21354190957190,106801,0,1,106735,107525,0,,,,24,220,-1,0,0,0,58,0,0
26,scan,25,0,21354284496204,,21354284626192,21354286576005,25.415,0.2038,0.0001,0.0007,0,0.4432,443,220,-2,220,-1,1,22,21354133929891,21354241266343,107336,0,1,106735,107516,0,,,,25,220,-1,0,0,0,58,0,0
27,scan,26,0,21354334330209,,21354334482572,21354337542027,25.465,0.2188,0.0001,0.0006,0,0.4245,424,220,-1,220,-1,1,23,21354184894715,21354292549458,107654,0,1,106735,107522,0,,,,26,220,-1,0,0,0,58,0,0
28,scan,27,0,21354384279170,,21354384398642,21354386474153,25.515,0.2263,0.0001,0.0005,0,0.4043,404,220,-1,220,-1,1,24,21354234526569,21354342592198,108065,0,1,106735,107545,0,,,,27,220,-1,0,0,0,58,0,0
29,scan,28,0,21354434403597,,21354434547970,21354436569383,25.565,0.2412,0.0001,0.0005,0,0.4045,404,220,-1,220,-1,1,25,21354284543790,21354392192597,107648,0,1,106735,107549,0,,,,28,220,-1,0,0,0,58,0,0
