line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,19466904079007,,19466904147193,19466907113858,17.444,0.0000,0.0000,0.0000,0,0.5881,588,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,46,0,0
2,scan,1,0,19466936877663,,19466937075851,19466939397444,17.944,0.0001,-0.0000,0.0000,0,0.5992,599,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,46,0,0
3,scan,2,0,19466986787889,,19466986902553,19466988567191,17.994,0.0001,-0.0000,0.0000,0,0.5901,590,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,46,0,0
4,scan,3,0,19467036981358,,19467037102231,19467039577132,18.044,0.0001,-0.0000,0.0000,0,0.5957,595,220,0,220,1,1,1,19466936926952,19467001967544,65040,0,1,65040,65040,0,,,,3,220,1,0,0,0,46,0,0
5,scan,4,0,19467086723417,,19467086845103,19467088527229,18.094,0.0001,-0.0000,0.0000,0,0.5978,597,220,0,220,1,1,2,19466986832938,19467054593675,67760,0,1,65040,66400,0,,,,4,220,1,0,0,0,46,0,0
6,scan,5,0,19467136759074,,19467136873422,19467138653344,18.144,0.0012,-0.0000,0.0000,0,0.5872,587,220,0,220,1,1,3,19467037021807,19467105270597,68248,0,1,65040,67016,0,,,,5,220,1,0,0,0,46,0,0
7,scan,6,0,19467187312291,,19467187443523,19467189834662,18.194,0.0070,-0.0000,-0.0000,0,0.5952,595,220,0,220,1,1,4,19467086768740,19467154389757,67621,0,1,65040,67167,0,,,,6,220,1,0,0,0,46,0,0
8,scan,7,0,19467237115341,,19467237238559,19467239495226,18.244,0.0116,-0.0000,-0.0000,0,0.5835,583,220,0,220,1,1,5,19467136801611,19467204072494,67270,0,1,65040,67188,0,,,,7,220,1,0,0,0,46,0,0
9,scan,8,0,19467287366205,,19467287482067,19467289483873,18.294,0.0243,-0.0000,-0.0000,0,0.5806,580,220,0,220,1,1,6,19467187358749,19467251678736,64319,0,1,64319,66710,0,,,,8,220,1,0,0,0,46,0,0
10,scan,9,0,19467337342617,,19467337503219,19467339470025,18.344,0.0318,-0.0000,0.0000,0,0.5541,554,220,0,220,1,1,7,19467237160888,19467304323104,67162,0,1,64319,66774,0,,,,9,220,1,0,0,0,46,0,0
11,scan,10,0,19467387146108,,19467387264442,19467389345603,18.394,0.0467,-0.0000,0.0001,0,0.5588,558,220,0,220,1,1,8,19467287408010,19467352331819,64923,0,1,64319,66543,0,,,,10,220,1,0,0,0,46,0,0
