fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790090336566136681,1790090336566180292,192.168.60.90:57338,179
2,0,1790090337665496871,1790090337665540834,192.168.60.90:57338,190
3,1,1790090337766109322,1790090337766145858,192.168.60.90:57338,191
