fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790091059548741836,1790091059548787039,192.168.60.90:57336,250
2,0,1790091064848702133,1790091064848755003,192.168.60.90:57336,303
3,1,1790091064948773235,1790091064948808827,192.168.60.90:57336,304
4,0,1790091088631851295,1790091088631897683,192.168.60.90:57336,541
5,1,1790091100748759419,1790091100748802030,192.168.60.90:57336,662
