fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790098152066553264,1790098152066596486,192.168.60.90:57311,309
2,0,1790098183370263632,1790098183370318039,192.168.60.90:57311,622
3,1,1790098187266539443,1790098187266585276,192.168.60.90:57311,661
