fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790090484007438403,1790090484007494255,192.168.60.90:57294,180
2,0,1790090513696096939,1790090513696147346,192.168.60.90:57294,477
3,1,1790090536307327502,1790090536307363409,192.168.60.90:57294,703
