fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790090918914254624,1790090918914296568,192.168.60.90:57338,176
2,0,1790090950898294093,1790090950898347166,192.168.60.90:57338,496
3,1,1790090975314122305,1790090975314160286,192.168.60.90:57338,740
