line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,1,24111769415789,,24111769463166,24111772172608,29.252,0.0000,0.0000,0.0000,0,0.5829,582,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,79,0,0
2,scan,1,1,24111800163835,,24111800313515,24111801791968,29.752,0.0001,-0.0000,0.0000,0,0.5988,598,220,0,0,0,0,,,,,1,1,,,0,,,,1,220,0,1,0,0,79,0,0
3,scan,2,1,24111850018585,,24111850133183,24111851751098,29.802,0.0012,-0.0000,0.0000,0,0.5926,592,220,0,0,0,0,,,,,1,1,,,0,,,,2,220,0,1,0,0,79,0,0
4,scan,3,1,24111900131800,,24111900253095,24111901823587,29.852,0.0035,-0.0000,0.0000,0,0.5957,595,220,0,0,0,0,,,,,1,1,,,0,,,,3,220,0,1,0,0,79,0,0
5,scan,4,1,24111950454786,,24111950574101,24111952765310,29.902,0.0116,-0.0000,-0.0000,0,0.5913,591,220,0,0,0,0,,,,,1,1,,,0,,,,4,220,0,1,0,0,79,0,0
6,scan,5,1,24112000594884,,24112000731592,24112002764078,29.952,0.0174,-0.0000,-0.0000,0,0.5701,570,220,0,0,0,0,,,,,1,1,,,0,,,,5,220,0,1,0,0,79,0,0
7,scan,6,1,24112050566440,,24112050703260,24112052876380,30.002,0.0318,-0.0000,-0.0000,0,0.5642,564,220,0,220,1,1,1,24111800231188,24112005480771,205249,0,1,205249,205249,0,,,,6,220,0,1,0,0,79,0,0
8,scan,7,1,24112100678142,,24112100804642,24112102859078,30.052,0.0393,-0.0000,-0.0000,0,0.5605,560,220,0,220,1,1,2,24111850059645,24112056598087,206538,0,1,205249,205894,0,,,,7,220,0,1,0,0,79,0,0
9,scan,8,1,24112150563167,,24112150696334,24112152744666,30.102,0.0542,-0.0000,-0.0000,0,0.5550,554,220,0,220,1,1,3,24111900177537,24112105149799,204972,0,1,204972,205586,0,,,,8,220,0,1,0,0,79,0,0
10,scan,9,1,24112200637047,,24112200779406,24112202891746,30.152,0.0617,-0.0000,-0.0000,0,0.5453,545,220,0,220,1,1,4,24111950497216,24112156603432,206106,0,1,204972,205716,0,,,,9,220,0,1,0,0,79,0,0
11,scan,10,1,24112250896784,,24112251045238,24112252825515,30.202,0.0692,-0.0000,-0.0000,0,0.5238,523,220,0,220,1,1,5,24112000636450,24112207079313,206442,0,1,204972,205861,0,,,,10,220,0,1,0,0,79,0,0
12,scan,11,1,24112300822561,,24112300964890,24112302769091,30.252,0.0841,-0.0000,-0.0000,0,0.5302,530,220,0,220,1,1,6,24112050625717,24112256742723,206117,0,1,204972,205904,0,,,,11,220,0,1,0,0,79,0,0
13,scan,12,1,24112350871369,,24112351000687,24112352851669,30.302,0.0916,-0.0000,-0.0000,0,0.5261,526,220,0,220,1,1,7,24112100723767,24112306814743,206090,0,1,204972,205931,0,,,,12,220,0,1,0,0,79,0,0
14,scan,13,1,24112400741694,,24112400866510,24112402787501,30.352,0.1066,-0.0000,-0.0000,0,0.5054,505,220,0,220,1,1,8,24112150615860,24112356535155,205919,0,1,204972,205929,0,,,,13,220,0,1,0,0,79,0,0
15,scan,14,1,24112450952762,,24112451092854,24112452812689,30.402,0.1140,-0.0000,-0.0000,0,0.4906,490,220,0,220,1,1,9,24112200687758,24112406730879,206043,0,1,204972,205942,0,,,,14,220,0,1,0,0,79,0,0
