fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790097086745692686,1790097086745735741,192.168.60.90:57279,292
2,0,1790097115549196080,1790097115549257635,192.168.60.90:57279,580
3,1,1790097121045691422,1790097121045736570,192.168.60.90:57279,635
