fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790100344102346910,1790100344102391354,192.168.60.90:57318,282
2,0,1790100345702312721,1790100345702354702,192.168.60.90:57318,298
3,1,1790100382002292363,1790100382002333307,192.168.60.90:57318,661
