step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790097057607846144,0.1,2,0,260,0,0.48,0.48,0.48,0.0,2,,,,,0,,0,,,,,,,,,0,0,
2,1790097057707846144,0.2,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
3,1790097057807846144,0.3,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
4,1790097057907846144,0.4,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
5,1790097058007846144,0.5,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
6,1790097058107846144,0.6,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
7,1790097058207846144,0.7,3,1,292,92,54.45,108.42,108.42,53.97,2,,,,,0,3.1739,0,,,,,,,,,0,0,
8,1790097058307846144,0.8,4,1,404,92,108.42,644.151,644.151,214.557,2,,,,,0,4.3913,0,,,,,,,,,0,0,
9,1790097058407846144,0.9,4,1,404,92,108.42,644.151,644.151,214.557,2,,,,,0,4.3913,0,,,,,,,,,0,0,
10,1790097058507846144,1.0,4,1,404,92,108.42,644.151,644.151,214.557,2,,,,,0,4.3913,0,,,,,,,,,0,0,
11,1790097058607846144,1.1,2,1,144,92,644.151,644.151,644.151,0.0,1,,,,,0,1.5652,0,,,,,,,,,0,0,
12,1790097058707846144,1.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790097058807846144,1.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790097058907846144,1.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790097059007846144,1.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790097059107846144,1.6,2,0,224,0,760.06,760.06,760.06,0.0,1,,,,,0,,0,,,,,,,,,0,0,
17,1790097059207846144,1.7,2,0,224,0,760.06,760.06,760.06,0.0,1,,,,,0,,0,,,,,,,,,0,0,
18,1790097059307846144,1.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
