fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790099231717138710,1790099231717186766,192.168.60.90:57281,310
2,0,1790099232917028185,1790099232917067925,192.168.60.90:57281,322
3,1,1790099234117022140,1790099234117058528,192.168.60.90:57281,334
4,0,1790099270118935201,1790099270118993219,192.168.60.90:57281,694
