fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790095473199296406,1790095473199342665,192.168.60.90:57258,183
2,0,1790095473499308455,1790095473499354677,192.168.60.90:57258,186
3,1,1790095474299308647,1790095474299351406,192.168.60.90:57258,194
4,0,1790095503901799593,1790095503901855963,192.168.60.90:57258,490
5,1,1790095521899227973,1790095521899271176,192.168.60.90:57258,670
