fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790096139491859538,1790096139491902963,192.168.60.90:57333,279
2,0,1790096170297544601,1790096170297588619,192.168.60.90:57333,587
3,1,1790096179591817455,1790096179591865547,192.168.60.90:57333,680
4,0,1790096180193976278,1790096180194025315,192.168.60.90:57333,686
5,1,1790096180391863850,1790096180391908202,192.168.60.90:57333,688
