fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790093996623251021,1790093996623292336,192.168.60.90:57294,209
2,0,1790094027713280041,1790094027713330208,192.168.60.90:57294,520
3,1,1790094027813811066,1790094027813855473,192.168.60.90:57294,521
4,0,1790094047523191904,1790094047523229348,192.168.60.90:57294,718
5,1,1790094048323087023,1790094048323121670,192.168.60.90:57294,726
