step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790098121227495936,0.1,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
2,1790098121327495936,0.2,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
3,1790098121427495936,0.3,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
4,1790098121527495936,0.4,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
5,1790098121627495936,0.5,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
6,1790098121727495936,0.6,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
7,1790098121827495936,0.7,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
8,1790098121927495936,0.8,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
9,1790098122027495936,0.9,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
10,1790098122127495936,1.0,1,0,32,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
11,1790098122227495936,1.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
12,1790098122327495936,1.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790098122427495936,1.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790098122527495936,1.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790098122627495936,1.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790098122727495936,1.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
17,1790098122827495936,1.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
18,1790098122927495936,1.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790098123027495936,1.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790098123127495936,2.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790098123227495936,2.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790098123327495936,2.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790098123427495936,2.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790098123527495936,2.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790098123627495936,2.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790098123727495936,2.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790098123827495936,2.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790098123927495936,2.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790098124027495936,2.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790098124127495936,3.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790098124227495936,3.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790098124327495936,3.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790098124427495936,3.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790098124527495936,3.4,2,0,224,0,762.144,762.144,762.144,0.0,1,,,,,0,,0,,,,,,,,,0,0,
35,1790098124627495936,3.5,2,0,224,0,762.144,762.144,762.144,0.0,1,,,,,0,,0,,,,,,,,,0,0,
36,1790098124727495936,3.6,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790098124827495936,3.7,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790098124927495936,3.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790098125027495936,3.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790098125127495936,4.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790098125227495936,4.1,2,0,224,0,765.84,765.84,765.84,0.0,1,,,,,0,,0,,,,,,,,,0,0,
42,1790098125327495936,4.2,2,0,224,0,765.84,765.84,765.84,0.0,1,,,,,0,,0,,,,,,,,,0,0,
43,1790098125427495936,4.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
44,1790098125527495936,4.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790098125627495936,4.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
