step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790093542877477120,0.1,13,12,1236,1148,1.364,23.038,26.829,4.265,11,1.324,2.341,50.317,4.924,11,1.0767,11,32.449,32.33,33.504,,,,,,0,0,
2,1790093542977477120,0.2,15,14,1428,1340,1.545,49.554,50.745,10.606,11,1.608,50.159,50.317,11.613,11,1.0657,13,32.449,32.33,33.504,,,,,,0,0,
3,1790093543077477120,0.3,17,16,1620,1532,1.681,50.047,50.745,15.319,11,1.62,50.317,50.34,16.536,11,1.0574,15,32.457,32.33,33.504,,,,,,0,0,
4,1790093543177477120,0.4,19,18,1812,1724,2.051,50.047,50.745,18.979,11,1.699,50.207,50.34,20.282,11,1.051,17,32.48,32.33,33.504,,,,,,0,0,
5,1790093543277477120,0.5,21,20,2004,1916,12.685,50.047,50.745,21.84,11,2.341,50.207,50.34,23.185,11,1.0459,19,32.763,32.33,33.504,,,,,,0,0,
6,1790093543377477120,0.6,23,22,2196,2108,24.934,50.326,50.778,22.327,11,49.281,50.317,51.192,23.303,11,1.0417,21,32.763,32.33,33.504,,,,,,0,0,
7,1790093543477477120,0.7,25,24,2404,2300,38.191,50.326,50.778,22.382,11,49.581,50.317,51.192,21.316,11,1.0452,23,32.763,32.33,33.504,,,,,,0,0,
8,1790093543577477120,0.8,27,26,2628,2492,49.617,50.326,50.778,20.705,11,49.771,50.324,51.192,19.641,11,1.0546,25,32.763,32.33,33.504,,,,,,0,0,
9,1790093543677477120,0.9,29,28,2852,2684,49.706,50.326,50.778,19.254,11,49.795,50.317,51.192,18.201,11,1.0626,27,32.763,32.33,33.504,,,,,,0,0,
10,1790093543777477120,1.0,31,30,3076,2876,49.749,50.326,50.778,17.982,11,49.805,50.317,51.192,16.967,11,1.0695,29,32.773,32.33,33.504,,,,,,0,0,
11,1790093543877477120,1.1,20,20,2064,1920,49.989,50.414,50.778,0.259,1,49.999,50.324,51.192,0.232,1,1.075,20,32.84,32.34,32.973,,,,,,0,0,
12,1790093543977477120,1.2,20,20,2096,1920,49.989,50.414,51.053,0.27,1,49.98,50.324,51.192,0.255,1,1.0917,20,32.84,32.364,32.973,,,,,,0,0,
13,1790093544077477120,1.3,20,20,2128,1920,49.865,50.414,51.053,0.313,1,49.98,50.324,51.192,0.308,1,1.1083,20,32.845,32.364,32.973,,,,,,0,0,
14,1790093544177477120,1.4,20,20,2160,1920,49.989,50.414,51.053,0.315,1,49.98,50.33,51.192,0.353,1,1.125,20,32.845,31.816,32.973,,,,,,0,0,
15,1790093544277477120,1.5,20,20,2192,1920,49.989,50.778,51.053,0.347,1,49.999,50.866,51.899,0.428,1,1.1417,20,32.835,31.721,32.973,,,,,,0,0,
16,1790093544377477120,1.6,20,20,2224,1920,49.989,50.59,51.053,0.37,1,49.999,50.719,51.899,0.439,1,1.1583,20,32.845,31.721,32.973,,,,,,0,0,
17,1790093544477477120,1.7,20,20,2240,1920,49.989,50.59,51.053,0.374,1,49.98,50.719,51.899,0.446,1,1.1667,20,32.851,31.721,32.973,,,,,,0,0,
18,1790093544577477120,1.8,20,20,2240,1920,49.989,50.59,51.053,0.371,1,49.951,50.719,51.899,0.433,1,1.1667,20,32.864,31.721,32.998,,,,,,0,0,
19,1790093544677477120,1.9,20,20,2240,1920,49.989,50.59,51.053,0.364,1,49.925,50.719,51.899,0.447,1,1.1667,20,32.851,31.721,32.998,,,,,,0,0,
20,1790093544777477120,2.0,20,20,2240,1920,49.988,50.789,51.053,0.404,1,49.925,50.719,51.899,0.458,1,1.1667,20,32.851,31.721,32.998,,,,,,0,0,
21,1790093544877477120,2.1,20,20,2240,1920,49.988,50.789,51.053,0.397,1,49.925,50.817,51.899,0.526,1,1.1667,20,32.833,31.721,32.998,,,,,,0,0,
22,1790093544977477120,2.2,20,20,2240,1920,50.003,50.59,50.95,0.301,1,49.951,50.719,51.899,0.455,1,1.1667,20,32.835,31.721,32.998,,,,,,0,0,
23,1790093545077477120,2.3,20,20,2240,1920,50.003,50.59,50.95,0.309,1,49.951,50.719,51.899,0.483,1,1.1667,20,32.833,31.721,32.998,,,,,,0,0,
24,1790093545177477120,2.4,20,20,2240,1920,49.988,50.59,50.95,0.303,1,49.951,50.719,51.899,0.447,1,1.1667,20,32.821,31.721,32.998,,,,,,0,0,
25,1790093545277477120,2.5,20,20,2240,1920,49.988,50.5,50.95,0.255,1,49.972,50.57,50.817,0.317,1,1.1667,20,32.792,32.009,32.998,,,,,,0,0,
26,1790093545377477120,2.6,20,20,2240,1920,49.988,50.322,50.95,0.251,1,49.972,50.56,50.817,0.315,1,1.1667,20,32.771,32.009,32.998,,,,,,0,0,
27,1790093545477477120,2.7,20,20,2240,1920,50.06,50.322,50.95,0.257,1,50.053,50.56,50.817,0.329,1,1.1667,20,32.767,32.009,32.998,,,,,,0,0,
28,1790093545577477120,2.8,20,20,2240,1920,50.006,50.322,50.95,0.24,1,50.053,50.56,50.817,0.316,1,1.1667,20,32.771,32.009,32.997,,,,,,0,0,
29,1790093545677477120,2.9,20,20,2240,1920,50.095,50.322,50.95,0.237,1,50.083,50.56,50.817,0.319,1,1.1667,20,32.782,32.009,32.997,,,,,,0,0,
30,1790093545777477120,3.0,21,20,2352,1920,50.078,50.277,50.5,2.686,1,50.083,50.57,50.817,0.315,1,1.225,20,32.782,32.009,46.522,,,,,,0,0,
31,1790093545877477120,3.1,21,20,2352,1920,50.107,50.277,50.5,2.707,1,50.053,50.332,50.715,0.29,1,1.225,20,32.808,32.195,83.032,,,,,,0,0,
32,1790093545977477120,3.2,21,20,2352,1920,50.107,50.292,50.5,2.69,1,50.083,50.332,50.715,0.261,1,1.225,20,32.808,32.195,83.032,,,,,,0,0,
33,1790093546077477120,3.3,21,20,2352,1920,50.107,50.277,50.5,2.683,1,50.083,50.331,50.715,0.228,1,1.225,20,32.821,32.195,83.124,,,,,,0,0,
34,1790093546177477120,3.4,21,20,2352,1920,50.146,50.277,50.5,2.659,1,50.158,50.331,50.715,0.203,1,1.225,20,32.926,32.195,83.124,,,,,,0,0,
35,1790093546277477120,3.5,21,20,2352,1920,50.139,50.242,50.292,2.644,1,50.143,50.286,50.715,0.204,1,1.225,20,64.54,32.195,83.124,,,,,,0,0,
36,1790093546377477120,3.6,21,20,2352,1920,50.127,50.242,50.292,2.632,1,50.092,50.227,50.715,0.178,1,1.225,20,82.604,32.195,83.124,,,,,,0,0,
37,1790093546477477120,3.7,22,20,2464,1920,50.119,50.242,50.292,3.205,1,50.092,50.286,50.715,0.22,1,1.2833,20,82.674,32.195,83.124,,,,,,0,0,
38,1790093546577477120,3.8,22,20,2464,1920,50.073,50.242,50.292,4.907,1,50.143,50.359,50.715,0.232,1,1.2833,20,82.844,32.195,97.272,,,,,,0,0,
39,1790093546677477120,3.9,22,20,2464,1920,49.997,50.238,50.292,4.913,1,50.143,50.359,50.715,0.221,1,1.2833,20,83.009,32.195,133.01,,,,,,0,0,
40,1790093546777477120,4.0,21,20,2352,1920,50.05,50.242,50.378,2.668,1,50.16,50.286,50.361,0.202,1,1.225,20,83.054,82.272,133.308,,,,,,0,0,
41,1790093546877477120,4.1,21,20,2352,1920,50.139,50.242,50.378,2.653,1,50.16,50.286,50.361,0.222,1,1.225,20,83.112,82.272,133.308,,,,,,0,0,
42,1790093546977477120,4.2,21,20,2352,1920,50.082,50.241,50.378,2.673,1,50.16,50.359,50.522,0.245,1,1.225,20,83.171,82.272,133.308,,,,,,0,0,
43,1790093547077477120,4.3,21,20,2352,1920,50.012,50.242,50.615,2.694,1,50.092,50.361,50.655,0.27,1,1.225,20,114.556,82.272,133.366,,,,,,0,0,
44,1790093547177477120,4.4,21,20,2352,1920,49.92,50.241,50.615,2.692,1,50.009,50.361,50.655,0.289,1,1.225,20,132.157,82.272,133.366,,,,,,0,0,
45,1790093547277477120,4.5,22,20,2464,1920,49.818,50.241,50.615,4.901,1,49.937,50.361,50.655,0.308,1,1.2833,20,132.257,82.272,133.366,,,,,,0,0,
46,1790093547377477120,4.6,22,20,2464,1920,49.781,50.241,50.615,4.903,1,50.009,50.522,50.655,0.323,1,1.2833,20,132.434,82.272,143.717,,,,,,0,0,
47,1790093547477477120,4.7,22,20,2464,1920,49.818,50.378,50.615,4.269,1,50.009,50.522,50.655,0.312,1,1.2833,20,132.622,83.219,183.166,,,,,,0,0,
48,1790093547577477120,4.8,21,20,2352,1920,49.863,50.378,50.615,2.707,1,49.937,50.522,50.655,0.305,1,1.225,20,132.857,131.793,183.166,,,,,,0,0,
49,1790093547677477120,4.9,21,20,2352,1920,49.908,50.378,50.615,2.697,1,49.937,50.522,50.655,0.293,1,1.225,20,133.203,131.793,183.166,,,,,,0,0,
50,1790093547777477120,5.0,21,20,2352,1920,49.908,50.192,50.615,2.677,1,49.937,50.522,50.655,0.287,1,1.225,20,133.29,131.793,183.166,,,,,,0,0,
51,1790093547877477120,5.1,21,20,2352,1920,49.908,50.151,50.615,2.664,1,50.01,50.522,50.655,0.286,1,1.225,20,163.101,131.793,183.166,,,,,,0,0,
52,1790093547977477120,5.2,21,20,2352,1920,50.038,50.503,51.22,2.727,1,50.033,50.546,51.223,0.35,1,1.225,20,182.665,131.793,184.328,0.698,1.037,124.514,1.037,1.037,1,0,
53,1790093548077477120,5.3,21,20,2352,1920,50.038,50.503,51.22,2.783,1,50.033,50.546,52.448,0.492,1,1.225,20,182.713,131.793,185.363,0.698,1.037,124.561,1.037,1.037,1,0,
54,1790093548177477120,5.4,21,20,2352,1920,50.038,50.503,51.22,2.8,1,50.102,50.546,52.448,0.595,1,1.225,20,182.794,131.793,185.363,0.698,1.037,124.643,1.037,1.037,1,0,
55,1790093548277477120,5.5,20,20,2240,1920,50.078,50.626,51.22,0.345,1,50.102,50.553,52.448,0.584,1,1.1667,20,182.967,132.558,185.363,0.821,1.045,124.816,1.045,1.045,1,0,
56,1790093548377477120,5.6,20,20,2240,1920,50.051,50.626,51.22,0.355,1,50.033,50.72,52.448,0.6,1,1.1667,20,183.091,181.81,185.363,0.821,1.212,124.939,1.212,1.212,1,0,
57,1790093548477477120,5.7,20,20,2240,1920,50.051,50.781,51.22,0.382,1,50.102,50.994,52.448,0.647,1,1.1667,20,183.082,181.81,185.363,0.976,1.485,124.931,1.485,1.485,1,0,
58,1790093548577477120,5.8,20,20,2240,1920,50.025,50.781,51.22,0.409,1,50.102,50.994,52.448,0.685,1,1.1667,20,183.115,181.81,185.363,0.976,1.485,124.964,1.485,1.485,1,0,
59,1790093548677477120,5.9,20,20,2240,1920,50.025,50.781,51.22,0.413,1,49.838,50.994,52.448,0.709,1,1.1667,20,183.115,181.81,185.363,0.976,1.485,124.964,1.485,1.485,1,0,
60,1790093548777477120,6.0,20,20,2240,1920,49.92,50.781,51.22,0.421,1,49.795,50.994,52.448,0.695,1,1.1667,20,183.115,181.81,185.363,0.976,1.485,124.964,1.485,1.485,1,0,
61,1790093548877477120,6.1,20,20,2240,1920,50.002,50.899,51.22,0.445,1,49.903,50.994,52.448,0.712,1,1.1667,20,183.193,181.81,185.363,1.094,1.485,125.042,1.485,1.485,1,0,
62,1790093548977477120,6.2,20,21,2240,2016,50.002,50.781,50.899,0.337,1,49.849,50.966,52.448,0.656,1,1.1111,21,183.186,181.81,185.363,0.976,1.458,125.035,1.458,1.458,1,0,
63,1790093549077477120,6.3,20,21,2240,2016,50.002,50.626,50.899,0.273,1,49.941,50.72,50.994,0.488,1,1.1111,21,182.959,181.81,185.363,0.821,1.212,124.808,1.212,1.212,1,0,
64,1790093549177477120,6.4,20,21,2240,2016,50.002,50.626,50.899,0.326,1,49.941,50.72,50.994,0.399,1,1.1111,21,182.959,182.099,183.788,0.821,1.212,124.808,1.212,1.212,1,0,
