fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790097386239555645,1790097386239600830,192.168.60.90:57295,304
2,0,1790097417343727564,1790097417343776323,192.168.60.90:57295,615
3,1,1790097433939501648,1790097433939540518,192.168.60.90:57295,781
