fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790069833273553807,1790069833273601585,192.168.60.90:58263,213
2,0,1790069833784197245,1790069833784241930,192.168.60.90:58263,218
3,1,1790069834473573336,1790069834473616169,192.168.60.90:58263,225
4,0,1790069863776893727,1790069863776942856,192.168.60.90:58263,518
5,1,1790069865573568489,1790069865573612525,192.168.60.90:58263,536
