line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,4344725168489,,4344725220467,4344728192486,35.855,0.0000,0.0000,0.0000,0,0.5990,598,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,32,0,0
2,scan,1,0,4344740985887,,4344741134979,4344742655175,36.355,0.0001,-0.0000,0.0000,0,0.5949,594,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,32,0,0
3,scan,2,0,4344791039355,,4344791165159,4344792674018,36.405,0.0001,-0.0000,0.0000,0,0.5826,582,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,32,0,0
4,scan,3,0,4344840966357,,4344841106224,4344843802655,36.455,0.0001,-0.0000,0.0000,0,0.5957,595,220,0,220,1,1,1,4344741049041,4344805594928,64545,0,1,64545,64545,0,,,,3,220,1,0,0,0,32,0,0
5,scan,4,0,4344891145613,,4344891276961,4344893522167,36.505,0.0012,-0.0000,0.0000,0,0.5903,590,220,0,220,1,1,2,4344791087083,4344859137821,68050,0,1,64545,66298,0,,,,4,220,1,0,0,0,32,0,0
6,scan,5,0,4344941903111,,4344942033858,4344943546667,36.555,0.0035,-0.0000,0.0000,0,0.5910,591,220,0,220,1,1,3,4344841023373,4344908394293,67370,0,1,64545,66655,0,,,,5,220,1,0,0,0,32,0,0
7,scan,6,0,4344991737065,,4344991872090,4344993649549,36.605,0.0116,-0.0000,-0.0000,0,0.5876,587,220,0,220,1,1,4,4344891191885,4344959028408,67836,0,1,64545,66950,0,,,,6,220,1,0,0,0,32,0,0
8,scan,7,0,4345041717847,,4345041859688,4345044432043,36.655,0.0174,-0.0000,-0.0000,0,0.5649,564,220,0,220,1,1,5,4344941949124,4345008745483,66796,0,1,64545,66919,0,,,,7,220,1,0,0,0,32,0,0
9,scan,8,0,4345091454571,,4345091591122,4345093561830,36.705,0.0318,-0.0000,0.0000,0,0.5715,571,220,0,220,1,1,6,4344991782267,4345059354391,67572,0,1,64545,67028,0,,,,8,220,1,0,0,0,32,0,0
10,scan,9,0,4345141781784,,4345141912091,4345143579498,36.755,0.0393,-0.0000,0.0000,0,0.5629,562,220,0,220,1,1,7,4345041768095,4345109454219,67686,0,1,64545,67122,0,,,,9,220,1,0,0,0,32,0,0
11,scan,10,0,4345191602552,,4345191729933,4345193635943,36.805,0.0542,-0.0000,0.0001,0,0.5349,534,220,0,220,1,1,8,4345091505477,4345158913236,67407,0,1,64545,67158,0,,,,10,220,1,0,0,0,32,0,0
12,scan,11,0,4345242027421,,4345242162585,4345243576549,36.855,0.0617,-0.0000,0.0002,0,0.5440,543,220,0,220,1,1,9,4345141828462,4345206178711,64350,0,1,64350,66846,0,,,,11,220,1,0,0,0,32,0,0
13,scan,12,0,4345291872686,,4345291991832,4345293572465,36.905,0.0766,0.0000,0.0002,0,0.5412,541,220,0,220,1,1,10,4345191645669,4345259448441,67802,0,1,64350,66941,0,,,,12,220,1,0,0,0,32,0,0
14,scan,13,0,4345342004905,,4345342152846,4345344800895,36.955,0.0841,0.0000,0.0003,0,0.5246,524,220,-1,220,1,1,11,4345242076576,4345308972774,66896,0,1,64350,66937,0,,,,13,220,1,0,0,0,32,0,0
15,scan,14,0,4345391966602,,4345392127868,4345394566331,37.005,0.0916,0.0000,0.0003,0,0.5050,505,220,-1,220,1,1,12,4345291909015,4345355937461,64028,0,1,64028,66695,0,,,,14,220,1,0,0,0,32,0,0
16,scan,15,0,4345442069732,,4345442203853,4345444600219,37.055,0.1066,0.0000,0.0004,0,0.4894,489,220,-1,220,1,1,13,4345342055543,4345409854322,67798,0,1,64028,66780,0,,,,15,220,1,0,0,0,32,0,0
17,scan,16,0,4345491878985,,4345492054739,4345493618674,37.105,0.1140,0.0000,0.0004,0,0.4913,491,220,-1,220,1,1,14,4345392036898,4345459538060,67501,0,1,64028,66831,0,,,,16,220,1,0,0,0,32,0,0
18,scan,17,0,4345542216645,,4345542352653,4345544606170,37.155,0.1290,0.0000,0.0005,0,0.4798,479,220,-1,220,1,1,15,4345442117664,4345509741685,67624,0,1,64028,66884,0,,,,17,220,1,0,0,0,32,0,0
