fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790069144649684598,1790069144649732339,192.168.60.90:58259,310
2,0,1790069175251182338,1790069175251236448,192.168.60.90:58259,616
3,1,1790069175649735537,1790069175649784110,192.168.60.90:58259,620
