fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790070353399974266,1790070353400027192,192.168.60.90:58229,396
2,0,1790070392700112582,1790070392700174489,192.168.60.90:58229,789
3,1,1790070393100013716,1790070393100069586,192.168.60.90:58229,793
