fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790070812934402747,1790070812934453506,192.168.60.90:58187,353
2,0,1790070816334572757,1790070816334613720,192.168.60.90:58187,387
3,1,1790070817334467748,1790070817334507526,192.168.60.90:58187,397
4,0,1790070849037722457,1790070849037780957,192.168.60.90:58187,714
