fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790069600562956480,1790069600563006961,192.168.60.90:58180,263
2,0,1790069601963392637,1790069601963444563,192.168.60.90:58180,277
3,1,1790069602262981059,1790069602263027355,192.168.60.90:58180,280
4,0,1790069630866620136,1790069630866677617,192.168.60.90:58180,566
