step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790070777704173056,0.1,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
2,1790070777804173056,0.2,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
3,1790070777904173056,0.3,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
4,1790070778004173056,0.4,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
5,1790070778104173056,0.5,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
6,1790070778204173056,0.6,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
7,1790070778304173056,0.7,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
8,1790070778404173056,0.8,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
9,1790070778504173056,0.9,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
10,1790070778604173056,1.0,3,1,212,92,34.495,68.929,68.929,34.433,2,,,,,0,2.3043,0,,,,,,,,,0,0,
11,1790070778704173056,1.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
12,1790070778804173056,1.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
13,1790070778904173056,1.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790070779004173056,1.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790070779104173056,1.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790070779204173056,1.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
17,1790070779304173056,1.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
18,1790070779404173056,1.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790070779504173056,1.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790070779604173056,2.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790070779704173056,2.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790070779804173056,2.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790070779904173056,2.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790070780004173056,2.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790070780104173056,2.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790070780204173056,2.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790070780304173056,2.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790070780404173056,2.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790070780504173056,2.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790070780604173056,3.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790070780704173056,3.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790070780804173056,3.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790070780904173056,3.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790070781004173056,3.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
35,1790070781104173056,3.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
36,1790070781204173056,3.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790070781304173056,3.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790070781404173056,3.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790070781504173056,3.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790070781604173056,4.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790070781704173056,4.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
42,1790070781804173056,4.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
43,1790070781904173056,4.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
44,1790070782004173056,4.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790070782104173056,4.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
46,1790070782204173056,4.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
47,1790070782304173056,4.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
48,1790070782404173056,4.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
