line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,1340119544361,,1340119598226,1340122521852,33.957,0.0000,0.0000,0.0000,0,0.5863,586,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2,scan,1,0,1340142604679,,1340142804495,1340144499217,34.457,0.0001,-0.0000,0.0000,0,0.5955,595,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,0,0,0
3,scan,2,0,1340192718089,,1340192845645,1340194362710,34.507,0.0001,-0.0000,0.0000,0,0.6038,603,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,0,0,0
4,scan,3,0,1340242624186,,1340242751475,1340244403004,34.557,0.0001,-0.0000,0.0000,0,0.6063,606,220,0,220,1,1,1,1340142705800,1340209641381,66935,0,1,66935,66935,0,,,,3,220,1,0,0,0,0,0,0
5,scan,4,0,1340292778664,,1340292910841,1340294386413,34.607,0.0012,-0.0000,0.0000,0,0.5979,597,220,0,220,1,1,2,1340192764091,1340260545051,67780,0,1,66935,67358,0,,,,4,220,1,0,0,0,0,0,0
6,scan,5,0,1340342978319,,1340343109459,1340345254309,34.657,0.0035,-0.0000,0.0000,0,0.5910,591,220,0,220,1,1,3,1340242683713,1340309752783,67069,0,1,66935,67261,0,,,,5,220,1,0,0,0,0,0,0
7,scan,6,0,1340392683578,,1340392811423,1340394630115,34.707,0.0116,-0.0000,-0.0000,0,0.5934,593,220,0,220,1,1,4,1340292825056,1340360266175,67441,0,1,66935,67306,0,,,,6,220,1,0,0,0,0,0,0
8,scan,7,0,1340442683614,,1340442823622,1340444668683,34.757,0.0174,-0.0000,-0.0000,0,0.5736,573,220,0,220,1,1,5,1340343024772,1340411170943,68146,0,1,66935,67474,0,,,,7,220,1,0,0,0,0,0,0
9,scan,8,0,1340492901333,,1340493032499,1340494302389,34.807,0.0318,-0.0000,0.0000,0,0.5647,564,220,0,220,1,1,6,1340392729015,1340462610458,69881,0,1,66935,67875,0,,,,8,220,1,0,0,0,0,0,0
10,scan,9,0,1340542806536,,1340542937751,1340544587468,34.857,0.0393,-0.0000,0.0000,0,0.5517,551,220,0,220,1,1,7,1340442733991,1340510493229,67759,0,1,66935,67859,0,,,,9,220,1,0,0,0,0,0,0
11,scan,10,0,1340592727892,,1340592852635,1340594386227,34.907,0.0542,-0.0000,0.0001,0,0.5514,551,220,0,220,1,1,8,1340492946138,1340560321341,67375,0,1,66935,67798,0,,,,10,220,1,0,0,0,0,0,0
12,scan,11,0,1340642941647,,1340643077117,1340645237724,34.957,0.0617,-0.0000,0.0002,0,0.5400,539,220,0,220,1,1,9,1340542854547,1340610290612,67436,0,1,66935,67758,0,,,,11,220,1,0,0,0,0,0,0
13,scan,12,0,1340693250062,,1340693374200,1340695297082,35.007,0.0766,0.0000,0.0002,0,0.5170,516,220,0,220,1,1,10,1340592770630,1340660541334,67770,0,1,66935,67759,0,,,,12,220,1,0,0,0,0,0,0
14,scan,13,0,1340742766427,,1340742892110,1340744545065,35.057,0.0841,0.0000,0.0003,0,0.5195,519,220,-1,220,1,1,11,1340642989731,1340710749244,67759,0,1,66935,67759,0,,,,13,220,1,0,0,0,0,0,0
15,scan,14,0,1340793270807,,1340793549843,1340795688554,35.107,0.0916,0.0000,0.0003,0,0.5138,513,220,-1,220,1,1,12,1340693286925,1340761236652,67949,0,1,66935,67775,0,,,,14,220,1,0,0,0,0,0,0
16,scan,15,0,1340843079702,,1340843215566,1340845529452,35.157,0.1066,0.0000,0.0004,0,0.5090,509,220,-1,220,1,1,13,1340742812491,1340809960990,67148,0,1,66935,67727,0,,,,15,220,1,0,0,0,0,0,0
17,scan,16,0,1340893292347,,1340893448963,1340895515677,35.207,0.1140,0.0000,0.0004,0,0.4978,497,220,-1,220,1,1,14,1340793367711,1340861367429,67999,0,1,66935,67746,0,,,,16,220,1,0,0,0,0,0,0
18,scan,17,0,1340943625250,,1340943762674,1340946247068,35.257,0.1290,0.0000,0.0005,0,0.4974,497,220,-1,220,1,1,15,1340843127701,1340911384498,68256,0,1,66935,67780,0,,,,17,220,1,0,0,0,0,0,0
19,scan,18,0,1340993696688,,1340993870736,1340996583843,35.307,0.1365,0.0000,0.0005,0,0.4646,464,220,-1,220,1,1,16,1340893340697,1340961409417,68068,0,1,66935,67798,0,,,,18,220,1,0,0,0,0,0,0
20,scan,19,0,1341043853909,,1341043989509,1341046238303,35.357,0.1514,0.0000,0.0006,0,0.4696,469,220,-1,220,1,1,17,1340943672834,1341011571462,67898,0,1,66935,67804,0,,,,19,220,1,0,0,0,0,0,0
21,scan,20,0,1341094133062,,1341094277424,1341096627931,35.407,0.1589,0.0000,0.0006,0,0.4464,446,220,-1,220,1,1,18,1340993746072,1341062117727,68371,0,1,66935,67836,0,,,,20,220,1,0,0,0,0,0,0
22,scan,21,0,1341143841186,,1341143992880,1341146280308,35.457,0.1739,0.0000,0.0007,0,0.4599,459,220,-1,220,-1,1,19,1341043901746,1341111536126,67634,0,1,66935,67825,0,,,,21,220,-1,0,0,0,0,0,0
23,scan,22,0,1341193895101,,1341194063055,1341196538470,35.507,0.1814,0.0000,0.0007,0,0.4480,447,220,-1,220,-1,1,20,1341094182675,1341161641458,67458,0,1,66935,67807,0,,,,22,220,-1,0,0,0,0,0,0
24,scan,23,0,1341243834106,,1341243965143,1341245329094,35.557,0.1963,0.0001,0.0007,0,0.4328,432,220,-2,220,-1,1,21,1341143888106,1341209057547,65169,0,1,65169,67681,0,,,,23,220,-1,0,0,0,0,0,0
25,scan,24,0,1341293932035,,1341294102680,1341296465204,35.607,0.2038,0.0001,0.0006,0,0.4327,432,220,-1,220,-1,1,22,1341193943423,1341258395331,64451,0,1,64451,67534,0,,,,24,220,-1,0,0,0,0,0,0
26,scan,25,0,1341344219825,,1341344348018,1341346450367,35.657,0.2188,0.0001,0.0005,0,0.4251,425,220,-1,220,-1,1,23,1341243878466,1341311271695,67393,0,1,64451,67528,0,,,,25,220,-1,0,0,0,0,0,0
27,scan,26,0,1341394216935,,1341394352660,1341396647543,35.707,0.2263,0.0001,0.0005,0,0.4159,415,220,-1,220,-1,1,24,1341293997421,1341360571339,66573,0,1,64451,67488,0,,,,26,220,-1,0,0,0,0,0,0
28,scan,27,0,1341444110078,,1341444239475,1341446358199,35.757,0.2412,0.0001,0.0005,0,0.4171,417,220,-1,220,-1,1,25,1341344265373,1341411168330,66902,0,1,64451,67465,0,,,,27,220,-1,0,0,0,0,0,0
29,scan,28,0,1341494437058,,1341494573036,1341496355571,35.807,0.2487,0.0001,0.0004,0,0.3947,394,220,-1,220,1,1,26,1341394265001,1341463272458,69007,0,1,64451,67524,0,,,,28,220,1,0,1,0,0,0,0
30,scan,29,0,1341545020669,,1341545221159,1341547335090,35.857,0.2637,0.0001,0.0003,0,0.3936,393,220,-1,220,1,1,27,1341444153707,1341511375859,67222,0,1,64451,67513,0,,,,29,220,1,0,1,0,0,0,0
31,scan,30,0,1341594596491,,1341594738425,1341596469744,35.907,0.2712,0.0001,0.0004,0,0.3969,396,220,-1,220,1,1,28,1341494484463,1341559019303,64534,0,1,64451,67407,0,,,,30,220,1,0,1,0,0,0,0
32,scan,31,0,1341644564584,,1341644738861,1341646481792,35.957,0.2786,0.0001,0.0004,0,0.3788,378,220,-1,220,1,1,29,1341545097503,1341613343265,68245,0,1,64451,67435,0,,,,31,220,1,0,1,0,0,0,0
33,scan,32,0,1341694829978,,1341694993460,1341697332466,36.007,0.2936,0.0001,0.0006,0,0.3789,378,220,-1,220,1,1,30,1341594645297,1341662410771,67765,0,1,64451,67446,0,,,,32,220,1,0,1,0,0,0,0
34,scan,33,0,1341744972156,,1341745111505,1341747309486,36.057,0.3011,0.0001,0.0006,0,0.3797,379,220,-1,220,1,1,31,1341644614047,1341711184263,66570,0,1,64451,67418,0,,,,33,220,1,0,1,0,0,0,0
