fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790070227358337327,1790070227358385679,192.168.60.90:58213,193
2,0,1790070257560252616,1790070257560313819,192.168.60.90:58213,495
3,1,1790070272458246974,1790070272458286010,192.168.60.90:58213,644
