seq,t_send_ns,t_recv_ns,rtt_us
187,22111727213223,22111735303048,8089
188,22111776668588,22111784184043,7515
189,22111826761424,22111852816416,26054
190,22111877221242,22111920374917,43153
191,22111927198215,22111930631863,3433
192,22111977214373,22111985158575,7944
193,22112026854208,22112057879644,31025
194,22112076680616,22112121370379,44689
195,22112126967530,22112134848842,7881
196,22112176764838,22112184540116,7775
197,22112227255801,22112235433029,8177
198,22112277083686,22112285980896,8897
199,22112326761503,22112333964584,7203
200,22112376872816,22112385096697,8223
201,22112426860907,22112452729345,25868
202,22112477201739,22112481679916,4478
203,22112527157880,22112536271397,9113
204,22112576965249,22112589079683,12114
205,22112626695545,22112657345456,30649
206,22112676680836,22112681835569,5154
207,22112727215695,22112735060962,7845
208,22112776662288,22112794208150,17545
209,22112827220298,22112835730168,8509
210,22112876806470,22112884448701,7642
211,22112927249452,22112935762235,8512
212,22112976682067,22112980854705,4172
213,22113026853380,22113032933811,6080
214,22113076702856,22113084887774,8184
215,22113126996363,22113137742838,10746
216,22113177133911,22113203562627,26428
217,22113226657114,,
218,22113276699567,22113288210479,11510
219,22113326697857,22113415002732,88304
220,22113376711049,22113415088194,38377
221,22113426640432,22113430674406,4033
222,22113477006102,22113593851140,116845
223,22113526972984,22113594113829,67140
224,22113576825899,22113594409002,17583
225,22113627160319,22113635790946,8630
226,22113676731086,22113685319418,8588
227,22113727209397,22113735300947,8091
228,22113777039787,22113785613146,8573
229,22113826887406,22113835017492,8130
230,22113876732110,22113884455785,7723
231,22113926650694,22113932229316,5578
232,22113976684665,22113983057276,6372
233,22114026779500,22114033596303,6816
234,22114076616031,22114081486829,4870
235,22114126648992,22114133902878,7253
236,22114176689440,22114185517705,8828
237,22114226666062,22114233849136,7183
238,22114276635701,22114286373842,9738
239,22114326730663,22114333732347,7001
240,22114376663363,22114384555833,7892
241,22114426653921,22114433828883,7174
242,22114476676355,22114484669097,7992
243,22114526651209,22114533919104,7267
244,22114576664105,22114584433448,7769
245,22114626672262,22114633605908,6933
246,22114676719282,22114684396837,7677
247,22114726636152,22114733482213,6846
248,22114777048968,22114782448463,5399
249,22114826832445,22114833689932,6857
250,22114877154559,22114885091020,7936
251,22114926809053,22114934566692,7757
252,22114976666719,22114982909292,6242
253,22115026742409,22115033881042,7138
254,22115076668867,22115083756661,7087
255,22115126681332,22115133569128,6887
256,22115176695582,22115184732736,8037
257,22115226677843,22115233888195,7210
258,22115276861883,22115284959617,8097
259,22115326985851,22115333754082,6768
260,22115377114990,22115385903917,8788
261,22115426891018,22115435381268,8490
262,22115476767212,22115489584505,12817
263,22115527233304,22115539955975,12722
264,22115577082896,22115586387971,9305
265,22115627087551,22115636658891,9571
266,22115676790953,22115685567424,8776
267,22115726899887,22115734948770,8048
268,22115776984032,22115785131635,8147
269,22115827184855,22115835245802,8060
270,22115876908082,22115884209888,7301
271,22115926688496,22115934887869,8199
272,22115976677013,22115984796215,8119
273,22116027066127,22116034846171,7780
274,22116076977038,22116082039301,5062
275,22116126795074,22116133662631,6867
276,22116176947668,22116184921481,7973
277,22116226954823,22116234044771,7089
278,22116276850901,22116285121629,8270
279,22116326938893,22116335909192,8970
280,22116376697837,22116384424294,7726
281,22116426675848,22116433618130,6942
282,22116476854815,22116484959141,8104
283,22116526975602,22116533794556,6818
284,22116577045971,22116583872557,6826
285,22116626656037,22116634743963,8087
286,22116676714313,22116683708801,6994
287,22116726778899,22116734662665,7883
288,22116777158487,22116784682424,7523
289,22116827094871,22116834945909,7851
290,22116877078800,22116885384886,8306
291,22116926628190,22116933630336,7002
292,22116976942618,22116985026668,8084
293,22117026919564,22117033948634,7029
294,22117077154723,22117085101241,7946
295,22117126758478,22117134622627,7864
296,22117176686213,22117183678988,6992
297,22117226663794,22117233797308,7133
298,22117276673498,22117284424245,7750
299,22117326723480,22117334034501,7311
300,22117376653429,22117384992310,8338
301,22117426685435,22117433660394,6974
302,22117476710228,22117484564542,7854
303,22117526650643,22117533643558,6992
304,22117576651971,22117584273327,7621
305,22117626710369,22117631325628,4615
306,22117676704441,22117684874909,8170
307,22117726672058,22117733820733,7148
308,22117776631889,22117784074096,7442
309,22117826679172,22117833610739,6931
310,22117876650004,22117884058324,7408
311,22117926674549,22117933501531,6826
312,22117976641201,22117980975225,4334
313,22118026646256,22118032793121,6146
314,22118076667949,22118080791014,4123
315,22118126685658,22118133711328,7025
316,22118176674897,22118185132646,8457
317,22118226650169,22118233898310,7248
318,22118276648157,22118284188606,7540
319,22118326654322,22118336493135,9838
320,22118376669882,22118384491139,7821
321,22118426671136,22118436574379,9903
322,22118476654390,22118484238340,7583
323,22118526655118,22118533745316,7090
324,22118576650008,22118584312939,7662
325,22118626680576,22118633847681,7167
326,22118676696748,22118684848253,8151
327,22118726756889,22118733627665,6870
328,22118776659847,22118785295867,8636
329,22118826652399,22118833528471,6876
330,22118876697776,22118920971561,44273
331,22118926633604,22118931169745,4536
332,22118976704054,22119013771970,37067
333,22119026653312,22119031399876,4746
334,22119076683675,22119081731659,5047
335,22119126697576,22119133771911,7074
336,22119176734364,22119217506336,40771
337,22119226658834,22119232864203,6205
338,22119276688802,22119308165764,31476
339,22119327047252,22119334843905,7796
340,22119376691258,22119393733119,17041
341,22119426775406,22119433960622,7185
342,22119477008798,22119497677259,20668
343,22119527033707,22119534792634,7758
344,22119577009298,22119584529576,7520
345,22119626671732,22119633684794,7013
346,22119676700184,22119696070272,19370
347,22119727006186,22119735927685,8921
348,22119776673879,22119781217861,4543
349,22119826757042,22119833908513,7151
350,22119876703669,22119884049287,7345
351,22119926644404,22119933820514,7176
352,22119976637288,22119983205031,6567
353,22120026629766,22120033869654,7239
354,22120076705310,22120116338402,39633
355,22120126612005,22120131413223,4801
356,22120176781600,22120184673888,7892
357,22120226618785,22120252485732,25866
358,22120276633554,22120281083515,4449
359,22120326667814,22120333567789,6899
360,22120376759542,22120384923520,8163
361,22120426644614,22120453853239,27208
362,22120476693196,22120523242137,46548
363,22120526616697,22120530945464,4328
364,22120576643588,22120591890239,15246
365,22120626672172,22120633788159,7115
366,22120676789248,22120723746990,46957
367,22120726611875,22120733771467,7159
368,22120776708992,22120798199036,21490
369,22120826609720,22120867483391,40873
370,22120876661499,22120881377540,4716
371,22120926672062,22120933098058,6425
372,22120976647201,22120984045524,7398
373,22121026664355,22121068293035,41628
374,22121076643190,22121080150434,3507
375,22121126772340,22121136352029,9579
376,22121176706257,22121206260981,29554
377,22121227006959,22121232636773,5629
378,22121276664528,22121283073403,6408
379,22121326624320,22121343067239,16442
380,22121376629930,22121413052853,36422
381,22121426629179,22121431091982,4462
382,22121476666961,22121484294130,7627
383,22121526659071,22121534150654,7491
384,22121577102567,22121585277556,8174
385,22121626752116,22121633897835,7145
386,22121676934879,22121684203332,7268
387,22121727036070,22121751986128,24950
388,22121777074260,22121820519026,43444
389,22121827246340,22121832174495,4928
390,22121876705857,22121884985335,8279
391,22121926813437,22121957854321,31040
392,22121976693509,22121981295481,4601
393,22122026950064,22122035349121,8399
394,22122076712856,22122095741335,19028
395,22122126752173,22122133773120,7020
396,22122176681283,22122184443719,7762
397,22122226654939,22122233844554,7189
398,22122276636204,22122287946040,11309
399,22122326622113,22122369220638,42598
400,22122376628239,22122381088724,4460
401,22122427043845,22122438191301,11147
402,22122476645493,22122506007198,29361
403,22122526963106,22122569746146,42783
404,22122576909030,22122585291963,8382
405,22122626682919,22122643564659,16881
406,22122677126943,22122710758960,33632
407,22122726757759,22122730509479,3751
408,22122776599125,22122785050634,8451
409,22122826645479,22122833924057,7278
410,22122876659386,22122912517280,35857
411,22122927117001,22122931923747,4806
412,22122977022152,22122985803458,8781
413,22123027002813,22123052854253,25851
414,22123077105611,22123081541792,4436
415,22123127055313,22123134936819,7881
416,22123176699721,22123188583629,11883
417,22123226945424,22123256377556,29432
418,22123277284974,22123324605766,47320
419,22123326702381,22123332139227,5436
420,22123376747852,22123381600103,4852
421,22123427241865,22123434943389,7701
422,22123477057158,22123521313672,44256
423,22123527043700,22123534248356,7204
424,22123576698901,22123595075942,18377
425,22123626919808,22123665118204,38198
426,22123677397544,22123682268163,4870
427,22123726854234,22123738298798,11444
428,22123776735239,22123802922341,26187
429,22123827096075,22123873936575,46840
430,22123876649000,22123880669504,4020
431,22123926663927,22123938810712,12146
432,22123977141010,22123985865124,8724
433,22124026741727,22124033658282,6916
434,22124077044946,22124081890466,4845
435,22124127093834,22124141336689,14242
436,22124177027659,22124208592488,31564
437,22124227068781,22124230688513,3619
438,22124277147335,22124285417637,8270
439,22124327401056,22124335298090,7897
440,22124376994376,22124417909881,40915
441,22124426959558,22124432666163,5706
442,22124476943938,22124485063092,8119
443,22124526996029,22124554183272,27187
444,22124577034947,22124594150686,17115
445,22124626645123,22124634096691,7451
446,22124676799190,22124684959714,8160
447,22124726971041,22124755626440,28655
448,22124776674043,22124824331215,47657
449,22124826599016,22124831113879,4514
450,22124876668650,22124892411988,15743
451,22124926622173,22124961255585,34633
452,22124976676368,22124981344803,4668
453,22125026661287,22125035480380,8819
454,22125076688932,22125085959815,9270
455,22125126678117,22125133957409,7279
456,22125176652318,22125184361333,7709
457,22125226683438,22125233903198,7219
458,22125276659506,22125284128019,7468
459,22125326873877,22125370372600,43498
460,22125376696771,22125381504240,4807
461,22125426652626,22125437589069,10936
462,22125476952143,22125483782136,6829
463,22125526672390,22125533732019,7059
464,22125576889595,22125585046655,8157
465,22125626792457,22125646518013,19725
466,22125676652224,22125713679593,37027
467,22125726677938,22125730488780,3810
468,22125776713377,22125784214366,7500
469,22125826689351,22125833935663,7246
470,22125876832131,22125884479859,7647
471,22125926904919,22125933689007,6784
472,22125976825481,22125984674879,7849
473,22126027069848,22126052510537,25440
474,22126077150830,22126122009682,44858
475,22126127010503,22126131793534,4783
476,22126176904268,22126181313215,4408
477,22126227029463,22126245221195,18191
478,22126277118944,22126320056973,42938
479,22126327031842,22126333839869,6808
480,22126376966720,22126384626187,7659
481,22126426664080,22126433956947,7292
482,22126476778802,22126485042888,8264
483,22126526727640,22126533941726,7214
484,22126576620652,22126598004566,21383
485,22126626717230,22126666915183,40197
486,22126676822636,22126682159035,5336
487,22126727222751,22126736344115,9121
488,22126777256600,22126786140608,8884
489,22126827093427,22126859746243,32652
490,22126876635773,22126883607590,6971
491,22126926802514,22126935842095,9039
492,22126976630406,22126984360934,7730
493,22127026669073,22127033792629,7123
494,22127076655856,22127084232910,7577
495,22127126751332,22127134112784,7361
496,22127176634058,22127197758852,21124
497,22127226635282,22127232634848,5999
498,22127276653744,22127282988328,6334
499,22127326656671,22127334748054,8091
500,22127376819343,22127403146836,26327
501,22127426939890,22127431827715,4887
502,22127476651158,22127567991593,91340
503,22127526652528,22127568240701,41588
504,22127576657120,22127619977109,43319
505,22127626678262,22127633826638,7148
506,22127676865551,22127687784281,10918
507,22127726978994,22127735423302,8444
