seq,t_send_ns,t_recv_ns,rtt_us
1,22578317353338,22578325990220,8636
2,22578367505822,22578374649197,7143
3,22578417530625,22578425439460,7908
4,22578467602734,22578475590622,7987
5,22578517564101,22578525675420,8111
6,22578567502225,22578575125321,7623
7,22578617519761,22578625835479,8315
8,22578667856744,22578675981366,8124
9,22578718158660,22578725826560,7667
10,22578767575904,22578775728341,8152
11,22578817606942,22578825602001,7995
12,22578867496741,22578872724273,5227
13,22578917476348,22578922161998,4685
14,22578967473960,22578975881329,8407
15,22579017525431,22579025532812,8007
16,22579067459041,22579075049249,7590
17,22579117498842,22579125128855,7630
18,22579167482843,22579175036516,7553
19,22579217488636,22579224314103,6825
20,22579267502251,22579273862536,6360
21,22579317508438,22579325626872,8118
22,22579367538740,22579375003092,7464
23,22579417534796,22579424530206,6995
24,22579467553923,22579474671378,7117
25,22579517791069,22579525540435,7749
26,22579567853979,22579576313926,8459
27,22579617531823,22579625517050,7985
28,22579667583932,22579675329230,7745
29,22579717504367,22579725445872,7941
30,22579767601153,22579775393713,7792
31,22579817697038,22579825849992,8152
32,22579867554460,22579875643975,8089
33,22579917607430,22579926152594,8545
34,22579967849497,22579976159655,8310
35,22580017870443,22580026518800,8648
36,22580067502525,22580075981952,8479
37,22580117497123,22580126570036,9072
38,22580167598281,22580176348378,8750
39,22580217882303,22580225831859,7949
40,22580267475557,22580275662099,8186
41,22580318018836,22580325903571,7884
42,22580367612901,22580375471544,7858
43,22580417509682,22580426608787,9099
44,22580467934592,22580476288410,8353
45,22580517888795,22580531468586,13579
46,22580567879334,22580577052548,9173
47,22580617502651,22580626290837,8788
48,22580667532388,22580672026073,4493
49,22580717874020,22580725883450,8009
50,22580767856510,22580776961536,9105
51,22580818106405,22580826239998,8133
52,22580867772955,22580882689450,14916
53,22580917926284,22580924641402,6715
54,22580967846379,22580974985481,7139
55,22581017509402,22581025445814,7936
56,22581067682633,22581072480665,4798
57,22581117802953,22581123050474,5247
58,22581167538879,22581175532926,7994
59,22581217886381,22581225724306,7837
60,22581267861805,22581276246378,8384
61,22581317458154,22581326232206,8774
62,22581367580229,22581375720054,8139
63,22581417515431,22581425986930,8471
64,22581467871463,22581475446800,7575
65,22581517944638,22581525571149,7626
66,22581567756549,22581576200248,8443
67,22581617531127,22581630984992,13453
68,22581667549564,22581676204516,8654
69,22581717720762,22581725299865,7579
70,22581767990780,22581775983977,7993
71,22581817538593,22581826131109,8592
72,22581867831861,22581876299720,8467
73,22581917826518,22581925476751,7650
74,22581967923341,22581976445034,8521
75,22582017702894,22582025895335,8192
76,22582067640157,22582072275285,4635
77,22582117925247,22582126854486,8929
78,22582167908319,22582176780176,8871
79,22582217862334,22582226794514,8932
80,22582267905665,22582275486534,7580
81,22582317816081,22582324690950,6874
82,22582367526673,22582375890340,8363
83,22582418042709,22582425643134,7600
84,22582467795013,22582475845975,8050
85,22582517867890,22582522918378,5050
86,22582568099152,22582576662190,8563
87,22582617802218,22582625754974,7952
88,22582667738872,22582676991863,9252
89,22582717996951,22582727701290,9704
90,22582767492683,22582776041291,8548
91,22582818030302,22582826367530,8337
92,22582867529947,22582873605629,6075
93,22582917899573,22582926253966,8354
94,22582968024951,22582977220349,9195
95,22583017875530,22583025726699,7851
96,22583067442759,22583075515025,8072
97,22583117525208,22583122354820,4829
98,22583167524740,22583171914585,4389
99,22583217642382,22583226727394,9085
100,22583267689453,22583275786234,8096
101,22583317906645,22583326047955,8141
102,22583367802698,22583376743996,8941
103,22583417924066,22583423794808,5870
104,22583468025663,22583475553252,7527
105,22583517919959,22583525806390,7886
106,22583567577720,22583575723952,8146
107,22583617673627,22583624591407,6917
108,22583667556987,22583676229001,8672
109,22583717632484,22583725756220,8123
110,22583767895745,22583776527478,8631
111,22583817711934,22583825277568,7565
112,22583867646942,22583875177470,7530
113,22583917498938,22583925591209,8092
114,22583967723996,22583975904674,8180
115,22584017673349,22584024310643,6637
116,22584067784303,22584075490969,7706
117,22584117643909,22584126065155,8421
118,22584168122523,22584176839168,8716
119,22584217831446,22584225774206,7942
120,22584267534551,22584275511412,7976
121,22584318035765,22584326001409,7965
122,22584367499897,22584376334426,8834
123,22584417639840,22584424257428,6617
124,22584468054404,22584475913380,7858
125,22584517705844,22584525804635,8098
126,22584567903953,22584576209533,8305
127,22584617832368,22584625851833,8019
128,22584667505543,22584676084632,8579
129,22584717851786,22584726428935,8577
130,22584767693512,22584776275688,8582
131,22584817907289,22584826120273,8212
132,22584868072930,22584876136107,8063
133,22584917656883,22584926224833,8567
134,22584967829112,22584972700880,4871
135,22585017689869,22585025499614,7809
136,22585067604644,22585075786277,8181
137,22585117556642,22585125261478,7704
138,22585167688885,22585175725755,8036
139,22585217503457,22585225596155,8092
140,22585267823388,22585276626661,8803
141,22585317824133,22585325578010,7753
142,22585367583643,22585374316857,6733
143,22585417893955,22585425818007,7924
144,22585467598247,22585476056881,8458
145,22585518064585,22585526349264,8284
146,22585567889313,22585575827729,7938
147,22585617673030,22585625617287,7944
148,22585667701988,22585671458400,3756
149,22585717594916,22585724602329,7007
150,22585768057947,22585777271655,9213
151,22585817721496,22585826407640,8686
152,22585867985767,22585881689211,13703
153,22585917850295,22585922473826,4623
154,22585968198744,22585976043896,7845
155,22586017904593,22586026315167,8410
156,22586067932451,22586076142511,8210
157,22586117907505,22586125774433,7866
158,22586167876153,22586176721544,8845
159,22586217888912,22586226822067,8933
160,22586267541910,22586275281566,7739
161,22586317878186,22586326931026,9052
162,22586368043654,22586376085626,8041
163,22586417874899,22586425629317,7754
164,22586467734810,22586473335401,5600
165,22586517523942,22586525256837,7732
166,22586567516056,22586576340193,8824
167,22586618001728,22586625557392,7555
168,22586667846142,22586676196900,8350
169,22586718052903,22586726615199,8562
170,22586767604399,22586779779188,12174
171,22586817821131,22586825579111,7757
172,22586867870826,22586875984275,8113
173,22586917813377,22586925837018,8023
174,22586967924736,22586975962909,8038
175,22587017952489,22587026219259,8266
176,22587067532563,22587075918302,8385
177,22587117701506,22587124597510,6896
178,22587167620974,22587173191138,5570
179,22587217877770,22587225897802,8020
180,22587267794693,22587276305644,8510
181,22587317593773,22587325489656,7895
182,22587367514886,22587375689238,8174
183,22587417685972,22587426841048,9155
184,22587467723347,22587475467867,7744
185,22587518047600,22587530053954,12006
186,22587567801673,22587571633343,3831
187,22587617530875,22587630640150,13109
188,22587667599780,22587674177036,6577
189,22587718005135,22587724939379,6934
190,22587767859443,22587774454668,6595
191,22587817866125,22587824638369,6772
192,22587867644748,22587875055978,7411
193,22587917624316,22587924329348,6705
194,22587967915169,22587975181802,7266
195,22588017878664,22588024333668,6455
196,22588068043045,22588075110232,7067
197,22588117551767,22588121344195,3792
198,22588167644064,22588174206850,6562
199,22588217461081,22588223670829,6209
200,22588267879436,22588275211604,7332
201,22588317952440,22588325461597,7509
202,22588367884039,22588374858805,6974
203,22588417709889,22588424874897,7165
204,22588467550751,22588474671534,7120
205,22588518064979,22588525961936,7896
206,22588567904494,22588572187095,4282
207,22588618040266,22588624629448,6589
208,22588668024306,22588675115013,7090
209,22588717923994,22588726216957,8292
210,22588767496937,22588774283567,6786
211,22588817724011,22588825056967,7332
212,22588867643222,22588874568777,6925
213,22588918024033,22588925514457,7490
214,22588967796981,22588976614870,8817
215,22589017498465,22589024957935,7459
216,22589067722411,22589074309859,6587
217,22589117552955,22589122076298,4523
218,22589168069846,22589174857589,6787
219,22589218009936,22589225021639,7011
220,22589267503028,22589276125526,8622
221,22589317716328,22589326126973,8410
222,22589367921570,22589376261354,8339
223,22589417524554,22589425347469,7822
224,22589467836116,22589475655575,7819
225,22589517617664,22589525704272,8086
226,22589568061657,22589576787407,8725
227,22589617862477,22589626368936,8506
228,22589667527472,22589675645999,8118
229,22589717530272,22589725475838,7945
230,22589767562634,22589773285181,5722
231,22589817616765,22589825139271,7522
232,22589867615938,22589875420059,7804
233,22589917807467,22589925696106,7888
234,22589967508989,22589975598175,8089
235,22590017949394,22590026340020,8390
236,22590067555101,22590072485090,4929
237,22590117734859,22590124781452,7046
238,22590167557782,22590174701965,7144
239,22590217852118,22590225925177,8073
240,22590267869234,22590276198446,8329
241,22590317664359,22590326664604,9000
242,22590367513897,22590376543258,9029
243,22590417781448,22590426633601,8852
244,22590467999637,22590472600134,4600
245,22590517776125,22590526063339,8287
246,22590567520233,22590575496304,7976
247,22590617630696,22590625608860,7978
248,22590667889994,22590676417693,8527
249,22590717727296,22590726058134,8330
250,22590767865562,22590776104650,8239
251,22590817635369,22590824992118,7356
252,22590867866680,22590876087380,8220
253,22590917871430,22590925773510,7902
254,22590967950712,22590977073421,9122
255,22591017654220,22591025751978,8097
256,22591067497872,22591072495938,4998
257,22591118040090,22591127184082,9143
258,22591167836652,22591172183145,4346
259,22591217748835,22591226589101,8840
260,22591267638178,22591275562201,7924
261,22591317532937,22591321896798,4363
262,22591367622408,22591376146422,8524
263,22591417999241,22591425629567,7630
264,22591467643883,22591474536459,6892
265,22591517912043,22591524730955,6818
266,22591567511632,22591576015151,8503
267,22591617835786,22591625973598,8137
268,22591667732926,22591675449346,7716
269,22591717873405,22591725488583,7615
270,22591767896019,22591776095066,8199
271,22591818093093,22591826126466,8033
272,22591867540185,22591873864907,6324
273,22591917809417,22591925018479,7209
274,22591967856657,22591975519362,7662
275,22592017514641,22592025639761,8125
276,22592067833435,22592077132934,9299
277,22592117665927,22592126109511,8443
278,22592167553187,22592172156138,4602
279,22592218037998,22592225754454,7716
280,22592267769999,22592275645959,7875
281,22592317862130,22592325817850,7955
282,22592367879357,22592375712266,7832
283,22592417988084,22592426233596,8245
284,22592467902845,22592476119523,8216
285,22592517847900,22592526195657,8347
286,22592567921311,22592576409382,8488
287,22592617719950,22592623017613,5297
288,22592667578933,22592675975590,8396
289,22592717880530,22592726243111,8362
290,22592767646812,22592776629749,8982
291,22592817739149,22592826050211,8311
292,22592867884948,22592872878918,4993
293,22592917539025,22592925361512,7822
294,22592967587608,22592976035179,8447
295,22593017502155,22593026418256,8916
296,22593067886859,22593076040783,8153
297,22593117926486,22593126293135,8366
298,22593167644881,22593176644634,8999
299,22593217985233,22593225503624,7518
300,22593267517145,22593274173962,6656
301,22593317951442,22593325736718,7785
302,22593368048358,22593376554796,8506
303,22593417509549,22593425128946,7619
304,22593467749850,22593476123888,8374
305,22593517869167,22593526548792,8679
306,22593567865223,22593576201505,8336
307,22593617612907,22593625576150,7963
308,22593668070989,22593676570668,8499
