fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790087723895389649,1790087723895434519,192.168.60.90:57300,375
2,0,1790087724095393169,1790087724095440021,192.168.60.90:57300,377
3,1,1790087726395389587,1790087726395439587,192.168.60.90:57300,400
4,0,1790087726595435792,1790087726595488533,192.168.60.90:57300,402
5,1,1790087728895531469,1790087728895573969,192.168.60.90:57300,425
6,0,1790087729495398439,1790087729495441142,192.168.60.90:57300,431
7,1,1790087731195376426,1790087731195422722,192.168.60.90:57300,448
8,0,1790087731395406631,1790087731395447890,192.168.60.90:57300,450
9,1,1790087741298374762,1790087741298425372,192.168.60.90:57300,549
