phase,seq,flag,min_mm,local_v,local_w,edge_v,edge_w,t_send_s,rtt_ms,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,ok
paced,87,0,222,220,0,150,-1480,13.035225,3.334,150,-1480,0,1,0,2,10,1
paced,88,0,167,220,0,150,35,13.038733,,,,,,,,,0
paced,89,0,164,220,0,150,1268,13.252235,2.777,150,1268,0,2,0,2,10,1
paced,90,0,437,220,0,150,-798,13.255080,3.001,150,-798,0,0,0,2,10,1
paced,91,0,425,220,0,150,-1372,13.258146,,,,,,,,,0
paced,92,0,789,220,0,150,-1064,13.470873,,,,,,,,,0
paced,93,0,502,220,0,150,-631,13.687890,2.917,150,-631,0,0,0,2,10,1
paced,94,0,221,220,0,150,-1135,13.690896,,,,,,,,,0
paced,95,0,313,220,0,150,-775,13.892411,,,,,,,,,0
paced,96,0,690,220,0,150,-1132,14.094498,,,,,,,,,0
paced,97,0,429,220,0,150,835,14.297101,,,,,,,,,0
paced,98,0,451,220,0,150,42,14.499858,,,,,,,,,0
paced,99,0,479,220,0,150,213,14.701877,,,,,,,,,0
paced,100,0,635,220,0,150,-1353,14.904833,,,,,,,,,0
paced,101,0,174,220,0,150,-543,15.107502,,,,,,,,,0
paced,102,0,545,220,0,150,-414,15.308444,,,,,,,,,0
paced,103,0,581,220,0,150,1441,15.509204,,,,,,,,,0
paced,104,0,342,220,0,150,-762,15.710375,,,,,,,,,0
paced,105,0,261,220,0,150,-782,15.913962,,,,,,,,,0
paced,106,0,672,220,0,150,-964,16.117473,,,,,,,,,0
paced,107,0,770,220,0,150,-52,16.322555,,,,,,,,,0
paced,108,0,171,220,0,150,-897,16.526868,,,,,,,,,0
paced,109,0,168,220,0,150,-193,16.729036,3.070,150,-193,0,2,0,2,10,1
paced,110,0,299,220,0,150,-1676,16.732194,,,,,,,,,0
paced,111,0,314,220,0,150,5,16.947203,2.261,150,5,0,1,0,2,10,1
paced,112,0,668,220,0,150,957,16.949512,,,,,,,,,0
paced,113,0,586,220,0,150,411,17.164715,,,,,,,,,0
paced,114,0,375,220,0,150,763,17.366246,2.080,150,763,0,1,0,2,10,1
paced,115,0,678,220,0,150,26,17.368363,,,,,,,,,0
paced,116,0,378,220,0,150,325,17.584638,,,,,,,,,0
paced,117,0,181,220,0,150,-203,17.786581,4.003,150,-203,0,2,0,2,10,1
paced,118,0,739,220,0,150,1470,17.790676,,,,,,,,,0
paced,119,0,478,220,0,150,882,18.004363,2.331,150,882,0,0,0,2,17,1
paced,120,0,796,220,0,150,-74,18.006736,,,,,,,,,0
paced,121,0,210,220,0,150,1200,18.208474,,,,,,,,,0
paced,122,0,455,220,0,150,-1306,18.409808,,,,,,,,,0
paced,123,0,367,220,0,150,1766,18.611300,3.927,150,1766,0,1,0,2,17,1
paced,124,0,198,220,0,150,-566,18.615334,3.047,150,-566,0,2,0,2,17,1
paced,125,0,222,220,0,150,1696,18.618445,2.022,150,1696,0,1,0,2,17,1
paced,126,0,228,220,0,150,-549,18.620497,,,,,,,,,0
paced,127,0,455,220,0,150,1226,18.830836,,,,,,,,,0
paced,128,0,312,220,0,150,-116,19.035075,,,,,,,,,0
paced,129,0,728,220,0,150,-787,19.239262,,,,,,,,,0
paced,130,0,283,220,0,150,-1786,19.454735,,,,,,,,,0
paced,131,0,724,220,0,150,1779,19.658330,,,,,,,,,0
paced,132,0,188,220,0,150,599,19.860222,2.419,150,599,0,2,0,2,17,1
paced,133,0,372,220,0,150,515,19.862708,,,,,,,,,0
paced,134,0,621,220,0,150,-1118,20.076972,2.550,150,-1118,0,0,0,2,17,1
paced,135,0,787,220,0,150,264,20.079597,,,,,,,,,0
paced,136,0,188,220,0,150,-272,20.281222,2.638,150,-272,0,2,0,2,17,1
paced,137,0,355,220,0,150,-399,20.283939,,,,,,,,,0
paced,138,0,251,220,0,150,-978,20.485072,,,,,,,,,0
paced,139,0,737,220,0,150,941,20.688848,,,,,,,,,0
paced,140,0,593,220,0,150,602,20.892969,,,,,,,,,0
paced,141,0,348,220,0,150,196,21.097452,,,,,,,,,0
paced,142,0,256,220,0,150,907,21.302039,,,,,,,,,0
paced,143,0,549,220,0,150,-608,21.503709,,,,,,,,,0
paced,144,0,666,220,0,150,227,21.707809,3.184,150,227,0,0,0,2,17,1
paced,145,0,167,220,0,150,-488,21.711066,,,,,,,,,0
paced,146,0,776,220,0,150,1750,21.926372,2.277,150,1750,0,0,0,2,17,1
paced,147,0,561,220,0,150,-668,21.929010,2.782,150,-668,0,0,0,2,17,1
paced,148,0,168,220,0,150,-1178,21.931878,,,,,,,,,0
paced,149,0,355,220,0,150,1692,22.143648,,,,,,,,,0
paced,150,0,485,220,0,150,1502,22.346008,,,,,,,,,0
paced,151,0,726,220,0,150,1385,22.550727,,,,,,,,,0
paced,152,0,288,220,0,150,-432,22.754185,3.101,150,-432,0,1,0,2,17,1
paced,153,0,589,220,0,150,-948,22.757374,2.419,150,-948,0,0,0,2,17,1
paced,154,0,422,220,0,150,942,22.759856,,,,,,,,,0
paced,155,0,248,220,0,150,1611,22.973275,,,,,,,,,0
paced,156,0,538,220,0,150,423,23.175579,,,,,,,,,0
paced,157,0,502,220,0,150,1794,23.376768,,,,,,,,,0
paced,158,0,697,220,0,150,164,23.578889,3.005,150,164,0,0,0,2,17,1
paced,159,0,695,220,0,150,-859,23.581987,,,,,,,,,0
paced,160,0,216,220,0,150,1151,23.797067,2.607,150,1151,0,1,0,2,17,1
paced,161,0,191,220,0,150,-1474,23.799735,,,,,,,,,0
paced,162,0,286,220,0,150,-1125,24.014813,3.114,150,-1125,0,1,0,2,17,1
paced,163,0,320,220,0,150,384,24.018018,,,,,,,,,0
paced,164,0,368,220,0,150,-723,24.231982,,,,,,,,,0
paced,165,0,490,220,0,150,638,24.437212,2.077,150,638,0,0,0,2,17,1
paced,166,0,668,220,0,150,1625,24.439322,,,,,,,,,0
paced,167,0,411,220,0,150,-313,24.640751,3.440,150,-313,0,0,0,2,17,1
paced,168,0,496,220,0,150,-427,24.644249,,,,,,,,,0
paced,169,0,266,220,0,150,-628,24.846303,3.112,150,-628,0,1,0,2,17,1
paced,170,0,390,220,0,150,1732,24.849496,,,,,,,,,0
paced,171,0,768,220,0,150,1372,25.051047,2.536,150,1372,0,0,0,2,17,1
paced,172,0,650,220,0,150,-1266,25.053665,,,,,,,,,0
paced,173,0,743,220,0,150,437,25.267994,,,,,,,,,0
paced,174,0,256,220,0,150,-507,25.470637,,,,,,,,,0
paced,175,0,190,220,0,150,-155,25.672715,,,,,,,,,0
paced,176,0,224,220,0,150,-263,25.875292,2.176,150,-263,0,1,0,2,17,1
paced,177,0,300,220,0,150,1573,25.877524,,,,,,,,,0
paced,178,0,278,220,0,150,-424,26.079099,2.922,150,-424,0,1,0,2,17,1
paced,179,0,267,220,0,150,699,26.082102,,,,,,,,,0
paced,180,0,751,220,0,150,1382,26.293660,,,,,,,,,0
paced,181,0,537,220,0,150,-1507,26.495556,,,,,,,,,0
paced,182,0,734,220,0,150,433,26.697588,,,,,,,,,0
paced,183,0,379,220,0,150,498,26.913814,,,,,,,,,0
paced,184,0,233,220,0,150,-728,27.118127,,,,,,,,,0
paced,185,0,523,220,0,150,-610,27.320209,3.435,150,-610,0,0,0,2,17,1
paced,186,0,727,220,0,150,368,27.323681,,,,,,,,,0
paced,187,0,267,220,0,150,55,27.536350,3.176,150,55,0,1,0,2,17,1
paced,188,0,433,220,0,150,-1379,27.539628,,,,,,,,,0
paced,189,0,196,220,0,150,1570,27.756133,2.918,150,1570,0,2,0,2,17,1
paced,190,0,452,220,0,150,-1770,27.759121,2.748,150,-1770,0,0,0,2,17,1
paced,191,0,778,220,0,150,926,27.761927,3.274,150,926,0,0,0,2,17,1
paced,192,0,164,220,0,150,-1445,27.765284,2.522,150,-1445,0,2,0,2,17,1
paced,193,0,573,220,0,150,-1349,27.767854,,,,,,,,,0
paced,194,0,190,220,0,150,-1051,27.974050,,,,,,,,,0
paced,195,0,395,220,0,150,1397,28.176951,3.033,150,1397,0,1,0,2,17,1
paced,196,0,750,220,0,150,-96,28.180078,2.763,150,-96,0,0,0,2,17,1
paced,197,0,315,220,0,150,-1347,28.182915,,,,,,,,,0
paced,198,0,611,220,0,150,-1135,28.395618,,,,,,,,,0
paced,199,0,397,220,0,150,-1169,28.599051,2.570,150,-1169,0,1,0,2,17,1
paced,200,0,255,220,0,150,-38,28.601696,,,,,,,,,0
paced,201,0,537,220,0,150,1483,28.816426,1.816,150,1483,0,0,0,2,17,1
paced,202,0,705,220,0,150,1531,28.818283,,,,,,,,,0
paced,203,0,451,220,0,150,433,29.022051,,,,,,,,,0
paced,204,0,409,220,0,150,1094,29.223114,2.610,150,1094,0,0,0,2,17,1
paced,205,0,638,220,0,150,-532,29.225796,,,,,,,,,0
paced,206,0,252,220,0,150,-970,29.442178,2.525,150,-970,0,1,0,2,17,1
paced,207,0,475,220,0,150,-1658,29.444758,,,,,,,,,0
paced,208,0,177,220,0,150,-1777,29.660752,,,,,,,,,0
paced,209,0,452,220,0,150,1155,29.862747,,,,,,,,,0
paced,210,0,760,220,0,150,-509,30.067307,2.703,150,-509,0,0,0,2,17,1
paced,211,0,610,220,0,150,-218,30.070089,,,,,,,,,0
paced,212,0,470,220,0,150,-188,30.285519,,,,,,,,,0
paced,213,0,214,220,0,150,-1558,30.488840,,,,,,,,,0
paced,214,0,474,220,0,150,643,30.690698,,,,,,,,,0
paced,215,0,616,220,0,150,-1364,30.893121,,,,,,,,,0
paced,216,0,406,220,0,150,-939,31.109236,2.334,150,-939,0,0,0,2,17,1
paced,217,0,782,220,0,150,1366,31.111601,,,,,,,,,0
paced,218,0,705,220,0,150,1733,31.327022,,,,,,,,,0
paced,219,0,630,220,0,150,890,31.530616,,,,,,,,,0
paced,220,0,514,220,0,150,-759,31.747018,,,,,,,,,0
paced,221,0,337,220,0,150,398,31.950346,2.246,150,398,0,1,0,2,17,1
paced,222,0,362,220,0,150,-562,31.952633,,,,,,,,,0
paced,223,0,353,220,0,150,-811,32.168037,,,,,,,,,0
paced,224,0,519,220,0,150,-1487,32.372364,2.253,150,-1487,0,0,0,2,17,1
paced,225,0,437,220,0,150,-1454,32.374655,,,,,,,,,0
paced,226,0,608,220,0,150,-1450,32.576390,,,,,,,,,0
paced,227,0,738,220,0,150,815,32.781023,2.837,150,815,0,0,0,2,17,1
paced,228,0,497,220,0,150,-889,32.783929,,,,,,,,,0
paced,229,0,549,220,0,150,-564,32.998330,2.348,150,-564,0,0,0,2,17,1
paced,230,0,192,220,0,150,-480,33.000726,,,,,,,,,0
paced,231,0,341,220,0,150,-523,33.200919,,,,,,,,,0
paced,232,0,742,220,0,150,-580,33.405653,,,,,,,,,0
paced,233,0,401,220,0,150,-451,33.607637,3.615,150,-451,0,0,0,2,17,1
paced,234,0,253,220,0,150,409,33.611346,2.910,150,409,0,1,0,2,17,1
paced,235,0,776,220,0,150,551,33.614320,2.653,150,551,0,0,0,2,17,1
paced,236,0,760,220,0,150,-1443,33.617054,,,,,,,,,0
paced,237,0,400,220,0,150,-919,33.824054,2.800,150,-919,0,0,0,2,17,1
paced,238,0,170,220,0,150,1490,33.826931,,,,,,,,,0
paced,239,0,399,220,0,150,-175,34.040812,,,,,,,,,0
paced,240,0,224,220,0,150,-723,34.244140,3.253,150,-723,0,1,0,2,17,1
paced,241,0,714,220,0,150,1733,34.247473,,,,,,,,,0
