seq,t_send_ns,t_recv_ns,rtt_us
1,17558520362435,17558526140668,5778
2,17558570476499,17558575248459,4771
3,17558620491627,17558625198868,4707
4,17558670487808,17558675062705,4574
5,17558720516276,17558725119473,4603
6,17558770624369,17558775366632,4742
7,17558820465135,17558825058206,4593
8,17558870523680,17558875208310,4684
9,17558920933215,17558925671053,4737
10,17558970887778,17558975637396,4749
11,17559020836222,17559025477291,4641
12,17559070519794,17559074912116,4392
13,17559120924482,17559124532672,3608
14,17559170859017,17559175318509,4459
15,17559220932785,17559225953136,5020
16,17559270963285,17559275915455,4952
17,17559320511614,17559325215308,4703
18,17559370495188,17559375070380,4575
19,17559420601610,17559425062637,4461
20,17559470457197,17559475062456,4605
21,17559520730883,17559525404843,4673
22,17559570538343,17559575132492,4594
23,17559620870033,17559625060457,4190
24,17559670970150,17559675914664,4944
25,17559720934378,17559724979598,4045
26,17559770630956,17559775670915,5039
27,17559821041857,17559826149344,5107
28,17559871065584,17559875334703,4269
29,17559920637899,17559925048530,4410
30,17559970670045,17559975543300,4873
31,17560020786726,17560025728301,4941
32,17560070716913,17560075539144,4822
33,17560120690212,17560125258101,4567
34,17560170814641,17560175531215,4716
35,17560220639684,17560225495990,4856
36,17560270525322,17560274829195,4303
37,17560321010755,17560326007101,4996
38,17560370735846,17560375269759,4533
39,17560420935373,17560426008184,5072
40,17560470733385,17560475346461,4613
41,17560520612788,17560525299774,4686
42,17560570831619,17560575119351,4287
43,17560620860917,17560624456725,3595
44,17560670494691,17560674313594,3818
45,17560720498400,17560725064357,4565
46,17560770745348,17560775542150,4796
47,17560820600581,17560825176502,4575
48,17560871224777,17560875805266,4580
49,17560920470378,17560924325246,3854
50,17560970642188,17560974627964,3985
51,17561020860856,17561025812411,4951
52,17561071018526,17561076038839,5020
53,17561120643011,17561125365078,4722
54,17561170519334,17561174968034,4448
55,17561220540347,17561225425528,4885
56,17561270549347,17561275527146,4977
57,17561320775309,17561325250379,4475
58,17561370490818,17561375018605,4527
59,17561420709310,17561425639839,4930
60,17561470628917,17561474966030,4337
61,17561520627749,17561525317061,4689
62,17561570979347,17561575654005,4674
63,17561620853942,17561625341574,4487
64,17561670665222,17561675163234,4498
65,17561720902664,17561724701983,3799
66,17561770524868,17561774443710,3918
67,17561820870674,17561825941366,5070
68,17561870541446,17561875290881,4749
69,17561921030029,17561925450923,4420
70,17561970489426,17561974945575,4456
71,17562020773577,17562025825299,5051
72,17562070819307,17562075393489,4574
73,17562120967336,17562125810977,4843
74,17562170524911,17562174218620,3693
75,17562221100884,17562224715317,3614
76,17562270612224,17562275502778,4890
77,17562320858852,17562327085903,6227
78,17562370754168,17562375370926,4616
79,17562420707230,17562425388684,4681
80,17562471232186,17562476078508,4846
81,17562520500750,17562525056459,4555
82,17562570928478,17562575484099,4555
83,17562620546687,17562625482586,4935
84,17562670799552,17562676139026,5339
85,17562721039634,17562726148252,5108
86,17562770498830,17562775049544,4550
87,17562820712318,17562825398697,4686
88,17562870872867,17562875621831,4748
89,17562920876520,17562925357588,4481
90,17562970506593,17562975126690,4620
91,17563020972392,17563025534617,4562
92,17563070772003,17563074891219,4119
93,17563120866365,17563126247916,5381
94,17563170533744,17563175038566,4504
95,17563220479274,17563225267032,4787
96,17563270516520,17563275507822,4991
97,17563320616995,17563325403072,4786
98,17563370836039,17563375383397,4547
99,17563420551938,17563424892900,4340
100,17563470709065,17563475330178,4621
101,17563520886568,17563525668325,4781
102,17563570619209,17563575216530,4597
103,17563620622605,17563625364617,4742
104,17563670636189,17563674325569,3689
105,17563720970940,17563724499996,3529
106,17563770889162,17563774930849,4041
107,17563820525964,17563824715072,4189
108,17563871003814,17563875467913,4464
109,17563920596243,17563924794460,4198
110,17563970470328,17563974422980,3952
111,17564021069510,17564025833223,4763
112,17564070966234,17564075078148,4111
113,17564120655448,17564125181856,4526
114,17564170988523,17564175779879,4791
115,17564221132985,17564225745830,4612
116,17564270564477,17564275189267,4624
117,17564320523516,17564324356039,3832
118,17564370588416,17564374419971,3831
119,17564420532276,17564424415459,3883
120,17564470494254,17564474355531,3861
121,17564520952163,17564524498520,3546
122,17564570957933,17564574997780,4039
123,17564620826683,17564625104917,4278
124,17564670494432,17564675097353,4602
125,17564720743241,17564725079446,4336
126,17564770932792,17564775873321,4940
127,17564820937357,17564825864375,4927
128,17564870881790,17564875431002,4549
129,17564920813322,17564926431582,5618
130,17564970529782,17564975126375,4596
131,17565020923075,17565025865904,4942
132,17565070594710,17565075216345,4621
133,17565120580289,17565125151353,4571
134,17565170936754,17565175626752,4689
135,17565220841425,17565225070709,4229
136,17565270789752,17565274318834,3529
137,17565320578976,17565324540222,3961
138,17565370599130,17565375456742,4857
139,17565420596218,17565425137742,4541
140,17565470607795,17565475207718,4599
141,17565520610058,17565525270638,4660
142,17565571265495,17565575693742,4428
143,17565620548111,17565625156986,4608
144,17565670901588,17565676097311,5195
145,17565720933373,17565725346639,4413
146,17565770885740,17565775192533,4306
147,17565821031874,17565825201903,4170
148,17565870490894,17565874113040,3622
149,17565920857113,17565925470059,4612
150,17565971003140,17565975700758,4697
151,17566020818958,17566025421555,4602
152,17566070684741,17566075570508,4885
153,17566120552532,17566125262377,4709
154,17566170884094,17566176149596,5265
155,17566220527464,17566225217190,4689
156,17566270777807,17566275680885,4903
157,17566321054980,17566326047687,4992
158,17566370625840,17566376389375,5763
159,17566420663577,17566425381614,4718
160,17566470892765,17566476153464,5260
161,17566520531296,17566524983940,4452
162,17566570810518,17566575789633,4979
163,17566620925826,17566625875473,4949
164,17566670725197,17566675261864,4536
165,17566720810164,17566725091633,4281
166,17566770513944,17566774152253,3638
167,17566821001143,17566824706179,3705
168,17566870448203,17566874796340,4348
169,17566920879797,17566925249995,4370
170,17566970941681,17566975471651,4529
171,17567020949396,17567025861710,4912
172,17567070522246,17567074584750,4062
173,17567121006658,17567125741067,4734
174,17567170722317,17567175314151,4591
175,17567220870665,17567225371546,4500
176,17567270772347,17567275467040,4694
177,17567321247032,17567325734546,4487
178,17567370542154,17567375245260,4703
179,17567420494699,17567425042241,4547
180,17567470496452,17567475418167,4921
181,17567520534129,17567524927381,4393
182,17567570511627,17567575492136,4980
183,17567620910011,17567625789927,4879
184,17567670627344,17567676109317,5481
185,17567720749162,17567725476617,4727
186,17567771102209,17567775513362,4411
187,17567820558478,17567825025877,4467
188,17567870983877,17567875438410,4454
189,17567920999075,17567925306577,4307
190,17567970923755,17567975599442,4675
191,17568020513395,17568024996194,4482
192,17568070490507,17568074932134,4441
193,17568120644901,17568125306559,4661
194,17568170866411,17568175334064,4467
195,17568221054245,17568225547112,4492
196,17568270525918,17568274879900,4353
197,17568320512972,17568324149524,3636
198,17568370993885,17568375025586,4031
199,17568420935776,17568425700201,4764
200,17568470942833,17568475561041,4618
201,17568520929328,17568526048049,5118
