seq,t_send_ns,t_recv_ns,rtt_us
1,17798451706846,17798457007994,5301
2,17798501846765,17798506180480,4333
3,17798551852496,17798556188760,4336
4,17798601843275,17798605875130,4031
5,17798651892912,17798656264056,4371
6,17798701919367,17798706388052,4468
7,17798751886162,17798755985012,4098
8,17798801872761,17798806092845,4220
9,17798851875232,17798855212807,3337
10,17798901863849,17798904855755,2991
11,17798951906315,17798955827680,3921
12,17799001848497,17799005275449,3426
13,17799051869302,17799055980451,4111
14,17799101908092,17799105928108,4020
15,17799151889603,17799155926543,4036
16,17799202066376,17799206209756,4143
17,17799251987148,17799256289676,4302
18,17799302161012,17799306925577,4764
19,17799351839899,17799356051057,4211
20,17799401835389,17799405751158,3915
21,17799451812500,17799455955030,4142
22,17799501899792,17799506164513,4264
23,17799551880105,17799556413665,4533
24,17799601867268,17799606054178,4186
25,17799651949487,17799656430473,4480
26,17799701854495,17799706301567,4447
27,17799751888933,17799756309338,4420
28,17799801883636,17799806213135,4329
29,17799851884163,17799856091257,4207
30,17799902057172,17799906241799,4184
31,17799952050911,17799956419110,4368
32,17800002093751,17800006534034,4440
33,17800051843987,17800055929535,4085
34,17800101812163,17800105872151,4059
35,17800151892170,17800155894835,4002
36,17800201985571,17800205172635,3187
37,17800251913629,17800255380487,3466
38,17800301851716,17800305909358,4057
39,17800351871706,17800355983639,4111
40,17800401911885,17800406204055,4292
41,17800451914427,17800455981027,4066
42,17800501839487,17800506325640,4486
43,17800551985703,17800556687127,4701
44,17800601974027,17800606570982,4596
45,17800651893111,17800655848363,3955
46,17800702008750,17800706097136,4088
47,17800752044133,17800756351630,4307
48,17800801944865,17800806556020,4611
49,17800852115173,17800856268671,4153
50,17800901883609,17800905940011,4056
51,17800951898668,17800955541504,3642
52,17801002021145,17801005894481,3873
53,17801051870647,17801055181780,3311
54,17801101938611,17801105910334,3971
55,17801151997773,17801155947234,3949
56,17801201979522,17801206166027,4186
57,17801252040018,17801256304015,4263
58,17801301910957,17801306114597,4203
59,17801351864364,17801355921289,4056
60,17801401819741,17801405844928,4025
61,17801451857232,17801455941070,4083
62,17801501844479,17801506001979,4157
63,17801551846546,17801556032337,4185
64,17801601803410,17801605956174,4152
65,17801651887648,17801656121808,4234
66,17801701884194,17801706180230,4296
67,17801751878691,17801756266051,4387
68,17801801877302,17801805983960,4106
69,17801851798175,17801856195091,4396
70,17801901909284,17801905407202,3497
71,17801951852472,17801955221073,3368
72,17802002039027,17802006382753,4343
73,17802051894584,17802056247024,4352
74,17802101861169,17802105693941,3832
75,17802151867474,17802155493017,3625
76,17802201849090,17802205415340,3566
77,17802251978355,17802256070132,4091
78,17802302017923,17802306263719,4245
79,17802351882483,17802356134038,4251
80,17802401898149,17802405297634,3399
81,17802451957620,17802456537091,4579
82,17802501881306,17802506183287,4301
83,17802551893603,17802556172877,4279
84,17802601882213,17802605882171,3999
85,17802651906358,17802656100503,4194
86,17802702017286,17802705679894,3662
87,17802751998367,17802756040478,4042
88,17802802162682,17802806307312,4144
89,17802851932133,17802856118298,4186
90,17802901899535,17802905428836,3529
91,17802952101262,17802955735138,3633
92,17803001847165,17803005935985,4088
93,17803051903640,17803055457724,3554
94,17803101860746,17803105204224,3343
95,17803151845171,17803156056347,4211
96,17803201891598,17803206057601,4166
