t,x,y,yaw,min_range,wp_i,mode,v,w
0.000,0.0001,-0.0000,0.0000,0.5976,0,RUN,0.2200,0.0000
0.000,0.0001,-0.0000,0.0000,0.5976,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,-0.0000,0.5904,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,-0.0000,0.5904,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5808,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5808,0,RUN,0.2200,0.0000
0.300,0.0392,-0.0000,-0.0000,0.5627,0,RUN,0.2200,0.0000
0.300,0.0392,-0.0000,-0.0000,0.5627,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5422,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5422,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,0.5284,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,0.5284,0,RUN,0.2200,0.0000
0.600,0.1065,-0.0000,-0.0000,0.5094,0,RUN,0.2200,0.0000
0.600,0.1065,-0.0000,-0.0000,0.5094,0,RUN,0.2200,0.0000
0.700,0.1289,-0.0000,-0.0000,0.4977,0,RUN,0.2200,0.0000
0.700,0.1289,-0.0000,-0.0000,0.4977,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,0.4765,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,0.4765,0,RUN,0.2200,0.0000
0.900,0.1738,-0.0000,-0.0000,0.4603,0,RUN,0.2200,0.0000
0.900,0.1738,-0.0000,-0.0000,0.4603,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,0.4266,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,0.4266,0,RUN,0.2200,0.0000
1.100,0.2187,-0.0000,-0.0000,0.4354,0,RUN,0.2200,0.0000
1.100,0.2187,-0.0000,-0.0000,0.4354,0,RUN,0.2200,0.0000
1.200,0.2412,-0.0000,-0.0000,0.4173,0,RUN,0.2200,0.0000
1.200,0.2412,-0.0000,-0.0000,0.4173,0,RUN,0.2200,0.0000
1.300,0.2636,-0.0000,-0.0000,0.4001,0,RUN,0.2200,0.0000
1.300,0.2636,-0.0000,-0.0000,0.4001,0,RUN,0.2200,0.0000
1.400,0.2861,-0.0000,-0.0000,0.3934,0,SLOW,0.2127,0.0000
1.400,0.2861,-0.0000,-0.0000,0.3934,0,SLOW,0.2127,0.0000
1.500,0.3080,-0.0000,0.0000,0.3819,0,SLOW,0.2001,0.0000
1.500,0.3080,-0.0000,0.0000,0.3819,0,SLOW,0.2001,0.0000
1.600,0.3223,-0.0000,0.0000,0.3725,0,SLOW,0.1897,-0.0000
1.600,0.3223,-0.0000,0.0000,0.3725,0,SLOW,0.1897,-0.0000
1.700,0.3427,-0.0000,0.0000,0.3642,0,SLOW,0.1806,-0.0000
1.700,0.3427,-0.0000,0.0000,0.3642,0,SLOW,0.1806,-0.0000
1.800,0.3614,-0.0000,0.0000,0.3687,0,SLOW,0.1855,-0.0000
1.800,0.3614,-0.0000,0.0000,0.3687,0,SLOW,0.1855,-0.0000
1.900,0.3801,-0.0000,0.0000,0.3637,0,SLOW,0.1801,0.0000
1.900,0.3801,-0.0000,0.0000,0.3637,0,SLOW,0.1801,0.0000
2.000,0.3987,-0.0000,0.0000,0.3662,0,SLOW,0.1828,0.0000
2.000,0.3987,-0.0000,0.0000,0.3662,0,SLOW,0.1828,0.0000
2.100,0.4172,-0.0000,0.0000,0.3718,0,SLOW,0.1890,0.0000
2.100,0.4172,-0.0000,0.0000,0.3718,0,SLOW,0.1890,0.0000
2.200,0.4363,-0.0000,0.0000,0.3831,0,SLOW,0.2015,0.0000
2.200,0.4363,-0.0000,0.0000,0.3831,0,SLOW,0.2015,0.0000
2.300,0.4566,-0.0000,0.0000,0.6663,0,RUN,0.2200,0.0000
2.300,0.4566,-0.0000,0.0000,0.6663,0,RUN,0.2200,0.0000
2.400,0.4787,-0.0000,0.0000,1.4875,0,RUN,0.2200,0.0000
2.400,0.4787,-0.0000,0.0000,1.4875,0,RUN,0.2200,0.0000
2.500,0.5012,-0.0000,0.0000,1.4709,0,RUN,0.2200,0.0000
2.500,0.5012,-0.0000,0.0000,1.4709,0,RUN,0.2200,0.0000
2.600,0.5236,-0.0000,0.0000,1.4419,0,RUN,0.2200,0.0000
2.600,0.5236,-0.0000,0.0000,1.4419,0,RUN,0.2200,0.0000
2.700,0.5460,-0.0000,0.0000,1.4230,0,RUN,0.2200,0.0000
2.700,0.5460,-0.0000,0.0000,1.4230,0,RUN,0.2200,0.0000
2.800,0.5685,-0.0000,0.0000,1.4021,0,RUN,0.2200,0.0000
2.800,0.5685,-0.0000,0.0000,1.4021,0,RUN,0.2200,0.0000
2.900,0.5909,-0.0000,0.0000,1.3807,0,RUN,0.2200,0.0000
2.900,0.5909,-0.0000,0.0000,1.3807,0,RUN,0.2200,0.0000
3.000,0.6134,-0.0000,0.0000,1.3645,0,RUN,0.2200,0.0000
3.000,0.6134,-0.0000,0.0000,1.3645,0,RUN,0.2200,0.0000
3.100,0.6359,-0.0000,0.0000,1.3234,0,RUN,0.2200,-0.0000
3.100,0.6359,-0.0000,0.0000,1.3234,0,RUN,0.2200,-0.0000
3.200,0.6583,-0.0000,0.0000,1.3000,0,RUN,0.2200,-0.0000
3.200,0.6583,-0.0000,0.0000,1.3000,0,RUN,0.2200,-0.0000
3.300,0.6733,-0.0000,0.0000,1.2713,0,RUN,0.2200,0.0000
3.300,0.6807,-0.0000,0.0000,1.2713,0,RUN,0.2200,0.0000
3.400,0.6957,-0.0000,0.0000,1.2731,0,RUN,0.2200,0.0000
3.400,0.6957,-0.0000,0.0000,1.2731,0,RUN,0.2200,0.0000
3.500,0.7181,-0.0000,0.0000,1.2428,0,RUN,0.2200,0.0000
3.500,0.7181,-0.0000,0.0000,1.2428,0,RUN,0.2200,0.0000
3.600,0.7405,-0.0000,0.0000,1.2165,0,RUN,0.2200,0.0000
3.600,0.7405,-0.0000,0.0000,1.2165,0,RUN,0.2200,0.0000
3.700,0.7630,-0.0000,0.0000,1.2012,0,RUN,0.2200,0.0000
3.700,0.7630,-0.0000,0.0000,1.2012,0,RUN,0.2200,0.0000
3.800,0.7854,-0.0000,0.0000,1.1824,0,RUN,0.2200,0.0000
3.800,0.7854,-0.0000,0.0000,1.1824,0,RUN,0.2200,0.0000
3.900,0.8079,-0.0000,0.0000,1.1558,0,RUN,0.2200,0.0000
3.900,0.8079,-0.0000,0.0000,1.1558,0,RUN,0.2200,0.0000
4.000,0.8303,-0.0000,0.0000,1.1337,0,RUN,0.2200,0.0000
4.000,0.8303,-0.0000,0.0000,1.1337,0,RUN,0.2200,0.0000
4.100,0.8528,-0.0000,0.0000,1.1218,0,RUN,0.2200,0.0000
4.100,0.8528,-0.0000,0.0000,1.1218,0,RUN,0.2200,0.0000
4.200,0.8752,-0.0000,0.0000,1.0868,0,RUN,0.2200,0.0000
4.200,0.8752,-0.0000,0.0000,1.0868,0,RUN,0.2200,0.0000
4.300,0.8977,-0.0000,0.0000,1.0722,0,RUN,0.2200,0.0000
4.300,0.8977,-0.0000,0.0000,1.0722,0,RUN,0.2200,0.0000
