t,x,y,yaw,min_range,wp_i,mode,v,w
0.000,0.0000,0.0000,0.0000,0.5727,0,RUN,0.2200,0.0000
0.000,0.0000,0.0000,0.0000,0.5727,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,0.0000,0.5596,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,0.0000,0.5596,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5625,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5625,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,0.5325,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,0.5325,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5289,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5289,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,0.5047,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,0.5047,0,RUN,0.2200,0.0000
0.600,0.1066,-0.0000,-0.0000,0.4813,0,RUN,0.2200,0.0000
0.600,0.1066,-0.0000,-0.0000,0.4813,0,RUN,0.2200,0.0000
0.700,0.1290,-0.0000,-0.0000,0.4728,0,RUN,0.2200,0.0000
0.700,0.1290,-0.0000,-0.0000,0.4728,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,0.4417,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,0.4417,0,RUN,0.2200,0.0000
0.900,0.1739,-0.0000,-0.0000,0.4395,0,RUN,0.2200,0.0000
0.900,0.1739,-0.0000,-0.0000,0.4395,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,0.4132,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,0.4132,0,RUN,0.2200,0.0000
1.100,0.2188,-0.0000,0.0000,0.3934,0,SLOW,0.2127,0.0000
1.100,0.2188,-0.0000,0.0000,0.3934,0,SLOW,0.2127,0.0000
1.200,0.2407,-0.0000,0.0000,0.3761,0,SLOW,0.1937,-0.0000
1.200,0.2407,-0.0000,0.0000,0.3761,0,SLOW,0.1937,-0.0000
1.300,0.2548,-0.0000,0.0000,0.3662,0,SLOW,0.1829,0.0000
1.300,0.2614,-0.0000,0.0000,0.3662,0,SLOW,0.1829,0.0000
1.400,0.2744,-0.0000,0.0000,0.3487,0,SLOW,0.1636,0.0000
1.400,0.2744,-0.0000,0.0000,0.3487,0,SLOW,0.1636,0.0000
1.500,0.2920,-0.0000,0.0000,0.3410,0,SLOW,0.1551,0.0000
1.500,0.2920,-0.0000,0.0000,0.3410,0,SLOW,0.1551,0.0000
1.600,0.3081,-0.0000,0.0000,0.3392,0,SLOW,0.1532,0.0000
1.600,0.3081,-0.0000,0.0000,0.3392,0,SLOW,0.1532,0.0000
1.700,0.3238,-0.0000,0.0000,0.3317,0,SLOW,0.1448,0.0000
1.700,0.3238,-0.0000,0.0000,0.3317,0,SLOW,0.1448,0.0000
1.800,0.3389,-0.0000,0.0000,0.3202,0,SLOW,0.1322,-0.0000
1.800,0.3389,-0.0000,0.0000,0.3202,0,SLOW,0.1322,-0.0000
1.900,0.3537,-0.0000,0.0000,0.3243,0,SLOW,0.1367,-0.0000
1.900,0.3537,-0.0000,0.0000,0.3243,0,SLOW,0.1367,-0.0000
2.000,0.3675,-0.0000,0.0000,0.3214,0,SLOW,0.1335,-0.0000
2.000,0.3675,-0.0000,0.0000,0.3214,0,SLOW,0.1335,-0.0000
2.100,0.3812,-0.0000,0.0000,0.3221,0,SLOW,0.1343,-0.0000
2.100,0.3812,-0.0000,0.0000,0.3221,0,SLOW,0.1343,-0.0000
2.200,0.3949,-0.0000,0.0000,0.3094,0,SLOW,0.1204,-0.0000
2.200,0.3949,-0.0000,0.0000,0.3094,0,SLOW,0.1204,-0.0000
2.300,0.4076,-0.0000,0.0000,0.3173,0,SLOW,0.1290,-0.0000
2.300,0.4076,-0.0000,0.0000,0.3173,0,SLOW,0.1290,-0.0000
2.400,0.4204,-0.0000,0.0000,0.3004,0,SLOW,0.1104,-0.0000
2.400,0.4204,-0.0000,0.0000,0.3004,0,SLOW,0.1104,-0.0000
2.500,0.4320,-0.0000,0.0000,0.3292,0,SLOW,0.1421,-0.0000
2.500,0.4320,-0.0000,0.0000,0.3292,0,SLOW,0.1421,-0.0000
2.600,0.4454,-0.0000,0.0000,0.3131,0,SLOW,0.1244,0.0000
2.600,0.4454,-0.0000,0.0000,0.3131,0,SLOW,0.1244,0.0000
2.700,0.4587,-0.0000,0.0000,0.3259,0,SLOW,0.1385,-0.0000
2.700,0.4587,-0.0000,0.0000,0.3259,0,SLOW,0.1385,-0.0000
2.800,0.4723,-0.0000,0.0000,0.3447,0,SLOW,0.1592,0.0000
2.800,0.4723,-0.0000,0.0000,0.3447,0,SLOW,0.1592,0.0000
2.900,0.4879,-0.0000,0.0000,0.6369,0,RUN,0.2200,0.0000
2.900,0.4879,-0.0000,0.0000,0.6369,0,RUN,0.2200,0.0000
3.000,0.4998,-0.0000,0.0000,1.4574,0,RUN,0.2200,0.0000
3.000,0.5073,-0.0000,0.0000,1.4574,0,RUN,0.2200,0.0000
3.100,0.5223,-0.0000,0.0000,1.4335,0,RUN,0.2200,0.0000
3.100,0.5223,-0.0000,0.0000,1.4335,0,RUN,0.2200,0.0000
3.200,0.5447,-0.0000,0.0000,1.4111,0,RUN,0.2200,0.0000
3.200,0.5447,-0.0000,0.0000,1.4111,0,RUN,0.2200,0.0000
3.300,0.5672,-0.0000,0.0000,1.3869,0,RUN,0.2200,0.0000
3.300,0.5672,-0.0000,0.0000,1.3869,0,RUN,0.2200,0.0000
3.400,0.5896,-0.0000,0.0000,1.3792,0,RUN,0.2200,0.0000
3.400,0.5896,-0.0000,0.0000,1.3792,0,RUN,0.2200,0.0000
3.500,0.6120,-0.0000,0.0000,1.3553,0,RUN,0.2200,0.0000
3.500,0.6120,-0.0000,0.0000,1.3553,0,RUN,0.2200,0.0000
3.600,0.6345,-0.0000,0.0000,1.3302,0,RUN,0.2200,0.0000
3.600,0.6345,-0.0000,0.0000,1.3302,0,RUN,0.2200,0.0000
3.700,0.6569,-0.0000,0.0000,1.3051,0,RUN,0.2200,0.0000
3.700,0.6569,-0.0000,0.0000,1.3051,0,RUN,0.2200,0.0000
3.800,0.6793,-0.0000,0.0000,1.2897,0,RUN,0.2200,0.0000
3.800,0.6793,-0.0000,0.0000,1.2897,0,RUN,0.2200,0.0000
3.900,0.7018,-0.0000,0.0000,1.2681,0,RUN,0.2200,0.0000
3.900,0.7018,-0.0000,0.0000,1.2681,0,RUN,0.2200,0.0000
4.000,0.7242,-0.0000,0.0000,1.2494,0,RUN,0.2200,0.0000
4.000,0.7242,-0.0000,0.0000,1.2494,0,RUN,0.2200,0.0000
4.100,0.7467,-0.0000,0.0000,1.2223,0,RUN,0.2200,0.0000
4.100,0.7467,-0.0000,0.0000,1.2223,0,RUN,0.2200,0.0000
4.200,0.7691,-0.0000,0.0000,1.1939,0,RUN,0.2200,0.0000
4.200,0.7691,-0.0000,0.0000,1.1939,0,RUN,0.2200,0.0000
4.300,0.7915,-0.0000,0.0000,1.1781,0,RUN,0.2200,0.0000
4.300,0.7915,-0.0000,0.0000,1.1781,0,RUN,0.2200,0.0000
4.400,0.8140,-0.0000,0.0000,1.1453,0,RUN,0.2200,0.0000
4.400,0.8140,-0.0000,0.0000,1.1453,0,RUN,0.2200,0.0000
4.500,0.8364,-0.0000,0.0000,1.1329,0,RUN,0.2200,0.0000
4.500,0.8364,-0.0000,0.0000,1.1329,0,RUN,0.2200,0.0000
4.600,0.8589,-0.0000,0.0000,1.1123,0,RUN,0.2200,0.0000
