t,x,y,yaw,min_range,wp_i,mode,v,w
0.000,0.0001,-0.0000,0.0000,inf,0,RUN,0.2200,0.0000
0.000,0.0001,-0.0000,0.0000,inf,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,-0.0000,0.5910,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,-0.0000,0.5910,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5935,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,0.5935,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,0.5718,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,0.5718,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5481,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,0.5481,0,RUN,0.2200,0.0000
0.500,0.0766,-0.0000,-0.0000,0.5304,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,0.5304,0,RUN,0.2200,0.0000
0.600,0.0991,-0.0000,-0.0000,0.5169,0,RUN,0.2200,0.0000
0.600,0.0991,-0.0000,-0.0000,0.5169,0,RUN,0.2200,0.0000
0.700,0.1215,-0.0000,-0.0000,0.5036,0,RUN,0.2200,0.0000
0.700,0.1215,-0.0000,-0.0000,0.5036,0,RUN,0.2200,0.0000
0.800,0.1440,-0.0000,-0.0000,0.4748,0,RUN,0.2200,0.0000
0.800,0.1440,-0.0000,-0.0000,0.4748,0,RUN,0.2200,0.0000
0.900,0.1664,-0.0000,-0.0000,0.4654,0,RUN,0.2200,0.0000
0.900,0.1664,-0.0000,-0.0000,0.4654,0,RUN,0.2200,0.0000
1.000,0.1888,-0.0000,-0.0000,0.4434,0,RUN,0.2200,0.0000
1.000,0.1888,-0.0000,-0.0000,0.4434,0,RUN,0.2200,0.0000
1.100,0.2113,-0.0000,-0.0000,0.4275,0,RUN,0.2200,0.0000
1.100,0.2113,-0.0000,-0.0000,0.4275,0,RUN,0.2200,0.0000
1.200,0.2338,-0.0000,0.0000,0.4323,0,RUN,0.2200,0.0000
1.200,0.2338,-0.0000,0.0000,0.4323,0,RUN,0.2200,0.0000
1.300,0.2562,-0.0000,0.0000,0.4112,0,RUN,0.2200,0.0000
1.300,0.2562,-0.0000,0.0000,0.4112,0,RUN,0.2200,0.0000
1.400,0.2786,-0.0000,0.0000,0.3952,0,SLOW,0.2147,0.0000
1.400,0.2786,-0.0000,0.0000,0.3952,0,SLOW,0.2147,0.0000
1.500,0.3007,-0.0000,-0.0000,0.3856,0,SLOW,0.2041,0.0000
1.500,0.3007,-0.0000,-0.0000,0.3856,0,SLOW,0.2041,0.0000
1.600,0.3220,-0.0000,0.0000,0.3710,0,SLOW,0.1881,0.0000
1.600,0.3220,-0.0000,0.0000,0.3710,0,SLOW,0.1881,0.0000
1.700,0.3420,-0.0000,0.0000,0.3748,0,SLOW,0.1923,0.0000
1.700,0.3420,-0.0000,0.0000,0.3748,0,SLOW,0.1923,0.0000
1.800,0.3614,-0.0000,0.0000,0.3765,0,SLOW,0.1941,0.0000
1.800,0.3614,-0.0000,0.0000,0.3765,0,SLOW,0.1941,0.0000
1.900,0.3812,-0.0000,0.0000,0.3767,0,SLOW,0.1944,0.0000
1.900,0.3812,-0.0000,0.0000,0.3767,0,SLOW,0.1944,0.0000
2.000,0.4010,-0.0000,0.0000,0.3644,0,SLOW,0.1808,0.0000
2.000,0.4010,-0.0000,0.0000,0.3644,0,SLOW,0.1808,0.0000
2.100,0.4199,-0.0000,0.0000,0.3800,0,SLOW,0.1980,-0.0000
2.100,0.4199,-0.0000,0.0000,0.3800,0,SLOW,0.1980,-0.0000
2.200,0.4327,-0.0000,0.0000,0.3835,0,SLOW,0.2018,-0.0000
2.200,0.4395,-0.0000,0.0000,0.3835,0,SLOW,0.2018,-0.0000
2.300,0.4531,-0.0000,0.0000,0.6418,0,RUN,0.2200,-0.0000
2.300,0.4531,-0.0000,0.0000,0.6418,0,RUN,0.2200,-0.0000
2.400,0.4747,-0.0000,0.0000,1.4949,0,RUN,0.2200,0.0000
2.400,0.4747,-0.0000,0.0000,1.4949,0,RUN,0.2200,0.0000
2.500,0.4971,-0.0000,0.0000,1.4623,0,RUN,0.2200,-0.0000
2.500,0.4971,-0.0000,0.0000,1.4623,0,RUN,0.2200,-0.0000
2.600,0.5196,-0.0000,0.0000,1.4403,0,RUN,0.2200,0.0000
2.600,0.5196,-0.0000,0.0000,1.4403,0,RUN,0.2200,0.0000
2.700,0.5420,-0.0000,0.0000,1.4365,0,RUN,0.2200,0.0000
2.700,0.5420,-0.0000,0.0000,1.4365,0,RUN,0.2200,0.0000
2.800,0.5645,-0.0000,0.0000,1.4139,0,RUN,0.2200,0.0000
2.800,0.5645,-0.0000,0.0000,1.4139,0,RUN,0.2200,0.0000
2.900,0.5869,-0.0000,0.0000,1.3892,0,RUN,0.2200,-0.0000
2.900,0.5869,-0.0000,0.0000,1.3892,0,RUN,0.2200,-0.0000
3.000,0.6094,-0.0000,0.0000,1.3579,0,RUN,0.2200,-0.0000
3.000,0.6094,-0.0000,0.0000,1.3579,0,RUN,0.2200,-0.0000
3.100,0.6318,-0.0000,0.0000,1.3264,0,RUN,0.2200,0.0000
3.100,0.6318,-0.0000,0.0000,1.3264,0,RUN,0.2200,0.0000
3.200,0.6542,-0.0000,0.0000,1.3220,0,RUN,0.2200,0.0000
3.200,0.6542,-0.0000,0.0000,1.3220,0,RUN,0.2200,0.0000
3.300,0.6767,-0.0000,0.0000,1.2972,0,RUN,0.2200,0.0000
3.300,0.6767,-0.0000,0.0000,1.2972,0,RUN,0.2200,0.0000
3.400,0.6991,-0.0000,0.0000,1.2743,0,RUN,0.2200,0.0000
3.400,0.6991,-0.0000,0.0000,1.2743,0,RUN,0.2200,0.0000
3.500,0.7216,-0.0000,0.0000,1.2554,0,RUN,0.2200,0.0000
3.500,0.7216,-0.0000,0.0000,1.2554,0,RUN,0.2200,0.0000
3.600,0.7440,-0.0000,0.0000,1.2228,0,RUN,0.2200,0.0000
3.600,0.7440,-0.0000,0.0000,1.2228,0,RUN,0.2200,0.0000
3.700,0.7664,-0.0000,0.0000,1.2079,0,RUN,0.2200,0.0000
3.700,0.7664,-0.0000,0.0000,1.2079,0,RUN,0.2200,0.0000
3.800,0.7889,-0.0000,0.0000,1.1876,0,RUN,0.2200,0.0000
3.800,0.7889,-0.0000,0.0000,1.1876,0,RUN,0.2200,0.0000
3.900,0.8038,-0.0000,0.0000,1.1615,0,RUN,0.2200,0.0000
3.900,0.8038,-0.0000,0.0000,1.1615,0,RUN,0.2200,0.0000
4.000,0.8263,-0.0000,0.0000,1.1409,0,RUN,0.2200,0.0000
4.000,0.8263,-0.0000,0.0000,1.1409,0,RUN,0.2200,0.0000
4.100,0.8487,-0.0000,0.0000,1.1063,0,RUN,0.2200,0.0000
4.100,0.8487,-0.0000,0.0000,1.1063,0,RUN,0.2200,0.0000
4.200,0.8712,-0.0000,0.0000,1.0855,0,RUN,0.2200,0.0000
4.200,0.8712,-0.0000,0.0000,1.0855,0,RUN,0.2200,0.0000
4.300,0.8936,-0.0000,0.0000,1.0659,0,RUN,0.2200,0.0000
4.300,0.8936,-0.0000,0.0000,1.0659,0,RUN,0.2200,0.0000
4.400,0.9160,-0.0000,0.0000,1.0395,0,RUN,0.2200,0.0000
4.400,0.9160,-0.0000,0.0000,1.0395,0,RUN,0.2200,0.0000
4.500,0.9385,-0.0000,0.0000,1.0273,0,RUN,0.2200,0.0000
4.500,0.9385,-0.0000,0.0000,1.0273,0,RUN,0.2200,0.0000
4.600,0.9609,-0.0000,0.0000,1.0050,0,RUN,0.2200,0.0000
4.600,0.9609,-0.0000,0.0000,1.0050,0,RUN,0.2200,0.0000
4.700,0.9834,-0.0000,0.0000,0.9805,0,RUN,0.2200,0.0000
4.700,0.9834,-0.0000,0.0000,0.9805,0,RUN,0.2200,0.0000
