t,x,y,yaw,min_range,wp_i,mode,v,w
0.000,0.0001,-0.0000,0.0000,1.9605,0,RUN,0.2200,-0.0000
0.000,0.0001,-0.0000,0.0000,1.9605,0,RUN,0.2200,-0.0000
0.100,0.0035,-0.0000,-0.0000,1.9626,0,RUN,0.2200,0.0000
0.100,0.0035,-0.0000,-0.0000,1.9626,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,1.9462,0,RUN,0.2200,0.0000
0.200,0.0174,-0.0000,-0.0000,1.9462,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,1.9264,0,RUN,0.2200,0.0000
0.300,0.0393,-0.0000,-0.0000,1.9264,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,1.9121,0,RUN,0.2200,0.0000
0.400,0.0617,-0.0000,-0.0000,1.9121,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,1.8927,0,RUN,0.2200,0.0000
0.500,0.0841,-0.0000,-0.0000,1.8927,0,RUN,0.2200,0.0000
0.600,0.1066,-0.0000,-0.0000,1.8713,0,RUN,0.2200,0.0000
0.600,0.1066,-0.0000,-0.0000,1.8713,0,RUN,0.2200,0.0000
0.700,0.1290,-0.0000,-0.0000,1.8369,0,RUN,0.2200,0.0000
0.700,0.1290,-0.0000,-0.0000,1.8369,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,1.8190,0,RUN,0.2200,0.0000
0.800,0.1514,-0.0000,-0.0000,1.8190,0,RUN,0.2200,0.0000
0.900,0.1739,-0.0000,-0.0000,1.7945,0,RUN,0.2200,0.0000
0.900,0.1739,-0.0000,-0.0000,1.7945,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,1.7755,0,RUN,0.2200,0.0000
1.000,0.1963,-0.0000,-0.0000,1.7755,0,RUN,0.2200,0.0000
1.100,0.2188,-0.0000,0.0000,1.7510,0,RUN,0.2200,0.0000
1.100,0.2188,-0.0000,0.0000,1.7510,0,RUN,0.2200,0.0000
1.200,0.2412,-0.0000,0.0000,1.7252,0,RUN,0.2200,-0.0000
1.200,0.2412,-0.0000,0.0000,1.7252,0,RUN,0.2200,-0.0000
1.300,0.2637,-0.0000,0.0000,1.7163,0,RUN,0.2200,0.0000
1.300,0.2637,-0.0000,0.0000,1.7163,0,RUN,0.2200,0.0000
1.400,0.2786,-0.0000,0.0000,1.6889,0,RUN,0.2200,0.0000
1.400,0.2786,-0.0000,0.0000,1.6889,0,RUN,0.2200,0.0000
1.500,0.3010,-0.0000,-0.0000,1.6651,0,RUN,0.2200,0.0000
1.500,0.3010,-0.0000,-0.0000,1.6651,0,RUN,0.2200,0.0000
1.600,0.3235,-0.0000,-0.0000,1.6381,0,RUN,0.2200,0.0000
1.600,0.3235,-0.0000,-0.0000,1.6381,0,RUN,0.2200,0.0000
1.700,0.3459,-0.0000,-0.0000,1.6174,0,RUN,0.2200,0.0000
1.700,0.3459,-0.0000,-0.0000,1.6174,0,RUN,0.2200,0.0000
1.800,0.3684,-0.0000,-0.0000,1.5910,0,RUN,0.2200,0.0000
1.800,0.3684,-0.0000,-0.0000,1.5910,0,RUN,0.2200,0.0000
1.900,0.3908,-0.0000,0.0000,1.5789,0,RUN,0.2200,0.0000
1.900,0.3908,-0.0000,0.0000,1.5789,0,RUN,0.2200,0.0000
2.000,0.4132,-0.0000,0.0000,1.5419,0,RUN,0.2200,0.0000
2.000,0.4132,-0.0000,0.0000,1.5419,0,RUN,0.2200,0.0000
2.100,0.4357,-0.0000,0.0000,1.5396,0,RUN,0.2200,0.0000
2.100,0.4357,-0.0000,0.0000,1.5396,0,RUN,0.2200,0.0000
2.200,0.4581,-0.0000,0.0000,1.5039,0,RUN,0.2200,0.0000
2.200,0.4581,-0.0000,0.0000,1.5039,0,RUN,0.2200,0.0000
2.300,0.4806,-0.0000,0.0000,1.4867,0,RUN,0.2200,0.0000
2.300,0.4806,-0.0000,0.0000,1.4867,0,RUN,0.2200,0.0000
2.400,0.5030,-0.0000,0.0000,1.4663,0,RUN,0.2200,0.0000
2.400,0.5030,-0.0000,0.0000,1.4663,0,RUN,0.2200,0.0000
2.500,0.5254,-0.0000,0.0000,1.4488,0,RUN,0.2200,0.0000
2.500,0.5254,-0.0000,0.0000,1.4488,0,RUN,0.2200,0.0000
2.600,0.5479,-0.0000,0.0000,1.4273,0,RUN,0.2200,0.0000
2.600,0.5479,-0.0000,0.0000,1.4273,0,RUN,0.2200,0.0000
2.700,0.5703,-0.0000,0.0000,1.4017,0,RUN,0.2200,0.0000
2.700,0.5703,-0.0000,0.0000,1.4017,0,RUN,0.2200,0.0000
2.800,0.5928,-0.0000,0.0000,1.3828,0,RUN,0.2200,0.0000
2.800,0.5928,-0.0000,0.0000,1.3828,0,RUN,0.2200,0.0000
2.900,0.6152,-0.0000,0.0000,1.3641,0,RUN,0.2200,0.0000
2.900,0.6152,-0.0000,0.0000,1.3641,0,RUN,0.2200,0.0000
3.000,0.6377,-0.0000,0.0000,1.3220,0,RUN,0.2200,0.0000
3.000,0.6377,-0.0000,0.0000,1.3220,0,RUN,0.2200,0.0000
3.100,0.6526,-0.0000,0.0000,1.3136,0,RUN,0.2200,0.0000
3.100,0.6526,-0.0000,0.0000,1.3136,0,RUN,0.2200,0.0000
3.200,0.6750,-0.0000,0.0000,1.2940,0,RUN,0.2200,0.0000
3.200,0.6750,-0.0000,0.0000,1.2940,0,RUN,0.2200,0.0000
3.300,0.6975,-0.0000,0.0000,1.2704,0,RUN,0.2200,0.0000
3.300,0.6975,-0.0000,0.0000,1.2704,0,RUN,0.2200,0.0000
3.400,0.7199,-0.0000,0.0000,1.2520,0,RUN,0.2200,0.0000
3.400,0.7199,-0.0000,0.0000,1.2520,0,RUN,0.2200,0.0000
3.500,0.7424,-0.0000,0.0000,1.2166,0,RUN,0.2200,0.0000
3.500,0.7424,-0.0000,0.0000,1.2166,0,RUN,0.2200,0.0000
3.600,0.7648,-0.0000,0.0000,1.2103,0,RUN,0.2200,0.0000
3.600,0.7648,-0.0000,0.0000,1.2103,0,RUN,0.2200,0.0000
3.700,0.7873,-0.0000,0.0000,1.1857,0,RUN,0.2200,0.0000
3.700,0.7873,-0.0000,0.0000,1.1857,0,RUN,0.2200,0.0000
3.800,0.8097,-0.0000,0.0000,1.1667,0,RUN,0.2200,0.0000
3.800,0.8097,-0.0000,0.0000,1.1667,0,RUN,0.2200,0.0000
3.900,0.8321,-0.0000,0.0000,1.1352,0,RUN,0.2200,0.0000
3.900,0.8321,-0.0000,0.0000,1.1352,0,RUN,0.2200,0.0000
4.000,0.8546,-0.0000,0.0000,1.1158,0,RUN,0.2200,0.0000
4.000,0.8546,-0.0000,0.0000,1.1158,0,RUN,0.2200,0.0000
4.100,0.8770,-0.0000,0.0000,1.0928,0,RUN,0.2200,0.0000
4.100,0.8770,-0.0000,0.0000,1.0928,0,RUN,0.2200,0.0000
4.200,0.8995,-0.0000,0.0000,1.0658,0,RUN,0.2200,0.0000
4.200,0.8995,-0.0000,0.0000,1.0658,0,RUN,0.2200,0.0000
4.300,0.9219,-0.0000,0.0000,1.0527,0,RUN,0.2200,0.0000
4.300,0.9219,-0.0000,0.0000,1.0527,0,RUN,0.2200,0.0000
4.400,0.9443,-0.0000,0.0000,1.0328,0,RUN,0.2200,0.0000
4.400,0.9443,-0.0000,0.0000,1.0328,0,RUN,0.2200,0.0000
4.500,0.9668,-0.0000,0.0000,1.0083,0,RUN,0.2200,0.0000
4.500,0.9668,-0.0000,0.0000,1.0083,0,RUN,0.2200,0.0000
4.600,0.9892,-0.0000,0.0000,0.9795,0,RUN,0.2200,0.0000
4.600,0.9892,-0.0000,0.0000,0.9795,0,RUN,0.2200,0.0000
4.700,1.0117,-0.0000,0.0000,0.9612,0,RUN,0.2200,0.0000
4.700,1.0117,-0.0000,0.0000,0.9612,0,RUN,0.2200,0.0000
4.800,1.0266,-0.0000,0.0000,0.9296,0,RUN,0.2200,0.0000
4.800,1.0266,-0.0000,0.0000,0.9296,0,RUN,0.2200,0.0000
4.900,1.0490,-0.0000,0.0000,0.9198,0,RUN,0.2200,0.0000
4.900,1.0490,-0.0000,0.0000,0.9198,0,RUN,0.2200,0.0000
5.000,1.0715,-0.0000,0.0000,0.8905,0,RUN,0.2200,0.0000
5.000,1.0715,-0.0000,0.0000,0.8905,0,RUN,0.2200,0.0000
5.100,1.0939,-0.0000,0.0000,0.8825,0,RUN,0.2200,0.0000
5.100,1.0939,-0.0000,0.0000,0.8825,0,RUN,0.2200,0.0000
5.200,1.1164,-0.0000,0.0000,0.8577,0,RUN,0.2200,0.0000
5.200,1.1164,-0.0000,0.0000,0.8577,0,RUN,0.2200,0.0000
5.300,1.1388,-0.0000,0.0000,0.8329,0,RUN,0.2200,0.0000
5.300,1.1388,-0.0000,0.0000,0.8329,0,RUN,0.2200,0.0000
