line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,10641143462500,,10641143515531,10641147549829,36.311,0.0000,0.0000,0.0000,0,0.5750,575,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2,scan,1,0,10641181939577,,10641182105052,10641183711203,36.811,0.0001,-0.0000,0.0000,0,0.5942,594,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,0,0,0
3,scan,2,0,10641231993017,,10641232231236,10641233699899,36.861,0.0001,-0.0000,0.0000,0,0.5983,598,220,0,0,0,0,,,,,1,1,,,0,,,,2,0,0,0,0,0,0,0,0
4,scan,3,0,10641282283696,,10641282524744,10641284669874,36.911,0.0001,-0.0000,0.0000,0,0.6007,600,220,0,0,0,0,,,,,1,1,,,0,,,,3,0,0,0,0,0,0,0,0
5,scan,4,0,10641331417606,,10641331540311,10641332713920,36.961,0.0001,-0.0000,0.0000,0,0.5933,593,220,0,0,0,0,,,,,1,1,,,0,,,,4,0,0,0,0,0,0,0,0
6,scan,5,0,10641381925261,,10641382056229,10641383828504,37.011,0.0001,-0.0000,0.0000,0,0.5817,581,220,0,0,0,0,,,,,1,1,,,0,,,,5,0,0,0,0,0,0,0,0
7,scan,6,0,10641431814900,,10641431965158,10641433723530,37.061,0.0001,-0.0000,0.0000,0,0.6022,602,220,0,220,1,1,1,10641181998119,10641386528419,204530,0,1,204530,204530,0,,,,6,220,1,0,0,0,0,0,0
8,scan,7,0,10641481473538,,10641481601927,10641483878891,37.111,0.0001,-0.0000,0.0000,0,0.5918,591,220,0,220,1,1,2,10641232083926,10641444040901,211956,0,1,204530,208243,0,,,,7,220,1,0,0,0,0,0,0
9,scan,8,0,10641531815947,,10641531951480,10641533708074,37.161,0.0035,-0.0000,0.0000,0,0.5895,589,220,0,220,1,1,3,10641282366063,10641512220935,229854,0,1,204530,215447,0,,,,8,220,1,0,0,0,0,0,0
10,scan,9,0,10641581583236,,10641581712629,10641583742023,37.211,0.0070,-0.0000,-0.0000,0,0.5761,576,220,0,220,1,1,4,10641331464278,10641539125926,207661,0,1,204530,213500,0,,,,9,220,1,0,0,0,0,0,0
11,scan,10,0,10641631604705,,10641631731874,10641633829221,37.261,0.0174,-0.0000,-0.0000,0,0.5749,574,220,0,220,1,1,5,10641381970854,10641588352841,206381,0,1,204530,212076,0,,,,10,220,1,0,0,0,0,0,0
12,scan,11,0,10641681675727,,10641681809068,10641683752161,37.311,0.0243,-0.0000,-0.0000,0,0.5692,569,220,0,220,1,1,6,10641431868326,10641649058427,217190,0,1,204530,212929,0,,,,11,220,1,0,0,0,0,0,0
13,scan,12,0,10641731860515,,10641732106286,10641733801880,37.361,0.0393,-0.0000,0.0000,0,0.5586,558,220,0,220,1,1,7,10641481520258,10641720187847,238667,0,1,204530,216606,0,,,,12,220,1,0,0,0,0,0,0
14,scan,13,0,10641782094533,,10641782241851,10641783764348,37.411,0.0467,-0.0000,0.0001,0,0.5472,547,220,0,220,1,1,8,10641531864337,10641736418400,204554,0,1,204530,215099,0,,,,13,220,1,0,0,0,0,0,0
